epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.723115,0.204202,4.849045,0.370396,4.849045,0.370396,714,0.00250000,0.00000000,0.125833,0.000000,172.02
2,3.790565,0.462238,2.945025,0.533249,2.945025,0.533249,1428,0.00500000,0.00000000,0.120700,0.000000,176.43
3,2.445874,0.584843,2.213892,0.598876,2.213892,0.598876,2142,0.00499470,0.00000000,0.106631,0.000000,170.31
4,1.953795,0.637045,1.929381,0.626890,1.929381,0.626890,2856,0.00497883,0.00000000,0.096943,0.000000,163.93
5,1.717690,0.665401,1.776474,0.642788,1.776474,0.642788,3570,0.00495244,0.00000000,0.091251,0.000000,165.70
6,0.709745,0.672153,0.726437,0.631349,0.731071,0.634064,4284,0.00491567,0.00000000,0.028230,0.000000,168.29
7,0.669261,0.669746,0.692100,0.634645,0.695879,0.634064,4998,0.00486865,0.00000000,0.027283,0.000000,165.70
8,0.633145,0.674769,0.660691,0.641915,0.663681,0.640171,5712,0.00481160,0.00000000,0.026390,0.000000,164.46
9,0.599650,0.683622,0.632758,0.644145,0.634628,0.646568,6426,0.00474476,0.00000000,0.025622,0.000000,166.90
10,0.573499,0.690572,0.610760,0.653548,0.612400,0.653548,7140,0.00466841,0.00000000,0.024972,0.000000,169.18
11,0.549866,0.698528,0.591837,0.658686,0.593030,0.658492,7854,0.00458289,0.00000000,0.024427,0.000000,170.85
12,0.528972,0.706276,0.575909,0.665374,0.576602,0.665956,8568,0.00448855,0.00000000,0.023830,0.000000,167.35
13,0.510738,0.714178,0.562794,0.668185,0.563126,0.668573,9282,0.00438580,0.00000000,0.023375,0.000000,166.78
14,0.494780,0.720394,0.551279,0.673032,0.551279,0.673905,9996,0.00427509,0.00000000,0.022923,0.000000,166.66
15,0.480930,0.726709,0.541727,0.676910,0.541852,0.676522,10710,0.00415688,0.00000000,0.022483,0.000000,167.89
16,0.468889,0.732914,0.533599,0.676231,0.533279,0.680787,11424,0.00403168,0.00000000,0.022154,0.000000,165.29
17,0.458149,0.738539,0.527103,0.679527,0.526544,0.682338,12138,0.00390004,0.00000000,0.021750,0.000000,164.98
18,0.448628,0.743179,0.521143,0.680496,0.520589,0.682920,12852,0.00376250,0.00000000,0.021510,0.000000,164.99
19,0.440129,0.747907,0.515472,0.686216,0.514923,0.685440,13566,0.00361966,0.00000000,0.021170,0.000000,163.46
20,0.432668,0.751759,0.510671,0.686022,0.510495,0.686119,14280,0.00347214,0.00000000,0.020901,0.000000,165.05
21,0.425669,0.754670,0.506383,0.686991,0.506416,0.687573,14993,0.00332056,0.00000000,nan,0.000000,167.32
22,0.419386,0.758424,0.503502,0.685925,0.502839,0.688445,15707,0.00316558,0.00000000,0.020475,0.000000,165.41
23,0.413730,0.761609,0.500066,0.688833,0.499574,0.688639,16421,0.00300785,0.00000000,0.020277,0.000000,167.51
24,0.408562,0.764520,0.496929,0.688930,0.496782,0.688833,17135,0.00284805,0.00000000,0.020105,0.000000,185.48
25,0.403312,0.766993,0.494079,0.689705,0.493588,0.690869,17849,0.00268687,0.00000000,0.019893,0.000000,157.68
26,0.398962,0.769499,0.491819,0.689996,0.491619,0.691838,18562,0.00252500,0.00000000,nan,0.000000,162.47
27,0.395236,0.771557,0.489602,0.691838,0.489337,0.693001,19276,0.00236313,0.00000000,0.019633,0.000000,166.77
28,0.391569,0.774205,0.487854,0.692129,0.487500,0.691935,19990,0.00220195,0.00000000,0.019449,0.000000,164.74
29,0.388006,0.775715,0.485872,0.693292,0.485579,0.693874,20704,0.00204215,0.00000000,0.019296,0.000000,163.62
30,0.385033,0.777609,0.484250,0.694940,0.484221,0.694552,21418,0.00188442,0.00000000,0.019157,0.000000,166.45
31,0.382424,0.779239,0.483063,0.692807,0.483054,0.694164,22132,0.00172944,0.00000000,0.019093,0.000000,163.85
32,0.379705,0.780969,0.481786,0.694358,0.481652,0.693971,22845,0.00157786,0.00000000,nan,0.000000,164.04
33,0.377252,0.782413,0.480569,0.694746,0.480431,0.694746,23559,0.00143034,0.00000000,0.018874,0.000000,165.05
34,0.375248,0.783245,0.479601,0.695231,0.479670,0.695618,24273,0.00128750,0.00000000,0.018811,0.000000,169.94
35,0.373506,0.784514,0.478905,0.695328,0.478841,0.695134,24986,0.00114996,0.00000000,nan,0.000000,171.27
36,0.371773,0.785532,0.477880,0.695909,0.478007,0.695715,25700,0.00101832,0.00000000,0.018632,0.000000,168.02
37,0.370361,0.786397,0.477463,0.695037,0.477482,0.694455,26413,0.00089312,0.00000000,nan,0.000000,166.91
38,0.368987,0.787436,0.476772,0.695618,0.476864,0.695715,27127,0.00077491,0.00000000,0.018509,0.000000,164.45
39,0.367787,0.788082,0.476256,0.695812,0.476381,0.695812,27841,0.00066420,0.00000000,0.018478,0.000000,165.50
40,0.366846,0.788410,0.475960,0.695522,0.476002,0.695425,28555,0.00056145,0.00000000,0.018451,0.000000,164.11
41,0.365950,0.788958,0.475638,0.695425,0.475668,0.695037,29268,0.00046711,0.00000000,nan,0.000000,167.48
42,0.365182,0.789625,0.475390,0.695425,0.475422,0.695328,29982,0.00038159,0.00000000,0.018348,0.000000,167.25
43,0.364541,0.790074,0.475137,0.696297,0.475181,0.695618,30696,0.00030524,0.00000000,0.018306,0.000000,173.81
44,0.364015,0.790413,0.474980,0.695909,0.475016,0.696103,31410,0.00023840,0.00000000,0.018255,0.000000,168.22
45,0.363627,0.790752,0.474878,0.695618,0.474938,0.695522,32123,0.00018135,0.00000000,nan,0.000000,167.24
46,0.363274,0.790917,0.474748,0.695715,0.474781,0.695328,32837,0.00013433,0.00000000,0.018249,0.000000,164.32
47,0.363013,0.791103,0.474681,0.695812,0.474692,0.695812,33551,0.00009756,0.00000000,0.018262,0.000000,164.30
48,0.362814,0.791201,0.474635,0.695618,0.474648,0.695425,34265,0.00007117,0.00000000,0.018263,0.000000,165.35
49,0.362670,0.791300,0.474589,0.695618,0.474593,0.695618,34979,0.00005530,0.00000000,0.018222,0.000000,168.89
50,0.362574,0.791223,0.474554,0.695618,0.474561,0.695522,35692,0.00005000,0.00000000,nan,0.000000,165.44
