sample_index,image_path,image_sha256,class_name,noisy_label,D3_STRICT_pred,B2_GCE07_pred,D3_STRICT_correct,B2_GCE07_correct,group,D3_STRICT_confidence,B2_GCE07_confidence,D3_STRICT_margin,B2_GCE07_margin,D3_STRICT_entropy,B2_GCE07_entropy,D3_STRICT_noisy_label_probability,B2_GCE07_noisy_label_probability,D3_STRICT_ce_loss,B2_GCE07_ce_loss,D3_STRICT_gce_q07,B2_GCE07_gce_q07,D3_STRICT_flip_pred,B2_GCE07_flip_pred,D3_STRICT_flip_pred_agree,B2_GCE07_flip_pred_agree,D3_STRICT_flip_jsd,B2_GCE07_flip_jsd,D3_STRICT_tta_pred,B2_GCE07_tta_pred,D3_STRICT_tta_correct,B2_GCE07_tta_correct,clip_flip_cosine,knn_label_agreement,knn_majority_label,knn_majority_fraction,knn_support_D3_STRICT_pred,knn_support_B2_GCE07_pred,nearest_train_similarity,mean_topk_similarity,prototype_label_similarity,prototype_top1_label,prototype_top1_similarity,prototype_second_similarity,prototype_margin,prototype_supports_noisy_label,prototype_similarity_D3_STRICT_pred,prototype_similarity_B2_GCE07_pred,dedup_metadata_available,cross_class_duplicate_conflict
93,/home/lux1/noise/train/0004/4e28ed8ab4eb4730af1e6d2992138e5a.jpg,e1e545e988f53a335b489c29202c5a64c436761bba19584f9d13dd17e0e44d98,4,4,173,4,False,True,B2_GCE07_only_correct,0.37419355,0.45787752,0.061008066,0.030804962,1.9712753,1.2404368,0.31318548,0.45787752,1.1609597,0.78115356,0.7947556,0.60172194,173,173,True,False,0.09099719,0.08873585,173,173,False,False,0.9634805,0.25,4,0.25,0.0,0.25,0.9463243,0.9150119,0.8446153,140,0.87925434,0.86374617,0.015508175,False,0.85120493,0.8446153,True,False
112,/home/lux1/noise/train/0005/2835df25a7894206b5f8860176202685.jpg,704331758982126e02b76e8cc41a0fcf8d7bb64b7b368fdc106d62fd39be557c,5,5,435,5,False,True,B2_GCE07_only_correct,0.19416977,0.40624714,0.069782205,0.12115297,3.096822,1.7788033,0.10215239,0.40624714,2.2812896,0.90079355,1.1392531,0.6681486,205,5,False,True,0.034098033,0.03618539,205,5,False,True,0.9925459,0.15,5,0.15,0.05,0.15,0.92569655,0.88906974,0.8888009,245,0.889331,0.8888009,0.0005300641,False,0.87923515,0.8888009,True,False
233,/home/lux1/noise/train/0011/4fea8e2229fc41b7a36c8399d1f1efa9.jpg,087ad8a1b60ed2c985c06183b83358b2549ab9153902b81593234ea4449de737,11,11,474,11,False,True,B2_GCE07_only_correct,0.558736,0.5677809,0.24070376,0.21158314,1.1501261,0.9812215,0.31803226,0.5677809,1.1456025,0.56601965,0.7879053,0.46733874,474,11,True,True,0.007433563,0.009118512,474,11,False,True,0.99027675,0.25,348,0.45,0.2,0.25,0.9161992,0.89723873,0.9015889,348,0.90771794,0.9015889,0.0061290264,False,0.8887223,0.9015889,True,False
248,/home/lux1/noise/train/0011/feac0aa5b6294e1fb43114dff9521cbe.jpg,a982b700e5186f2263e63ffacee9ac4ce70195c26231633defb2cd5713599f50,11,11,487,11,False,True,B2_GCE07_only_correct,0.3543791,0.299945,0.20908721,0.0018760264,2.251183,1.9137541,0.13562539,0.299945,1.9978588,1.2041562,1.0757616,0.81363374,11,11,False,True,0.15916252,0.14658485,11,11,True,True,0.9871941,0.25,11,0.25,0.0,0.25,0.94424444,0.87993795,0.8758461,487,0.88961774,0.8877836,0.0018341541,False,0.88961774,0.8758461,True,False
261,/home/lux1/noise/train/0012/9202a04e186b425caaf3000be2be92b2.jpg,3d387d580483d51930181f32aae3c049fe21b2aa6f19448bcc1a17827edfa60d,12,12,217,12,False,True,B2_GCE07_only_correct,0.27663854,0.4414539,0.08109255,0.23120855,2.199353,1.9229877,0.19554599,0.4414539,1.6319597,0.81768167,0.97276944,0.62259614,12,12,False,True,0.07514648,0.055969335,12,12,True,True,0.9492027,0.05,346,0.25,0.05,0.05,0.87617886,0.85895157,0.8245528,217,0.85429865,0.8458725,0.00842613,False,0.85429865,0.8245528,True,False
281,/home/lux1/noise/train/0013/85408b49e4f6454e8a64122543ebc90e.jpg,1a9de31da0240d66a9ffbd23546fd15770753e9ddf2eb679e366ebd86fb22682,13,13,409,13,False,True,B2_GCE07_only_correct,0.18075363,0.40799615,0.0032434464,0.18562241,2.8958688,1.9617717,0.17751019,0.40799615,1.7287272,0.89649755,1.0026219,0.6658583,13,13,False,True,0.006636152,0.011159251,13,13,True,True,0.99467707,0.15,251,0.2,0.05,0.15,0.891913,0.85815656,0.83488995,251,0.8601528,0.84471023,0.01544255,False,0.8310369,0.83488995,True,False
304,/home/lux1/noise/train/0014/ca4627e4860942d092720599899095bb.jpg,a6d55824ceedda000108962b532e544ec3e8518583bd704e151ebd88a73c708e,14,14,117,14,False,True,B2_GCE07_only_correct,0.2830649,0.58922637,0.06257631,0.41954648,1.9089037,1.2602706,0.18357235,0.58922637,1.6951464,0.5289448,0.9924906,0.44206604,117,14,True,True,0.04192631,0.057878777,117,14,False,True,0.969883,0.25,343,0.4,0.1,0.25,0.93311673,0.9222336,0.92425364,57,0.9268125,0.9253128,0.0014997125,False,0.9144201,0.92425364,True,False
336,/home/lux1/noise/train/0016/22ea228ee70c49c592027ddb28ce5ff7.jpg,36b9056b112879cb1bde0c2dbb99b4cb8b317e8cf19c3b96cd4d831ee499a6f1,16,16,97,16,False,True,B2_GCE07_only_correct,0.587899,0.641738,0.38584688,0.34114498,1.6029301,0.8516861,0.20205215,0.641738,1.5992295,0.44357514,0.96220595,0.38131654,97,16,True,True,0.017272517,0.022658978,97,16,False,True,0.9906904,0.15,16,0.15,0.1,0.15,0.8676881,0.8473954,0.8346747,97,0.8582369,0.84582245,0.012414455,False,0.8582369,0.8346747,True,False
351,/home/lux1/noise/train/0016/c4a97a79f25d4285b9e3bc64d83ba26e.jpg,3c265b64c345aa5161a8f05cba96592d16bb6792dd1377d2fa5f32063eaea263,16,16,47,16,False,True,B2_GCE07_only_correct,0.2677871,0.7429921,0.018357694,0.582427,2.2824037,0.90376467,0.1918682,0.7429921,1.6509465,0.29706988,0.97878736,0.2682164,493,16,False,True,0.0052504097,0.004872915,493,16,False,True,0.99245286,0.15,493,0.2,0.1,0.15,0.9210475,0.8858367,0.8562488,47,0.8813418,0.87724566,0.0040961504,False,0.8813418,0.8562488,True,False
352,/home/lux1/noise/train/0016/cc2739270d9b4326aa326856ad120983.jpg,f239d44e528b60189e0f486c296355d617f0ffb46a60a16b983f0cd2015d57ff,16,16,297,16,False,True,B2_GCE07_only_correct,0.097228654,0.4568669,0.012095325,0.34213662,4.027184,2.3996146,0.044546265,0.4568669,3.111227,0.78336316,1.2667375,0.60299987,297,16,True,True,0.020038806,0.024253884,297,16,False,True,0.9930971,0.05,213,0.15,0.05,0.05,0.90333074,0.87707824,0.88370067,297,0.8863482,0.88370067,0.002647519,False,0.8863482,0.88370067,True,False
