sample_index,image_path,image_sha256,class_name,noisy_label,D3_STRICT_pred,B2_GCE07_pred,D3_STRICT_correct,B2_GCE07_correct,group,D3_STRICT_confidence,B2_GCE07_confidence,D3_STRICT_margin,B2_GCE07_margin,D3_STRICT_entropy,B2_GCE07_entropy,D3_STRICT_noisy_label_probability,B2_GCE07_noisy_label_probability,D3_STRICT_ce_loss,B2_GCE07_ce_loss,D3_STRICT_gce_q07,B2_GCE07_gce_q07,D3_STRICT_flip_pred,B2_GCE07_flip_pred,D3_STRICT_flip_pred_agree,B2_GCE07_flip_pred_agree,D3_STRICT_flip_jsd,B2_GCE07_flip_jsd,D3_STRICT_tta_pred,B2_GCE07_tta_pred,D3_STRICT_tta_correct,B2_GCE07_tta_correct,clip_flip_cosine,knn_label_agreement,knn_majority_label,knn_majority_fraction,knn_support_D3_STRICT_pred,knn_support_B2_GCE07_pred,nearest_train_similarity,mean_topk_similarity,prototype_label_similarity,prototype_top1_label,prototype_top1_similarity,prototype_second_similarity,prototype_margin,prototype_supports_noisy_label,prototype_similarity_D3_STRICT_pred,prototype_similarity_B2_GCE07_pred,dedup_metadata_available,cross_class_duplicate_conflict
0,/home/lux1/noise/train/0000/09d3058f06334d9a84d29d4f6572f8bb.jpg,2b39e4741c3a5ccc5294cf10983de93b6aca3c9139c3384452c41cd795db5ea9,0,0,0,0,True,True,both_correct,0.9509552,0.98698694,0.90216386,0.9740433,0.19801503,0.069994204,0.9509552,0.98698694,0.05028831,0.013098505,0.04941353,0.013038602,0,0,True,True,8.106165e-05,2.9081979e-05,0,0,True,True,0.9954046,0.95,0,0.95,0.95,0.95,0.9518656,0.9413711,0.95498633,0,0.95498633,0.9331279,0.021858454,True,0.95498633,0.95498633,True,False
1,/home/lux1/noise/train/0000/0c55bf3afa7f432bafe65d4559876b71.jpg,0c1c66b52db2d8fe5be9815367bbfc3d9408fe9d52998cab2391c03e94b0bf5c,0,0,0,0,True,True,both_correct,0.98972905,0.9961702,0.9801351,0.9924735,0.061770327,0.02593836,0.98972905,0.9961702,0.01032405,0.0038371284,0.010286825,0.0038319826,0,0,True,True,0.00035272422,0.00016627712,0,0,True,True,0.9910215,0.6,0,0.6,0.6,0.6,0.9258424,0.89908504,0.8998592,0,0.8998592,0.8776456,0.022213578,True,0.8998592,0.8998592,True,False
2,/home/lux1/noise/train/0000/39e6a5ba4de3490ebe465ee45ae90d4e.jpg,2cb8cef5f8aeaf6dcd9f73c0b588bfb44b2572873b3aa520f455bcd2d143a9f9,0,0,0,0,True,True,both_correct,0.9496455,0.9929696,0.9026288,0.9863687,0.2198342,0.044101465,0.9496455,0.9929696,0.051666528,0.0070552505,0.050743394,0.0070378613,0,0,True,True,0.0019144546,4.5056222e-05,0,0,True,True,0.9872471,0.7,0,0.7,0.7,0.7,0.9614751,0.9441446,0.9510276,0,0.9510276,0.9307145,0.020313084,True,0.9510276,0.9510276,True,False
3,/home/lux1/noise/train/0000/3d1a062c9f984363a37ce9b5446dd947.jpg,c10bba41b189e389c566a653cfebbdd05b56fa6ed212f434e3a48e40bfeeccd3,0,0,0,0,True,True,both_correct,0.54911596,0.85160255,0.48332816,0.7950118,2.3908646,0.7493193,0.54911596,0.85160255,0.5994457,0.16063534,0.4895688,0.15193327,0,0,True,True,0.048341304,0.0150885545,0,0,True,True,0.93834925,0.6,0,0.6,0.6,0.6,0.91244435,0.8907507,0.8554314,273,0.8610616,0.8554314,0.005630195,False,0.8554314,0.8554314,True,False
4,/home/lux1/noise/train/0000/4c8c3bd2b70341fc9542c6c318e65fed.jpg,a0f4f63d0b73650dfd63f40ab93daad586a778fb4f1416820e46a33a0c6d6c5c,0,0,0,0,True,True,both_correct,0.72259855,0.651547,0.49506402,0.36276677,0.78356653,0.8141729,0.72259855,0.651547,0.3249015,0.4284057,0.29060373,0.37013692,0,0,True,True,0.03936203,0.06541143,0,0,True,True,0.9564855,0.55,0,0.55,0.55,0.55,0.9390475,0.915161,0.8970438,273,0.9120381,0.8970438,0.014994264,False,0.8970438,0.8970438,True,False
5,/home/lux1/noise/train/0000/6cfc9af6cb57469bb424f6966551103e.jpg,c56a76b3d736a35ce78a8c691467b4091c03196ad29daac911bf29c94001f104,0,0,0,0,True,True,both_correct,0.9503881,0.9858291,0.91447234,0.9731977,0.26398078,0.08147683,0.9503881,0.9858291,0.050884873,0.014272278,0.04998931,0.014201232,0,0,True,True,0.006194534,0.0025905166,0,0,True,True,0.927179,0.75,0,0.75,0.75,0.75,0.9667721,0.94552964,0.9259418,273,0.92637134,0.9259418,0.00042951107,False,0.9259418,0.9259418,True,False
6,/home/lux1/noise/train/0000/797e5019fa29482abd24a7f57e235128.jpg,d18f5a9873685c7942f699f90b12502382599ddbe66d8c9608d7e7b691df57ca,0,0,0,0,True,True,both_correct,0.9833709,0.98211205,0.9733155,0.96813625,0.1017317,0.10308768,0.9833709,0.98211205,0.016768927,0.018049866,0.016670909,0.017936315,0,0,True,True,0.020481266,0.016120449,0,0,True,True,0.9200578,0.7,0,0.7,0.7,0.7,0.82248163,0.8052721,0.7951869,0,0.7951869,0.7806447,0.014542162,True,0.7951869,0.7951869,True,False
7,/home/lux1/noise/train/0000/7ec55b24e8ec4e298153c43da92f96a6.jpg,49847b8adf7c971f7b508c046b3127182f2ce437e33629bfbc0f20d5f6b15240,0,0,0,0,True,True,both_correct,0.50453556,0.6349191,0.47298503,0.58215964,2.98295,2.0423944,0.50453556,0.6349191,0.684117,0.45425773,0.5436062,0.38911846,0,0,True,True,0.04136444,0.050373644,0,0,True,True,0.9776871,0.05,388,0.15,0.05,0.05,0.8282939,0.79649353,0.74922013,176,0.7730902,0.76382685,0.009263337,False,0.74922013,0.74922013,True,False
9,/home/lux1/noise/train/0000/9b564c452d4540e5af5fdb1a0aada719.jpg,023497eb68442df4d69623d8c7921388278f91b85413d861a1de11b5157d8323,0,0,0,0,True,True,both_correct,0.9812996,0.9876444,0.96306187,0.97539014,0.096126445,0.06731916,0.9812996,0.9876444,0.018877491,0.012432574,0.018753324,0.012378608,0,0,True,True,0.0030680634,0.0008690853,0,0,True,True,0.95928526,0.65,0,0.65,0.65,0.65,0.9399174,0.8932091,0.9111226,0,0.9111226,0.8901802,0.02094245,True,0.9111226,0.9111226,True,False
10,/home/lux1/noise/train/0000/9b787554d1a14fb892ad97db68eca514.jpg,c3dab542fe5643f23e329ee8b2d92f231b4efe67e100ce8e3e93f253cbb1e051,0,0,0,0,True,True,both_correct,0.9780939,0.9948285,0.95737475,0.98989576,0.11429269,0.033886887,0.9780939,0.9948285,0.022149561,0.005184895,0.021978788,0.0051754713,0,0,True,True,0.0143347625,0.005046945,0,0,True,True,0.96071696,0.75,0,0.75,0.75,0.75,0.9202837,0.88371,0.86157405,273,0.8631222,0.86157405,0.001548171,False,0.86157405,0.86157405,True,False
11,/home/lux1/noise/train/0000/aa1f43bfefb148acbb0042ac5b56766d.jpg,ebf66708620c7e0a006784c6fe578de530b03bcb85f377225a90a9d31f54447d,0,0,0,0,True,True,both_correct,0.9988194,0.99960715,0.9983992,0.99942523,0.011001984,0.0039274804,0.9988194,0.99960715,0.0011812622,0.00039295582,0.001180768,0.00039287977,0,0,True,True,0.00060465466,0.00015821336,0,0,True,True,0.97911596,0.9,0,0.9,0.9,0.9,0.88811255,0.8643619,0.8859028,0,0.8859028,0.86127716,0.024625659,True,0.8859028,0.8859028,True,False
12,/home/lux1/noise/train/0000/aca71334fd0b4b73ba588f96c35e2197.jpg,a86c8e6b691de10339eadfdc2a7b02bb7f95eb8a7eee98c59d2d2019f674d9ff,0,0,0,0,True,True,both_correct,0.8333436,0.88522685,0.6860667,0.78973323,0.55152917,0.43101373,0.8333436,0.88522685,0.18230918,0.12191133,0.17115584,0.1168544,0,0,True,True,0.003981533,0.004084793,0,0,True,True,0.99645317,0.55,0,0.55,0.55,0.55,0.8907988,0.858638,0.8290851,0,0.8290851,0.8287926,0.0002925396,True,0.8290851,0.8290851,True,False
