sample_index,image_path,image_sha256,class_name,noisy_label,D3_STRICT_pred,B2_GCE07_pred,D3_STRICT_correct,B2_GCE07_correct,group,D3_STRICT_confidence,B2_GCE07_confidence,D3_STRICT_margin,B2_GCE07_margin,D3_STRICT_entropy,B2_GCE07_entropy,D3_STRICT_noisy_label_probability,B2_GCE07_noisy_label_probability,D3_STRICT_ce_loss,B2_GCE07_ce_loss,D3_STRICT_gce_q07,B2_GCE07_gce_q07,D3_STRICT_flip_pred,B2_GCE07_flip_pred,D3_STRICT_flip_pred_agree,B2_GCE07_flip_pred_agree,D3_STRICT_flip_jsd,B2_GCE07_flip_jsd,D3_STRICT_tta_pred,B2_GCE07_tta_pred,D3_STRICT_tta_correct,B2_GCE07_tta_correct,clip_flip_cosine,knn_label_agreement,knn_majority_label,knn_majority_fraction,knn_support_D3_STRICT_pred,knn_support_B2_GCE07_pred,nearest_train_similarity,mean_topk_similarity,prototype_label_similarity,prototype_top1_label,prototype_top1_similarity,prototype_second_similarity,prototype_margin,prototype_supports_noisy_label,prototype_similarity_D3_STRICT_pred,prototype_similarity_B2_GCE07_pred,dedup_metadata_available,cross_class_duplicate_conflict
8,/home/lux1/noise/train/0000/822b40e9f7a141ea932efb2c3b68d426.jpg,b300705d13e780a6b027eb3393d21aac3e112dbc54b314dd732fac756cb16855,0,0,273,273,False,False,both_wrong,0.80576813,0.56660205,0.62227786,0.1355268,0.54802233,0.69983524,0.18349028,0.43107525,1.6955935,0.8414726,0.99262697,0.6359075,273,273,True,True,9.4473886e-05,0.00426767,273,273,False,False,0.99305975,0.35,273,0.65,0.65,0.65,0.9472976,0.9307817,0.9404712,0,0.9404712,0.93567747,0.0047937036,True,0.93567747,0.93567747,True,False
17,/home/lux1/noise/train/0000/bd399faf9cb742158e9bf2ad35a1ca6d.jpg,a2e6f31f44b43af41a923367af054c54eeb5230793175ec31747098730139228,0,0,182,182,False,False,both_wrong,0.36451486,0.64815015,0.16739093,0.54116267,2.1496816,1.310868,0.0013478152,0.00083913776,6.60927,7.0831356,1.4145871,1.4185349,9,182,False,True,0.058242097,0.05841957,182,182,False,False,0.9433941,0.0,230,0.45,0.35,0.35,0.8572786,0.811333,0.6972525,230,0.8255456,0.79910815,0.026437461,False,0.7824835,0.7824835,True,False
23,/home/lux1/noise/train/0001/198830e22f3b4209943a5c7f47306788.jpg,cebd93d6d247c9da1a1bd45509c1f535856d99aa182a113c1e26aeeb233d35d5,1,1,99,99,False,False,both_wrong,0.6984305,0.89039123,0.6601715,0.83228886,1.6328316,0.5512593,0.008456467,0.00022763577,4.772824,8.387764,1.3779967,1.4245446,99,99,True,True,0.014512148,0.0033901571,99,99,False,False,0.9891726,0.0,323,0.2,0.05,0.05,0.8808774,0.8573972,0.8094369,105,0.87037605,0.8690979,0.001278162,False,0.857919,0.857919,True,False
25,/home/lux1/noise/train/0001/2661c82d63ce465c84a0e667c2a8f48d.jpg,0d47a9491e8767f708a974926d183cf2e4564e6f97bec7e4d57aaa5875ddf92b,1,1,368,455,False,False,both_wrong,0.19517308,0.27929845,0.06580867,0.13386865,3.4251318,2.770116,0.061793815,0.1454298,2.783952,1.9280618,1.2250719,1.058096,455,1,False,False,0.094386175,0.122536615,455,455,False,False,0.976328,0.0,275,0.15,0.0,0.1,0.85447246,0.8327239,0.837819,313,0.8713921,0.8609466,0.010445476,False,0.8082616,0.85062766,True,False
27,/home/lux1/noise/train/0001/4673107aec054355b15a2434293b9901.jpg,019823a97e22ab7721006be36a97064bb22d467b03e163b4d77801f5bca4da89,1,1,139,347,False,False,both_wrong,0.34559557,0.85507786,0.12507008,0.7663879,2.295227,0.65359724,0.05878854,0.008233396,2.8338084,4.7995567,1.2320514,1.3789343,347,347,False,True,0.03534036,0.030164786,347,347,False,False,0.9858644,0.1,139,0.2,0.2,0.05,0.88227344,0.8558775,0.8785059,219,0.8853669,0.8850141,0.0003527999,False,0.8850141,0.8560038,True,False
30,/home/lux1/noise/train/0001/5d001e5e47624ddda288a9f5a3f9bf10.jpg,c004804fc5095bdfd91570d038e6aaff5862e6288c51397fe6ac398d89b7eab8,1,1,29,491,False,False,both_wrong,0.5629774,0.4155338,0.4663433,0.22784932,2.0453084,1.9578185,0.004088664,0.002710706,5.499537,5.9105463,1.398162,1.4057649,29,491,True,True,0.03335747,0.036450885,29,491,False,False,0.9872216,0.0,461,0.25,0.2,0.1,0.8623866,0.8423728,0.77335817,461,0.8668875,0.86224055,0.004646957,False,0.82014394,0.8621659,True,False
32,/home/lux1/noise/train/0001/6477ee6e83d14d42ac481a904d790eda.jpg,b14e08be7ab7ee6891baf4b91143e6623f3ffb248f24f23539394a2a91e66456,1,1,219,219,False,False,both_wrong,0.38209102,0.43754134,0.13176447,0.08913118,1.8234425,1.3317883,0.25032654,0.34841016,1.384989,1.0543749,0.8867492,0.7456582,219,219,True,True,0.011977143,0.01609731,219,219,False,False,0.98108226,0.15,219,0.3,0.3,0.3,0.9077689,0.8610522,0.8542557,219,0.85442036,0.8542557,0.00016468763,False,0.85442036,0.85442036,True,False
36,/home/lux1/noise/train/0001/cf6dd1229da544f1ae644fb12ff0a710.jpg,de8277b4dae392b80487e864df5c74e35f8b34c81a507bf04453968a20e5b663,1,1,138,138,False,False,both_wrong,0.3522454,0.21274261,0.28676113,0.07305239,3.3731763,3.2807908,0.014968808,0.041326053,4.201787,3.1862621,1.3531433,1.2750183,138,226,True,False,0.061707076,0.0976791,138,226,False,False,0.97875255,0.05,138,0.15,0.15,0.15,0.86020505,0.8202976,0.7527262,226,0.8188011,0.8163327,0.0024684072,False,0.8119795,0.8119795,True,False
40,/home/lux1/noise/train/0001/ed6adf1e27614ae29bbb0200f694f1f4.jpg,d288057f9103e14318f3c29479bbc872b7bdd5fe84955a4240ddb9c321ecabd1,1,1,400,400,False,False,both_wrong,0.7518825,0.9521771,0.6488037,0.9389833,1.1727575,0.2941138,0.005618987,0.006250565,5.181604,5.0750833,1.390582,1.3876411,400,400,True,True,0.0063329116,0.004203374,400,400,False,False,0.99212694,0.0,127,0.15,0.1,0.1,0.8260029,0.8055876,0.77250457,400,0.80950516,0.8041213,0.005383849,False,0.80950516,0.80950516,True,False
42,/home/lux1/noise/train/0002/019720dc77e44c1bb04aeae6970203c9.jpg,ce5db48c232e812ab82236e7241cf5fc9b7ae0db6ed52263009c992b242d0e0e,2,2,145,145,False,False,both_wrong,0.46426296,0.66528153,0.31133923,0.504468,1.8982509,1.2027858,0.15292373,0.16081353,1.877816,1.8275098,1.0448339,1.03108,353,353,False,False,0.22850704,0.27769908,353,145,False,False,0.9872901,0.35,2,0.35,0.25,0.25,0.91336346,0.90200794,0.876716,2,0.876716,0.875121,0.0015950203,True,0.87061775,0.87061775,True,False
