class_index,class_name,count,D3_STRICT_accuracy,B2_GCE07_accuracy
0,0000,21,0.9047619047619048,0.9047619047619048
1,0001,21,0.6666666666666666,0.6190476190476191
2,0002,21,0.7619047619047619,0.7142857142857143
3,0003,21,0.2857142857142857,0.047619047619047616
4,0004,21,0.9523809523809523,1.0
5,0005,20,0.3,0.35
6,0006,21,0.7619047619047619,0.7619047619047619
7,0007,20,0.8,0.8
8,0008,21,0.9523809523809523,0.9523809523809523
9,0009,21,1.0,0.9523809523809523
10,0010,21,0.9047619047619048,0.7619047619047619
11,0011,21,0.8095238095238095,0.8571428571428571
12,0012,21,0.9047619047619048,0.9523809523809523
13,0013,20,0.35,0.35
14,0014,22,0.6363636363636364,0.5909090909090909
15,0015,21,0.9047619047619048,0.9047619047619048
16,0016,21,0.2857142857142857,0.38095238095238093
17,0017,21,0.7619047619047619,0.7619047619047619
18,0018,20,0.7,0.7
19,0019,20,0.75,0.75
20,0020,20,0.85,0.85
21,0021,21,0.2857142857142857,0.19047619047619047
22,0022,22,0.7727272727272727,0.7272727272727273
23,0023,21,0.42857142857142855,0.42857142857142855
24,0024,21,0.8571428571428571,0.9047619047619048
25,0025,20,0.85,0.85
26,0026,21,0.5714285714285714,0.6190476190476191
27,0027,21,0.38095238095238093,0.42857142857142855
28,0028,21,0.6666666666666666,0.7619047619047619
29,0029,21,0.8095238095238095,0.8095238095238095
30,0030,20,0.95,0.95
31,0031,21,0.8571428571428571,0.7619047619047619
32,0032,21,0.8571428571428571,0.9047619047619048
33,0033,20,0.15,0.2
34,0034,21,0.9047619047619048,0.9047619047619048
35,0035,21,0.6190476190476191,0.6190476190476191
36,0036,20,0.55,0.6
37,0037,20,1.0,1.0
38,0038,21,0.42857142857142855,0.47619047619047616
39,0039,21,0.6666666666666666,0.6666666666666666
40,0040,21,0.6190476190476191,0.6666666666666666
41,0041,20,0.85,0.85
42,0042,20,0.4,0.35
43,0043,21,0.8571428571428571,0.8095238095238095
44,0044,21,0.5714285714285714,0.5714285714285714
45,0045,21,0.6190476190476191,0.6190476190476191
46,0046,21,0.9523809523809523,0.9523809523809523
47,0047,21,0.5238095238095238,0.42857142857142855
48,0048,21,0.47619047619047616,0.5238095238095238
49,0049,20,0.4,0.4
50,0050,20,0.8,0.85
51,0051,21,0.3333333333333333,0.3333333333333333
52,0052,21,0.7142857142857143,0.7142857142857143
53,0053,20,0.75,0.7
54,0054,21,0.9047619047619048,0.9047619047619048
55,0055,21,0.9523809523809523,0.9047619047619048
56,0056,21,0.6190476190476191,0.38095238095238093
57,0057,21,0.47619047619047616,0.5238095238095238
58,0058,20,1.0,1.0
59,0059,21,0.5714285714285714,0.42857142857142855
60,0060,20,0.45,0.55
61,0061,21,0.5714285714285714,0.2857142857142857
62,0062,20,0.85,0.9
63,0063,21,0.7142857142857143,0.7619047619047619
64,0064,21,0.8571428571428571,0.8571428571428571
65,0065,20,0.35,0.4
66,0066,21,0.9523809523809523,0.9047619047619048
67,0067,20,0.8,0.8
68,0068,20,0.55,0.75
69,0069,20,0.6,0.55
70,0070,20,0.9,0.8
71,0071,20,1.0,0.95
72,0072,20,0.85,0.8
73,0073,21,0.6666666666666666,0.7142857142857143
74,0074,20,0.7,0.75
75,0075,21,0.6666666666666666,0.5238095238095238
76,0076,21,0.8095238095238095,0.8571428571428571
77,0077,21,0.5238095238095238,0.5238095238095238
78,0078,21,0.6190476190476191,0.6666666666666666
79,0079,20,0.8,0.75
80,0080,21,0.8571428571428571,0.8571428571428571
81,0081,20,0.5,0.6
82,0082,21,0.8571428571428571,0.8571428571428571
83,0083,21,0.8095238095238095,0.7142857142857143
84,0084,20,0.2,0.45
85,0085,20,0.85,0.9
86,0086,21,0.7619047619047619,0.7619047619047619
87,0087,21,0.6190476190476191,0.6666666666666666
88,0088,21,0.42857142857142855,0.5238095238095238
89,0089,21,0.7142857142857143,0.6666666666666666
90,0090,20,0.85,0.9
91,0091,20,0.8,0.8
92,0092,21,0.8095238095238095,0.7619047619047619
93,0093,20,0.4,0.4
94,0094,20,0.85,0.75
95,0095,21,0.8095238095238095,0.7142857142857143
96,0096,20,0.75,0.75
97,0097,20,0.65,0.6
98,0098,20,0.65,0.8
99,0099,21,0.5238095238095238,0.5238095238095238
100,0100,21,0.8095238095238095,0.7619047619047619
101,0101,20,0.85,0.85
102,0102,21,0.3333333333333333,0.3333333333333333
103,0103,21,0.9523809523809523,0.9523809523809523
104,0104,20,0.3,0.5
105,0105,21,0.7142857142857143,0.6666666666666666
106,0106,21,0.9523809523809523,0.9523809523809523
107,0107,21,0.7142857142857143,0.7142857142857143
108,0108,21,0.5714285714285714,0.47619047619047616
109,0109,21,0.9523809523809523,0.9523809523809523
110,0110,21,0.9047619047619048,0.9047619047619048
111,0111,20,0.5,0.5
112,0112,21,0.7142857142857143,0.6666666666666666
113,0113,20,0.8,0.85
114,0114,20,0.9,0.95
115,0115,21,0.8095238095238095,0.8095238095238095
116,0116,20,0.85,0.75
117,0117,21,0.9523809523809523,0.9047619047619048
