sample_index,image_path,image_sha256,noisy_label,class_name,trusted_v1,rejection_reasons,knn_label_agreement,prototype_top1_label,prototype_margin,clip_flip_cosine,cross_class_duplicate_conflict
0,/home/lux1/noise/train/0000/09d3058f06334d9a84d29d4f6572f8bb.jpg,2b39e4741c3a5ccc5294cf10983de93b6aca3c9139c3384452c41cd795db5ea9,0,0,True,,0.95,0,0.021858454,0.9954046,False
1,/home/lux1/noise/train/0000/0c55bf3afa7f432bafe65d4559876b71.jpg,0c1c66b52db2d8fe5be9815367bbfc3d9408fe9d52998cab2391c03e94b0bf5c,0,0,True,,0.6,0,0.022213578,0.9910215,False
2,/home/lux1/noise/train/0000/39e6a5ba4de3490ebe465ee45ae90d4e.jpg,2cb8cef5f8aeaf6dcd9f73c0b588bfb44b2572873b3aa520f455bcd2d143a9f9,0,0,True,,0.7,0,0.020313084,0.9872471,False
3,/home/lux1/noise/train/0000/3d1a062c9f984363a37ce9b5446dd947.jpg,c10bba41b189e389c566a653cfebbdd05b56fa6ed212f434e3a48e40bfeeccd3,0,0,False,prototype_label_mismatch;low_prototype_margin,0.6,273,0.005630195,0.93834925,False
4,/home/lux1/noise/train/0000/4c8c3bd2b70341fc9542c6c318e65fed.jpg,a0f4f63d0b73650dfd63f40ab93daad586a778fb4f1416820e46a33a0c6d6c5c,0,0,False,prototype_label_mismatch,0.55,273,0.014994264,0.9564855,False
5,/home/lux1/noise/train/0000/6cfc9af6cb57469bb424f6966551103e.jpg,c56a76b3d736a35ce78a8c691467b4091c03196ad29daac911bf29c94001f104,0,0,False,prototype_label_mismatch;low_prototype_margin,0.75,273,0.00042951107,0.927179,False
6,/home/lux1/noise/train/0000/797e5019fa29482abd24a7f57e235128.jpg,d18f5a9873685c7942f699f90b12502382599ddbe66d8c9608d7e7b691df57ca,0,0,True,,0.7,0,0.014542162,0.9200578,False
7,/home/lux1/noise/train/0000/7ec55b24e8ec4e298153c43da92f96a6.jpg,49847b8adf7c971f7b508c046b3127182f2ce437e33629bfbc0f20d5f6b15240,0,0,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.05,176,0.009263337,0.9776871,False
8,/home/lux1/noise/train/0000/822b40e9f7a141ea932efb2c3b68d426.jpg,b300705d13e780a6b027eb3393d21aac3e112dbc54b314dd732fac756cb16855,0,0,False,low_knn_agreement;low_prototype_margin,0.35,0,0.0047937036,0.99305975,False
9,/home/lux1/noise/train/0000/9b564c452d4540e5af5fdb1a0aada719.jpg,023497eb68442df4d69623d8c7921388278f91b85413d861a1de11b5157d8323,0,0,True,,0.65,0,0.02094245,0.95928526,False
10,/home/lux1/noise/train/0000/9b787554d1a14fb892ad97db68eca514.jpg,c3dab542fe5643f23e329ee8b2d92f231b4efe67e100ce8e3e93f253cbb1e051,0,0,False,prototype_label_mismatch;low_prototype_margin,0.75,273,0.001548171,0.96071696,False
11,/home/lux1/noise/train/0000/aa1f43bfefb148acbb0042ac5b56766d.jpg,ebf66708620c7e0a006784c6fe578de530b03bcb85f377225a90a9d31f54447d,0,0,True,,0.9,0,0.024625659,0.97911596,False
12,/home/lux1/noise/train/0000/aca71334fd0b4b73ba588f96c35e2197.jpg,a86c8e6b691de10339eadfdc2a7b02bb7f95eb8a7eee98c59d2d2019f674d9ff,0,0,False,low_prototype_margin,0.55,0,0.0002925396,0.99645317,False
13,/home/lux1/noise/train/0000/acb1efd83e964a5dab3aa92fa53b3bf0.jpg,3d2edca37b23640bee17ab7cdf1382e07a171c14e3e406927f521ac49a984da7,0,0,False,low_knn_agreement;low_prototype_margin,0.3,0,0.006723821,0.8796548,False
14,/home/lux1/noise/train/0000/b03413c6dc664884974e0fbb81fe34dc.jpg,f4dda6b3d7e532f3488fc902cf2dcf5d7a3ac81fef1c6b4530446528cc79920c,0,0,True,,0.95,0,0.017959833,0.9929856,False
15,/home/lux1/noise/train/0000/b46a018db5f6455eaaa72aae65d3f6dc.jpg,444ce42728fe58b8c7ddcb00527305795fb6d350ef57281475ea2e575d43811e,0,0,False,low_prototype_margin,0.6,0,0.0047454834,0.99689835,False
16,/home/lux1/noise/train/0000/b50037c1644b46a1a6ec5adfda673640.jpg,1288accec222bdc3feadb5dd5fdee2d36d338438ed8803b09272891668f60bb5,0,0,False,low_knn_agreement,0.35,0,0.024643123,0.99334943,False
17,/home/lux1/noise/train/0000/bd399faf9cb742158e9bf2ad35a1ca6d.jpg,a2e6f31f44b43af41a923367af054c54eeb5230793175ec31747098730139228,0,0,False,low_knn_agreement;prototype_label_mismatch,0.0,230,0.026437461,0.9433941,False
18,/home/lux1/noise/train/0000/c7a0fb551d724dc0823bc7a1521bc0aa.jpg,c0eb502983ba86d526365cfa55989cb1d24136d89741d13a64f71bc7af687c62,0,0,True,,0.55,0,0.01635319,0.975358,False
19,/home/lux1/noise/train/0000/cfd1bad837de47d1b6404a7927891ae2.jpg,50e41495516e421432edc291ca45c960e884af7ba946ef4edbb8dcc9bc1fbee1,0,0,True,,0.7,0,0.019255996,0.97783357,False
20,/home/lux1/noise/train/0000/ed0f9fd9bd6f420ea7e237fb59966660.jpg,49ae2fda6613ec39325fd151774d0e33d7f16e5e4ce1e8a467f6d1709e833132,0,0,False,low_prototype_margin,0.7,0,0.0016098022,0.98078114,False
21,/home/lux1/noise/train/0001/0a0c36079ac84349bbae5cc99c0fb543.jpg,18da0621f8730fce82d06c32060b3200726604dadfc46129a3eb29555de7ca7a,1,1,False,prototype_label_mismatch;low_prototype_margin,0.55,408,0.0043169856,0.9923165,False
22,/home/lux1/noise/train/0001/14b3185afe9a47699bd900cba39d0fe8.jpg,51dc8d345188bcf7b74a562348a6ee874fa4f8543eb0c4cc4bfb2ef7da0c106b,1,1,False,low_knn_agreement,0.35,1,0.01804924,0.9820881,False
23,/home/lux1/noise/train/0001/198830e22f3b4209943a5c7f47306788.jpg,cebd93d6d247c9da1a1bd45509c1f535856d99aa182a113c1e26aeeb233d35d5,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,105,0.001278162,0.9891726,False
24,/home/lux1/noise/train/0001/1cb11c02ba474a74a70446e0f524ca1d.jpg,0b1859a6614c00fd0b8b6a4ae47134a6fed0c8e7a677e02e00f9b93b7cf9b141,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.3,219,0.008087635,0.98424697,False
25,/home/lux1/noise/train/0001/2661c82d63ce465c84a0e667c2a8f48d.jpg,0d47a9491e8767f708a974926d183cf2e4564e6f97bec7e4d57aaa5875ddf92b,1,1,False,low_knn_agreement;prototype_label_mismatch,0.0,313,0.010445476,0.976328,False
26,/home/lux1/noise/train/0001/30e7c21256124804bcc1ccf902b9c3ce.jpg,e5a986c00ef856dbc1786eb9bff0a5492425aee06ea107ae23218a67aab66843,1,1,False,low_knn_agreement;low_prototype_margin,0.15,1,0.0046715736,0.9913151,False
27,/home/lux1/noise/train/0001/4673107aec054355b15a2434293b9901.jpg,019823a97e22ab7721006be36a97064bb22d467b03e163b4d77801f5bca4da89,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.1,219,0.0003527999,0.9858644,False
28,/home/lux1/noise/train/0001/56771dca9375416891ecc5d374921819.jpg,16184655f119fdb61613c52c5ff4f55e8b24e6e5688fba2ca126870a09145c44,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin;low_clip_flip_cosine,0.0,70,7.688999e-06,0.75623155,False
29,/home/lux1/noise/train/0001/576bc772a4774410b9b9e8d0212be2bd.jpg,456f65045b2de0d5e3dbb4acdfb7033621deaf26433fd48611fbfe240f080844,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.3,219,0.0054861307,0.99416566,False
30,/home/lux1/noise/train/0001/5d001e5e47624ddda288a9f5a3f9bf10.jpg,c004804fc5095bdfd91570d038e6aaff5862e6288c51397fe6ac398d89b7eab8,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,461,0.004646957,0.9872216,False
31,/home/lux1/noise/train/0001/642ee5ddd55b4940bc8804ebad15949b.jpg,caddcce249a62b6903ae122f068e25692a42b14bc4b5e23e8b0487a57af6ac42,1,1,False,low_knn_agreement;low_prototype_margin,0.25,1,0.00018066168,0.9915091,False
32,/home/lux1/noise/train/0001/6477ee6e83d14d42ac481a904d790eda.jpg,b14e08be7ab7ee6891baf4b91143e6623f3ffb248f24f23539394a2a91e66456,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.15,219,0.00016468763,0.98108226,False
33,/home/lux1/noise/train/0001/9e24a765dfb34ad2b312483b83945106.jpg,968b4124f87092efcdeae61d95125c43f54898bf9f0f1f9fa8993080634b3e7f,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.1,219,0.0030193925,0.99069357,False
34,/home/lux1/noise/train/0001/aa66fa2842f7478a9ec4fc88666aa748.jpg,07e83382e44a33802db767d64b9c5cd50646dc91ce70f30a77459f9af2b8b3bb,1,1,True,,0.45,1,0.010660827,0.9768429,False
35,/home/lux1/noise/train/0001/cd92a71b50a14b25a5d4fabb4dd0ff8d.jpg,00fc3975005648afc5ee3fdec498eb9c19fe34674fec779180f8523a550ed6d4,1,1,False,prototype_label_mismatch;low_prototype_margin,0.5,219,0.0014814138,0.9548154,False
36,/home/lux1/noise/train/0001/cf6dd1229da544f1ae644fb12ff0a710.jpg,de8277b4dae392b80487e864df5c74e35f8b34c81a507bf04453968a20e5b663,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.05,226,0.0024684072,0.97875255,False
37,/home/lux1/noise/train/0001/d9ff186b11e248b68ea55a980217dd99.jpg,af6cce762daa8324c59df14b122ad304456351944573db5e880a984474f32a90,1,1,True,,0.65,1,0.016262054,0.9868673,False
38,/home/lux1/noise/train/0001/e51ec98d8788472d812fb58a22d57518.jpg,4016989cdafc51f7a99433968273342737b49a1bfd1aefd399c9a7215b9d460b,1,1,False,low_knn_agreement;low_prototype_margin,0.25,1,0.0054018497,0.98601806,False
39,/home/lux1/noise/train/0001/eabc588256c14b3d86acbf84e9141d5d.jpg,7a3442120f7284f4aa6aedddaa1cc97d2b324a48d83c2c5900b01d1e49887ac6,1,1,False,low_knn_agreement,0.3,1,0.015729964,0.97827923,False
40,/home/lux1/noise/train/0001/ed6adf1e27614ae29bbb0200f694f1f4.jpg,d288057f9103e14318f3c29479bbc872b7bdd5fe84955a4240ddb9c321ecabd1,1,1,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,400,0.005383849,0.99212694,False
41,/home/lux1/noise/train/0001/f9db8cc69d8a44b69caf9af9f850aaed.jpg,945eb1374cc99cfd98dde65e4e3a6b9e91c3244042d561cd35d007a0d1c88c03,1,1,False,low_knn_agreement,0.25,1,0.017348588,0.9858597,False
42,/home/lux1/noise/train/0002/019720dc77e44c1bb04aeae6970203c9.jpg,ce5db48c232e812ab82236e7241cf5fc9b7ae0db6ed52263009c992b242d0e0e,2,2,False,low_knn_agreement;low_prototype_margin,0.35,2,0.0015950203,0.9872901,False
43,/home/lux1/noise/train/0002/025708928ee74de7bbd19a4d6f44227d.jpg,f6c9a2303308223b1527e171c3607e24b00124011a6fb7d3c127dddebbd3a72c,2,2,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.0,124,0.009675682,0.9904266,False
44,/home/lux1/noise/train/0002/07225719dfbc4f31b8d45cc3f65d6549.jpg,d1a975bf0fa6d758b039a976e070b793fec974bb7275d4836e6cd967ef395c0e,2,2,False,low_knn_agreement;low_prototype_margin,0.35,2,0.0075494647,0.9902231,False
45,/home/lux1/noise/train/0002/0be65dc03079463fb722bba7dea09513.jpg,ea5ac281e15bf9cfa37baec9602ff19a7862fe2e47e4ae4347c7407c199fb708,2,2,False,low_prototype_margin,0.5,2,0.008310974,0.9512357,False
46,/home/lux1/noise/train/0002/0eb34f0c82324d7093e4f432e2df906b.jpg,81e41b8441e57dcb5777664d2422e442402e4dd07b15549a674c7d77f6182610,2,2,True,,0.4,2,0.016533256,0.9947195,False
47,/home/lux1/noise/train/0002/1338226bf47047a38933b30caebfeec3.jpg,cc1cd98ddd8a5282e3717a314f3c596abb93aec9559a41e4c3cf2e567c290e63,2,2,False,low_knn_agreement;prototype_label_mismatch,0.35,353,0.0148922205,0.9359597,False
48,/home/lux1/noise/train/0002/3e6e604230f94c82856ef068b6a14577.jpg,8874a674645b6b5b5c1aef32de5486d6f7698f708b28d5a40d6a8b5496708025,2,2,False,low_knn_agreement;prototype_label_mismatch;low_prototype_margin,0.05,18,0.0096901655,0.9895505,False
49,/home/lux1/noise/train/0002/556ffb66c06a4affbcb7ddf2981ebf5c.jpg,89cd256835b5d3b30e7ea73795f86e320bbb51c78688cb9a1e7b5b5878d45674,2,2,False,low_knn_agreement,0.3,2,0.041792274,0.97885436,False
