epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.348021,0.225645,3.921740,0.409450,0.00500000,0.00000000,0.125212,0.000000,130.45
2,3.049940,0.507315,2.466527,0.562080,0.00499491,0.00000000,0.114904,0.000000,136.06
3,2.218047,0.593779,2.043889,0.605081,0.00497968,0.00000000,0.102541,0.000000,135.99
4,1.898079,0.630738,1.843119,0.629300,0.00495436,0.00000000,0.095717,0.000000,131.54
5,1.719644,0.653026,1.725235,0.643337,0.00491905,0.00000000,0.091334,0.000000,135.67
6,1.603520,0.670190,1.648309,0.650751,0.00487391,0.00000000,0.088609,0.000000,144.51
7,1.516951,0.682520,1.593995,0.656485,0.00481912,0.00000000,0.086201,0.000000,133.31
8,1.452720,0.691994,1.547656,0.665579,0.00475490,0.00000000,0.084624,0.000000,1345.04
9,1.395584,0.702359,1.516833,0.671609,0.00468151,0.00000000,0.083185,0.000000,216.17
9,1.396871,0.701145,1.516307,0.669237,0.00468151,0.00000000,0.083230,0.000000,205.97
10,1.352278,0.710586,1.490556,0.673784,0.00459927,0.00000000,0.081826,0.000000,223.09
10,1.349802,0.709394,1.489454,0.675761,0.00459927,0.00000000,0.082052,0.000000,221.04
11,1.311138,0.716182,1.471334,0.674278,0.00450850,0.00000000,0.081015,0.000000,235.08
11,1.316372,0.715022,1.469691,0.676354,0.00450850,0.00000000,0.081056,0.000000,236.78
12,1.280665,0.722670,1.454394,0.676947,0.00440958,0.00000000,0.080175,0.000000,236.13
12,1.278268,0.722949,1.451873,0.678430,0.00440958,0.00000000,0.080110,0.000000,237.45
13,1.252078,0.727697,1.437784,0.682780,0.00430291,0.00000000,0.079354,0.000000,233.11
13,1.247236,0.728234,1.437864,0.680803,0.00430291,0.00000000,0.079130,0.000000,233.29
14,1.226932,0.732036,1.424684,0.682384,0.00418894,0.00000000,0.078515,0.000000,233.68
14,1.222491,0.731628,1.427045,0.679814,0.00418894,0.00000000,0.078633,0.000000,233.80
15,1.197972,0.736955,1.417925,0.683472,0.00406814,0.00000000,0.077766,0.000000,240.77
15,1.201042,0.736891,1.414489,0.684757,0.00406814,0.00000000,nan,0.000000,240.77
16,1.179454,0.740596,1.405113,0.682483,0.00394099,0.00000000,0.077303,0.000000,229.79
16,1.183381,0.740102,1.407426,0.684955,0.00394099,0.00000000,0.077361,0.000000,229.80
17,1.160782,0.743883,1.398420,0.687030,0.00380802,0.00000000,nan,0.000000,231.37
17,1.161414,0.744334,1.398472,0.687030,0.00380802,0.00000000,0.076805,0.000000,230.58
18,1.145415,0.746848,1.391744,0.685449,0.00366978,0.00000000,0.076221,0.000000,222.96
18,1.146170,0.746579,1.391393,0.688810,0.00366978,0.00000000,0.076353,0.000000,222.97
19,1.130473,0.749672,1.385540,0.687030,0.00352684,0.00000000,0.075944,0.000000,221.66
19,1.131858,0.749758,1.385447,0.689897,0.00352684,0.00000000,0.076000,0.000000,222.50
20,1.115248,0.752111,1.382007,0.687525,0.00337978,0.00000000,0.075589,0.000000,232.52
20,1.112835,0.753034,1.379868,0.690293,0.00337978,0.00000000,nan,0.000000,233.20
21,1.102554,0.755591,1.375280,0.691775,0.00322921,0.00000000,0.075179,0.000000,229.08
21,1.101940,0.754721,1.376381,0.689798,0.00322921,0.00000000,0.074953,0.000000,228.43
22,1.091314,0.757943,1.371076,0.690194,0.00307574,0.00000000,0.074727,0.000000,230.81
22,1.089806,0.757750,1.372640,0.689798,0.00307574,0.00000000,0.074813,0.000000,231.55
23,1.077731,0.759941,1.367696,0.692863,0.00292001,0.00000000,0.074397,0.000000,238.94
23,1.077351,0.760488,1.367074,0.691578,0.00292001,0.00000000,nan,0.000000,239.69
24,1.068844,0.761573,1.364521,0.690985,0.00276266,0.00000000,0.074090,0.000000,235.26
24,1.070160,0.761896,1.365842,0.691775,0.00276266,0.00000000,0.074118,0.000000,234.83
25,1.057714,0.764140,1.361960,0.693752,0.00260433,0.00000000,0.073796,0.000000,236.08
25,1.057983,0.763958,1.361561,0.693159,0.00260433,0.00000000,nan,0.000000,236.14
26,1.048038,0.766933,1.360052,0.692665,0.00244567,0.00000000,0.073767,0.000000,233.66
26,1.051103,0.765150,1.358793,0.693654,0.00244567,0.00000000,0.073587,0.000000,233.68
27,1.040037,0.766364,1.357413,0.693258,0.00228734,0.00000000,0.073362,0.000000,234.94
27,1.042691,0.767825,1.356808,0.693258,0.00228734,0.00000000,0.073368,0.000000,234.95
28,1.032174,0.769189,1.354189,0.692665,0.00212999,0.00000000,nan,0.000000,216.67
28,1.034391,0.769210,1.354380,0.694346,0.00212999,0.00000000,nan,0.000000,215.99
