epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,4.420501,0.309102,3.506162,0.473211,0.00300000,3.65
2,3.444118,0.493491,3.398236,0.506821,0.00299695,1.80
3,3.362185,0.520472,3.335233,0.523231,0.00298781,3.10
4,3.306202,0.532416,3.288728,0.533215,0.00297262,3.21
5,3.256190,0.539806,3.245722,0.541123,0.00295143,3.15
6,3.210724,0.547475,3.200613,0.544385,0.00292435,3.18
7,3.167637,0.554467,3.160379,0.545374,0.00289147,3.36
8,3.126643,0.558721,3.118990,0.557335,0.00285294,3.13
9,3.086911,0.565530,3.085016,0.560202,0.00280891,3.14
10,3.049380,0.569816,3.045793,0.565639,0.00275956,1.68
11,3.011885,0.573769,3.015393,0.569988,0.00270510,3.09
12,2.975868,0.578129,2.981378,0.572657,0.00264575,3.13
13,2.941407,0.581824,2.951802,0.575227,0.00258175,3.64
14,2.908484,0.585025,2.920195,0.576908,0.00251337,3.37
15,2.876450,0.588731,2.891247,0.577303,0.00244088,3.31
16,2.845988,0.593833,2.862281,0.584322,0.00236459,3.06
17,2.816516,0.594756,2.836749,0.585706,0.00228481,3.14
18,2.787900,0.597796,2.812329,0.582543,0.00220187,1.77
19,2.761649,0.601383,2.788364,0.582641,0.00211610,3.14
20,2.736237,0.603983,2.764373,0.589660,0.00202787,3.15
21,2.711439,0.606947,2.743306,0.591340,0.00193752,3.16
22,2.687767,0.609697,2.723239,0.591736,0.00184544,3.18
23,2.666070,0.611662,2.703960,0.597173,0.00175201,3.20
24,2.644813,0.614412,2.685390,0.596283,0.00165759,3.11
25,2.624860,0.616013,2.667992,0.595393,0.00156260,3.14
26,2.606101,0.619095,2.652288,0.596283,0.00146740,3.18
27,2.588065,0.620749,2.636670,0.603598,0.00137241,3.20
28,2.571651,0.622371,2.621956,0.603796,0.00127799,3.08
29,2.555544,0.624369,2.608862,0.603401,0.00118456,3.18
30,2.540541,0.625379,2.596809,0.605674,0.00109248,1.19
31,2.526588,0.628375,2.585470,0.605476,0.00100213,3.30
32,2.513817,0.630072,2.573782,0.606366,0.00091390,2.99
33,2.501716,0.632135,2.563952,0.606564,0.00082813,3.16
34,2.490020,0.633638,2.554811,0.610518,0.00074519,3.27
35,2.479347,0.635507,2.546695,0.613484,0.00066541,3.17
36,2.469658,0.636700,2.538822,0.610419,0.00058912,3.06
37,2.460549,0.637484,2.531997,0.610617,0.00051663,2.83
38,2.452246,0.639084,2.525242,0.611902,0.00044825,1.52
39,2.444418,0.639965,2.519562,0.613385,0.00038425,3.04
40,2.437347,0.640856,2.514242,0.613879,0.00032490,3.04
41,2.430787,0.642102,2.509543,0.612792,0.00027044,3.22
42,2.424889,0.642908,2.505116,0.612693,0.00022109,3.16
43,2.419404,0.644068,2.501281,0.612890,0.00017706,3.22
44,2.414437,0.644003,2.497658,0.613484,0.00013853,3.31
45,2.409935,0.645142,2.494422,0.613582,0.00010565,2.95
46,2.405820,0.645797,2.491407,0.613978,0.00007857,3.08
47,2.402060,0.645990,2.488594,0.614077,0.00005738,1.67
48,2.398661,0.646323,2.485906,0.614176,0.00004219,2.73
49,2.395546,0.646689,2.483326,0.614373,0.00003305,2.93
50,2.392677,0.646549,2.480816,0.614373,0.00003000,2.73
