epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,6.223393,0.001873,6.227559,0.002034,0.00250000,0.00000000,0.125320,0.000000,66.38
epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.717948,0.203217,4.835756,0.353032,0.00250000,0.00000000,0.125891,0.000000,139.32
2,3.776738,0.462603,2.942243,0.525770,0.00500000,0.00000000,0.120767,0.000000,145.38
3,2.444291,0.579261,2.227299,0.586999,0.00499470,0.00000000,0.106914,0.000000,149.74
4,1.959735,0.631932,1.950980,0.613447,0.00497883,0.00000000,0.097455,0.000000,151.25
5,1.727266,0.660222,1.803920,0.627010,0.00495244,0.00000000,0.091740,0.000000,151.37
6,1.583005,0.678598,1.709745,0.638636,0.00491567,0.00000000,0.088164,0.000000,145.14
7,1.481357,0.693647,1.643970,0.645611,0.00486865,0.00000000,0.085557,0.000000,151.13
8,1.403504,0.706607,1.594514,0.653846,0.00481160,0.00000000,0.083419,0.000000,149.02
9,1.341700,0.716479,1.557724,0.659271,0.00474476,0.00000000,0.082006,0.000000,144.78
10,1.290036,0.726501,1.529627,0.663147,0.00466841,0.00000000,0.080301,0.000000,145.58
11,1.246394,0.733272,1.507047,0.666925,0.00458289,0.00000000,0.079154,0.000000,144.67
12,1.208394,0.741377,1.487937,0.671382,0.00448855,0.00000000,0.078167,0.000000,145.64
13,1.174912,0.746362,1.473286,0.670219,0.00438580,0.00000000,0.077108,0.000000,144.19
14,1.145518,0.753025,1.459138,0.673125,0.00427509,0.00000000,0.076354,0.000000,143.28
15,1.119528,0.756007,1.445508,0.677001,0.00415688,0.00000000,0.075505,0.000000,144.24
16,1.095131,0.762218,1.437320,0.677194,0.00403168,0.00000000,0.074673,0.000000,144.77
17,1.074395,0.766319,1.429281,0.677969,0.00390004,0.00000000,nan,0.000000,145.05
18,1.054345,0.769775,1.422932,0.679132,0.00376250,0.00000000,0.073653,0.000000,153.35
19,1.036475,0.773478,1.417386,0.680876,0.00361966,0.00000000,0.073119,0.000000,155.52
20,1.019708,0.777515,1.412424,0.681360,0.00347214,0.00000000,nan,0.000000,154.04
21,1.004987,0.779872,1.406368,0.682813,0.00332056,0.00000000,0.071963,0.000000,154.93
22,0.991030,0.782768,1.403180,0.684848,0.00316558,0.00000000,0.071612,0.000000,153.98
23,0.978304,0.786019,1.398777,0.686204,0.00300785,0.00000000,nan,0.000000,154.18
24,0.966472,0.788818,1.395621,0.684557,0.00284805,0.00000000,0.070922,0.000000,154.10
25,0.955735,0.790680,1.394445,0.684751,0.00268687,0.00000000,nan,0.000000,153.34
26,0.945570,0.792962,1.391476,0.684073,0.00252500,0.00000000,nan,0.000000,154.39
27,0.936413,0.795072,1.387791,0.684751,0.00236313,0.00000000,0.069992,0.000000,155.23
28,0.927959,0.797537,1.388104,0.684460,0.00220195,0.00000000,0.069635,0.000000,153.09
29,0.920312,0.799119,1.385989,0.687076,0.00204215,0.00000000,0.069184,0.000000,155.09
30,0.912889,0.800659,1.384270,0.688142,0.00188442,0.00000000,0.069128,0.000000,153.63
31,0.906310,0.802489,1.382546,0.689208,0.00172944,0.00000000,nan,0.000000,153.75
32,0.900370,0.803501,1.381017,0.687754,0.00157786,0.00000000,0.068550,0.000000,153.05
33,0.895020,0.805438,1.380140,0.689208,0.00143034,0.00000000,0.068601,0.000000,153.77
34,0.889934,0.805912,1.378246,0.688529,0.00128750,0.00000000,nan,0.000000,152.58
35,0.885489,0.807193,1.378141,0.689692,0.00114996,0.00000000,0.068252,0.000000,152.27
36,0.881445,0.808851,1.377474,0.689789,0.00101832,0.00000000,0.068055,0.000000,151.01
37,0.877887,0.809271,1.376731,0.688336,0.00089312,0.00000000,0.068025,0.000000,153.05
38,0.874592,0.810390,1.375870,0.690564,0.00077491,0.00000000,nan,0.000000,153.32
39,0.871728,0.811251,1.375356,0.689498,0.00066420,0.00000000,0.067550,0.000000,150.77
40,0.869281,0.811639,1.375174,0.690854,0.00056145,0.00000000,0.067330,0.000000,152.94
41,0.867041,0.812371,1.374948,0.690079,0.00046711,0.00000000,0.067385,0.000000,8772.50
42,0.865167,0.812683,1.374708,0.689595,0.00038159,0.00000000,0.067215,0.000000,149.98
43,0.863561,0.813210,1.374515,0.689886,0.00030524,0.00000000,0.067324,0.000000,147.37
44,0.862221,0.813738,1.374416,0.690273,0.00023840,0.00000000,nan,0.000000,148.76
45,0.861104,0.814050,1.374334,0.690854,0.00018135,0.00000000,0.067055,0.000000,149.35
46,0.860197,0.814416,1.374298,0.690758,0.00013433,0.00000000,nan,0.000000,150.15
47,0.859492,0.814524,1.374229,0.690467,0.00009756,0.00000000,0.067102,0.000000,150.87
48,0.858964,0.814664,1.374178,0.690467,0.00007117,0.00000000,0.067096,0.000000,150.87
49,0.858593,0.814944,1.374200,0.690467,0.00005530,0.00000000,0.067069,0.000000,150.54
50,0.858347,0.814879,1.374153,0.690467,0.00005000,0.00000000,0.067065,0.000000,150.23
epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.718450,0.199931,4.827599,0.371656,0.00250000,0.00000000,0.125756,0.000000,140.70
2,3.779117,0.461120,2.922896,0.529372,0.00500000,0.00000000,0.120546,0.000000,147.11
3,2.447339,0.578750,2.199701,0.595192,0.00499470,0.00000000,0.106855,0.000000,148.35
4,1.962867,0.630191,1.918354,0.625921,0.00497883,0.00000000,0.097092,0.000000,147.01
epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.718450,0.199931,4.827599,0.371656,0.00250000,0.00000000,0.125756,0.000000,142.95
2,3.779117,0.461120,2.922896,0.529372,0.00500000,0.00000000,0.120546,0.000000,145.92
3,2.447339,0.578750,2.199701,0.595192,0.00499470,0.00000000,0.106855,0.000000,144.18
4,1.962867,0.630191,1.918354,0.625921,0.00497883,0.00000000,0.097092,0.000000,145.30
5,1.731163,0.656154,1.767808,0.638232,0.00495244,0.00000000,0.091987,0.000000,146.33
6,1.587058,0.677327,1.670698,0.656747,0.00491567,0.00000000,0.088189,0.000000,144.83
7,1.485295,0.693570,1.602681,0.662757,0.00486865,0.00000000,0.085404,0.000000,145.99
8,1.407914,0.704958,1.554765,0.671578,0.00481160,0.00000000,0.083526,0.000000,147.61
9,1.346130,0.714968,1.514882,0.675553,0.00474476,0.00000000,0.081850,0.000000,146.83
10,1.294207,0.724914,1.487127,0.675940,0.00466841,0.00000000,0.080325,0.000000,144.94
11,1.250562,0.732180,1.461322,0.680690,0.00458289,0.00000000,0.079255,0.000000,145.95
12,1.212897,0.738951,1.442097,0.687379,0.00448855,0.00000000,0.078174,0.000000,145.09
13,1.179439,0.744548,1.425180,0.688251,0.00438580,0.00000000,0.077194,0.000000,147.57
14,1.150381,0.750694,1.411713,0.689221,0.00427509,0.00000000,0.076591,0.000000,152.48
15,1.124010,0.755603,1.400428,0.690481,0.00415688,0.00000000,0.075592,0.000000,145.97
16,1.100352,0.760586,1.391889,0.691838,0.00403168,0.00000000,0.075051,0.000000,146.69
17,1.078652,0.763913,1.381019,0.694940,0.00390004,0.00000000,nan,0.000000,145.34
18,1.059284,0.768832,1.375118,0.692323,0.00376250,0.00000000,0.073621,0.000000,145.50
19,1.041472,0.772212,1.366833,0.696103,0.00361966,0.00000000,0.073225,0.000000,145.14
20,1.025127,0.775635,1.361602,0.697557,0.00347214,0.00000000,nan,0.000000,147.08
21,1.009999,0.778627,1.355591,0.699011,0.00332056,0.00000000,nan,0.000000,147.96
22,0.995985,0.782039,1.352559,0.700853,0.00316558,0.00000000,0.071671,0.000000,147.17
23,0.983484,0.784440,1.347684,0.700756,0.00300785,0.00000000,0.071353,0.000000,149.52
24,0.971550,0.787486,1.345174,0.701725,0.00284805,0.00000000,0.071009,0.000000,144.99
25,0.960825,0.790080,1.340908,0.700271,0.00268687,0.00000000,0.070742,0.000000,145.80
26,0.950833,0.792050,1.339021,0.703276,0.00252500,0.00000000,nan,0.000000,144.30
27,0.941325,0.794741,1.337103,0.701435,0.00236313,0.00000000,0.070179,0.000000,147.90
28,0.933001,0.796495,1.336065,0.700078,0.00220195,0.00000000,0.069684,0.000000,147.10
29,0.925048,0.797475,1.332934,0.701435,0.00204215,0.00000000,nan,0.000000,145.01
30,0.918155,0.799649,1.330555,0.700853,0.00188442,0.00000000,0.069283,0.000000,145.93
31,0.911336,0.801619,1.329564,0.702598,0.00172944,0.00000000,0.068972,0.000000,146.78
32,0.905653,0.802555,1.327948,0.701822,0.00157786,0.00000000,0.068865,0.000000,147.02
33,0.900092,0.803944,1.326392,0.703373,0.00143034,0.00000000,0.068591,0.000000,150.80
34,0.895023,0.805257,1.325592,0.704537,0.00128750,0.00000000,nan,0.000000,146.73
35,0.890590,0.805968,1.324667,0.704246,0.00114996,0.00000000,0.068334,0.000000,146.02
36,0.886413,0.807733,1.324657,0.705021,0.00101832,0.00000000,0.068160,0.000000,147.68
37,0.882890,0.808099,1.323062,0.704537,0.00089312,0.00000000,nan,0.000000,148.00
38,0.879669,0.808917,1.322588,0.704827,0.00077491,0.00000000,0.067912,0.000000,146.22
39,0.876826,0.810058,1.321998,0.704052,0.00066420,0.00000000,0.067577,0.000000,146.90
40,0.874249,0.810639,1.321744,0.704440,0.00056145,0.00000000,nan,0.000000,146.06
41,0.872123,0.811296,1.321310,0.704440,0.00046711,0.00000000,0.067748,0.000000,146.92
