epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,5.648206,0.199459,4.619293,0.366054,0.00300000,129.95
2,3.746471,0.457627,3.061373,0.522736,0.00299695,139.74
3,2.732059,0.552899,2.456479,0.568308,0.00298781,138.64
4,2.282243,0.595497,2.155848,0.598359,0.00297262,139.80
5,2.031726,0.621179,1.979313,0.614571,0.00295143,138.27
6,1.871965,0.639213,1.862303,0.627323,0.00292435,137.21
7,1.757041,0.652252,1.779052,0.635726,0.00289147,141.87
8,1.672746,0.663423,1.713559,0.647390,0.00285294,144.18
9,1.601203,0.672424,1.665788,0.653420,0.00280891,140.66
10,1.546943,0.682510,1.625394,0.654310,0.00275956,138.10
11,1.502588,0.688116,1.594801,0.659055,0.00270510,139.60
12,1.460226,0.695087,1.569097,0.663602,0.00264575,137.91
13,1.426580,0.700082,1.545391,0.668446,0.00258175,139.08
14,1.397061,0.704722,1.526025,0.669336,0.00251337,138.05
15,1.368011,0.710296,1.509387,0.673488,0.00244088,137.97
16,1.346999,0.713787,1.496462,0.675069,0.00236459,137.57
17,1.322636,0.718191,1.483131,0.678628,0.00228481,137.64
18,1.304952,0.720156,1.472163,0.679320,0.00220187,139.72
19,1.288085,0.724088,1.462742,0.679616,0.00211610,139.68
20,1.268731,0.726698,1.453781,0.681198,0.00202787,136.53
21,1.256340,0.729243,1.446954,0.681594,0.00193752,141.06
22,1.243275,0.730854,1.440532,0.683669,0.00184544,136.85
23,1.230310,0.734055,1.433724,0.686734,0.00175201,137.81
24,1.220484,0.735290,1.428285,0.684164,0.00165759,137.83
25,1.208861,0.738029,1.423499,0.684757,0.00156260,140.03
26,1.198660,0.740006,1.419902,0.685449,0.00146740,139.70
27,1.189643,0.740725,1.415616,0.686042,0.00137241,139.29
28,1.183728,0.742755,1.411529,0.688711,0.00127799,136.04
29,1.175827,0.743926,1.408140,0.687327,0.00118456,137.83
30,1.169046,0.744721,1.405408,0.689106,0.00109248,137.96
31,1.164431,0.746729,1.403360,0.688414,0.00100213,137.12
32,1.158464,0.748276,1.399788,0.689008,0.00091390,137.23
33,1.152971,0.748910,1.398349,0.689502,0.00082813,135.76
34,1.148054,0.749586,1.396442,0.688414,0.00074519,137.71
35,1.143962,0.751380,1.395524,0.689897,0.00066541,136.16
36,1.142803,0.750994,1.393901,0.689699,0.00058912,136.59
37,1.140725,0.751165,1.393058,0.689699,0.00051663,140.71
38,1.136723,0.752057,1.391669,0.690688,0.00044825,135.51
39,1.133365,0.753120,1.390705,0.690293,0.00038425,134.74
40,1.131146,0.752454,1.390108,0.691479,0.00032490,135.88
41,1.129027,0.753088,1.389582,0.691380,0.00027044,134.94
42,1.128839,0.754162,1.389167,0.691281,0.00022109,141.57
