epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.872941,0.154142,1.761400,0.244720,,,0,0.00250000,0.00000000,0.008256,0.000000,362.15
2,1.443043,0.383661,1.179658,0.502519,,,0,0.00500000,0.00000000,0.028946,0.000000,452.17
3,1.000438,0.584451,0.944147,0.586127,,,0,0.00499470,0.00000000,0.034907,0.000000,503.80
4,0.836495,0.641340,0.852203,0.613156,,,0,0.00497883,0.00000000,0.033330,0.000000,440.79
5,0.755763,0.667931,0.799625,0.630401,,,0,0.00495244,0.00000000,0.031888,0.000000,434.52
6,0.703469,0.686310,0.763778,0.639411,,,0,0.00491567,0.00000000,0.030801,0.000000,359.32
7,0.665422,0.700729,0.737319,0.647355,,,0,0.00486865,0.00000000,0.029930,0.000000,347.57
8,0.635460,0.712397,0.718439,0.652102,,,0,0.00481160,0.00000000,0.029191,0.000000,320.20
9,0.610942,0.721882,0.701478,0.656753,,,0,0.00474476,0.00000000,0.028495,0.000000,307.58
10,0.590244,0.730654,0.688132,0.662081,,,0,0.00466841,0.00000000,0.027989,0.000000,311.46
11,0.572581,0.738692,0.675500,0.667313,,,0,0.00458289,0.00000000,0.027537,0.000000,308.74
12,0.556704,0.745973,0.666451,0.669444,,,0,0.00448855,0.00000000,0.027091,0.000000,311.93
13,0.543040,0.752048,0.658219,0.673513,,,0,0.00438580,0.00000000,0.026665,0.000000,308.44
14,0.530874,0.757717,0.651084,0.674869,,,0,0.00427509,0.00000000,0.026250,0.000000,310.46
15,0.519888,0.763211,0.645404,0.677001,,,0,0.00415688,0.00000000,0.025935,0.000000,309.78
16,0.510068,0.767454,0.639410,0.678454,,,0,0.00403168,0.00000000,0.025663,0.000000,306.16
17,0.501072,0.772170,0.634440,0.678841,,,0,0.00390004,0.00000000,0.025399,0.000000,304.31
18,0.492943,0.775711,0.630625,0.682232,,,0,0.00376250,0.00000000,0.024985,0.000000,314.08
19,0.485463,0.779374,0.626057,0.682813,,,0,0.00361966,0.00000000,0.024741,0.000000,307.40
20,0.478540,0.783420,0.623215,0.680973,,,0,0.00347214,0.00000000,nan,0.000000,305.33
21,0.472377,0.786600,0.618941,0.685623,,,0,0.00332056,0.00000000,0.024268,0.000000,309.56
22,0.466482,0.788618,0.617546,0.685332,,,0,0.00316558,0.00000000,0.024116,0.000000,308.11
23,0.461157,0.791787,0.614843,0.686689,,,0,0.00300785,0.00000000,nan,0.000000,312.51
24,0.456268,0.794419,0.612330,0.688820,,,0,0.00284805,0.00000000,0.023768,0.000000,319.83
25,0.451893,0.796809,0.610088,0.688626,,,0,0.00268687,0.00000000,0.023587,0.000000,311.07
26,0.447528,0.799035,0.608348,0.689208,,,0,0.00252500,0.00000000,nan,0.000000,302.66
27,0.443733,0.800647,0.606413,0.689498,,,0,0.00236313,0.00000000,0.023237,0.000000,307.49
28,0.440216,0.802752,0.604884,0.691823,,,0,0.00220195,0.00000000,0.023145,0.000000,307.35
29,0.436902,0.804507,0.603594,0.690951,,,0,0.00204215,0.00000000,nan,0.000000,308.69
30,0.433930,0.806338,0.602426,0.690951,,,0,0.00188442,0.00000000,0.022846,0.000000,309.85
31,0.431222,0.807314,0.601271,0.691339,,,0,0.00172944,0.00000000,0.022729,0.000000,304.89
32,0.428761,0.808772,0.599600,0.692501,,,0,0.00157786,0.00000000,nan,0.000000,305.13
33,0.426531,0.810351,0.599002,0.691436,,,0,0.00143034,0.00000000,0.022539,0.000000,304.28
34,0.424489,0.810944,0.598269,0.691533,,,0,0.00128750,0.00000000,0.022514,0.000000,303.85
35,0.422589,0.812468,0.597733,0.693083,,,0,0.00114996,0.00000000,nan,0.000000,309.09
36,0.420922,0.813115,0.596933,0.692792,,,0,0.00101832,0.00000000,0.022349,0.000000,311.71
37,0.419492,0.814080,0.596415,0.694148,,,0,0.00089312,0.00000000,0.022322,0.000000,308.46
38,0.418176,0.814792,0.595840,0.693470,,,0,0.00077491,0.00000000,nan,0.000000,306.64
39,0.416998,0.815439,0.595521,0.693083,,,0,0.00066420,0.00000000,0.022191,0.000000,307.01
40,0.416004,0.815977,0.595237,0.694439,,,0,0.00056145,0.00000000,0.022164,0.000000,306.91
41,0.415110,0.816558,0.594936,0.693955,,,0,0.00046711,0.00000000,0.022113,0.000000,310.91
42,0.414370,0.817161,0.594823,0.694439,,,0,0.00038159,0.00000000,nan,0.000000,310.33
43,0.413723,0.817216,0.594691,0.693567,,,0,0.00030524,0.00000000,0.022088,0.000000,306.79
44,0.413200,0.817764,0.594520,0.694052,,,0,0.00023840,0.00000000,0.021965,0.000000,304.21
45,0.412761,0.817808,0.594426,0.694148,,,0,0.00018135,0.00000000,nan,0.000000,306.22
46,0.412415,0.818148,0.594339,0.694730,,,0,0.00013433,0.00000000,0.021935,0.000000,307.53
47,0.412145,0.818356,0.594287,0.694342,,,0,0.00009756,0.00000000,0.021907,0.000000,314.56
48,0.411948,0.818411,0.594254,0.694827,,,0,0.00007117,0.00000000,nan,0.000000,310.86
49,0.411802,0.818521,0.594226,0.694730,,,0,0.00005530,0.00000000,0.021962,0.000000,306.64
50,0.411706,0.818619,0.594206,0.694923,,,0,0.00005000,0.00000000,0.021932,0.000000,305.82
