epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.394014,0.131447,1.326275,0.174680,0.00250000,0.00000000,0.003480,0.000000,453.09
2,1.111362,0.345565,0.928770,0.481970,0.00500000,0.00000000,0.021109,0.000000,435.60
3,0.808760,0.553904,0.755474,0.580361,0.00499470,0.00000000,0.025785,0.000000,546.00
4,0.683374,0.619021,0.682570,0.609732,0.00497883,0.00000000,0.025148,0.000000,523.34
5,0.619535,0.648317,0.639654,0.626503,0.00495244,0.00000000,0.024179,0.000000,473.86
6,0.578302,0.667535,0.610083,0.638813,0.00491567,0.00000000,0.023402,0.000000,478.88
7,0.547664,0.682550,0.587922,0.645696,0.00486865,0.00000000,0.022795,0.000000,473.39
8,0.523313,0.695278,0.570620,0.656165,0.00481160,0.00000000,0.022288,0.000000,459.26
9,0.503774,0.704799,0.556487,0.659752,0.00474476,0.00000000,0.021846,0.000000,510.75
10,0.487378,0.713653,0.544768,0.664986,0.00466841,0.00000000,0.021400,0.000000,356.08
11,0.472867,0.721204,0.535248,0.669639,0.00458289,0.00000000,0.020939,0.000000,426.76
12,0.460473,0.728974,0.528073,0.672257,0.00448855,0.00000000,0.020635,0.000000,386.83
13,0.449408,0.734413,0.521000,0.672354,0.00438580,0.00000000,0.020239,0.000000,371.05
14,0.439875,0.739261,0.515113,0.675649,0.00427509,0.00000000,0.019963,0.000000,420.17
15,0.430912,0.744886,0.509485,0.678267,0.00415688,0.00000000,0.019714,0.000000,401.81
16,0.423039,0.748826,0.504408,0.680302,0.00403168,0.00000000,0.019371,0.000000,353.58
17,0.415436,0.753554,0.501399,0.681756,0.00390004,0.00000000,0.019168,0.000000,327.67
18,0.408909,0.757636,0.497512,0.682532,0.00376250,0.00000000,0.018971,0.000000,415.76
19,0.403029,0.760558,0.494000,0.685246,0.00361966,0.00000000,0.018802,0.000000,407.89
20,0.397436,0.764334,0.490629,0.686506,0.00347214,0.00000000,0.018585,0.000000,401.27
21,0.392093,0.767256,0.488460,0.686700,0.00332056,0.00000000,nan,0.000000,427.62
22,0.387394,0.770079,0.485706,0.688251,0.00316558,0.00000000,0.018210,0.000000,420.56
23,0.382866,0.772979,0.484251,0.688542,0.00300785,0.00000000,0.018028,0.000000,364.29
24,0.378951,0.775135,0.481701,0.689415,0.00284805,0.00000000,0.017886,0.000000,385.50
25,0.375318,0.777488,0.479558,0.690675,0.00268687,0.00000000,0.017742,0.000000,342.83
26,0.371811,0.780016,0.478388,0.690578,0.00252500,0.00000000,nan,0.000000,409.32
27,0.368741,0.781581,0.476958,0.691450,0.00236313,0.00000000,0.017470,0.000000,344.70
28,0.365834,0.783869,0.475244,0.692613,0.00220195,0.00000000,0.017387,0.000000,400.37
29,0.363206,0.785269,0.474116,0.692226,0.00204215,0.00000000,0.017241,0.000000,423.64
30,0.360819,0.786867,0.472947,0.692904,0.00188442,0.00000000,0.017199,0.000000,440.43
31,0.358560,0.788378,0.471978,0.693292,0.00172944,0.00000000,nan,0.000000,418.04
32,0.356597,0.789592,0.471035,0.693001,0.00157786,0.00000000,0.017004,0.000000,403.98
33,0.354759,0.790599,0.470128,0.694164,0.00143034,0.00000000,0.016896,0.000000,349.89
34,0.353120,0.791639,0.469401,0.694164,0.00128750,0.00000000,0.016795,0.000000,408.61
35,0.351622,0.793018,0.468885,0.694649,0.00114996,0.00000000,0.016761,0.000000,390.01
36,0.350325,0.793565,0.468532,0.694552,0.00101832,0.00000000,0.016678,0.000000,411.29
37,0.349150,0.794233,0.468083,0.694649,0.00089312,0.00000000,nan,0.000000,393.23
38,0.348119,0.794856,0.467668,0.694843,0.00077491,0.00000000,0.016573,0.000000,410.30
39,0.347199,0.795261,0.467240,0.694649,0.00066420,0.00000000,nan,0.000000,467.76
40,0.346407,0.795841,0.466952,0.695522,0.00056145,0.00000000,0.016487,0.000000,357.95
41,0.345721,0.796301,0.466774,0.695618,0.00046711,0.00000000,0.016465,0.000000,423.84
42,0.345128,0.796782,0.466588,0.695425,0.00038159,0.00000000,nan,0.000000,413.49
43,0.344645,0.796979,0.466432,0.694843,0.00030524,0.00000000,0.016373,0.000000,394.89
44,0.344229,0.797111,0.466274,0.695328,0.00023840,0.00000000,0.016403,0.000000,414.90
45,0.343885,0.797363,0.466196,0.695134,0.00018135,0.00000000,nan,0.000000,333.23
46,0.343616,0.797505,0.466145,0.695231,0.00013433,0.00000000,0.016339,0.000000,416.41
47,0.343411,0.797636,0.466089,0.695231,0.00009756,0.00000000,0.016350,0.000000,413.58
48,0.343255,0.797702,0.466057,0.695037,0.00007117,0.00000000,nan,0.000000,581.44
49,0.343146,0.797811,0.466033,0.695618,0.00005530,0.00000000,0.016306,0.000000,584.85
50,0.343067,0.797833,0.466006,0.695328,0.00005000,0.00000000,0.016282,0.000000,696.89
