epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,6.002673,0.152478,5.588306,0.326117,0.00100000,143.99
2,5.072926,0.393976,4.603860,0.466093,0.00099391,153.77
3,4.222999,0.478636,3.900948,0.496244,0.00097577,147.64
4,3.619837,0.516777,3.409322,0.522341,0.00094605,146.17
5,3.196056,0.543168,3.065288,0.540134,0.00090546,149.97
6,2.894736,0.566164,2.818834,0.557137,0.00085502,146.87
7,2.674977,0.580901,2.638479,0.569494,0.00079595,148.85
8,2.511131,0.594316,2.503401,0.578984,0.00072973,150.07
9,2.386605,0.604928,2.400626,0.588177,0.00065796,148.55
10,2.290545,0.612908,2.321493,0.594701,0.00058244,151.46
11,2.215847,0.620030,2.260545,0.599348,0.00050500,146.08
12,2.157482,0.625218,2.213198,0.603994,0.00042756,147.11
13,2.112157,0.628751,2.176907,0.607651,0.00035204,147.92
14,2.077194,0.632564,2.149300,0.609332,0.00028027,150.68
15,2.050617,0.635561,2.128775,0.610518,0.00021405,149.20
16,2.030963,0.637387,2.114074,0.611605,0.00015498,148.18
17,2.016984,0.639181,2.104047,0.613286,0.00010454,149.93
18,2.007598,0.640437,2.097670,0.613681,0.00006395,154.52
19,2.001771,0.640953,2.094027,0.613780,0.00003423,153.01
20,1.998552,0.641254,2.092198,0.613879,0.00001609,154.13
