epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,5.442097,0.153337,4.232870,0.393535,0.00050000,3.36
2,3.742336,0.495381,3.518468,0.532424,0.00049949,3.16
3,3.447679,0.549784,3.427380,0.547351,0.00049797,2.82
4,3.395927,0.560622,3.400212,0.554962,0.00049544,1.38
5,3.375390,0.562695,3.388206,0.552887,0.00049191,3.12
6,3.362723,0.565208,3.376133,0.556149,0.00048739,3.08
7,3.352209,0.567238,3.367191,0.556544,0.00048191,3.31
8,3.342948,0.570224,3.357786,0.562278,0.00047549,3.37
9,3.334046,0.572909,3.350975,0.563662,0.00046815,3.27
10,3.326093,0.572791,3.341923,0.565639,0.00045993,3.37
11,3.317593,0.574306,3.336540,0.564551,0.00045085,2.83
12,3.309417,0.576722,3.328894,0.566133,0.00044096,2.87
13,3.301663,0.576583,3.323344,0.569889,0.00043029,3.16
14,3.294337,0.578559,3.315894,0.565441,0.00041889,2.97
15,3.286744,0.579762,3.309088,0.568802,0.00040681,3.25
16,3.279586,0.582995,3.302331,0.569395,0.00039410,2.91
17,3.272557,0.582759,3.296533,0.570878,0.00038080,3.22
18,3.265373,0.583607,3.291019,0.571372,0.00036698,3.05
19,3.259113,0.585014,3.285592,0.565836,0.00035268,3.26
20,3.252928,0.586883,3.279791,0.571273,0.00033798,1.46
21,3.246412,0.587141,3.274812,0.574931,0.00032292,3.16
22,3.240189,0.588580,3.269903,0.573843,0.00030757,3.29
23,3.234754,0.590063,3.265129,0.576809,0.00029200,3.06
24,3.228965,0.591803,3.260702,0.575919,0.00027627,3.28
25,3.223569,0.592426,3.256436,0.574338,0.00026043,3.02
26,3.218460,0.592973,3.252311,0.576117,0.00024457,3.38
27,3.213458,0.594198,3.248092,0.577798,0.00022873,3.07
28,3.208913,0.596464,3.244295,0.581257,0.00021300,1.89
29,3.204217,0.597270,3.240963,0.577699,0.00019743,3.01
30,3.199868,0.597678,3.237815,0.577995,0.00018208,3.05
31,3.195825,0.599386,3.234860,0.579972,0.00016702,3.16
32,3.192069,0.600277,3.231607,0.583828,0.00015232,3.05
33,3.188410,0.602017,3.229069,0.579972,0.00013802,3.29
34,3.184789,0.602672,3.226635,0.582641,0.00012420,3.13
35,3.181440,0.603542,3.224490,0.582839,0.00011090,3.05
36,3.178437,0.604359,3.222486,0.581851,0.00009819,2.97
37,3.175546,0.604616,3.220704,0.583432,0.00008611,1.56
38,3.172886,0.606195,3.218903,0.583926,0.00007471,3.18
39,3.170340,0.606528,3.217417,0.584421,0.00006404,3.30
40,3.168012,0.607377,3.216027,0.583729,0.00005415,3.26
41,3.165832,0.607892,3.214777,0.583432,0.00004507,3.12
42,3.163867,0.608795,3.213634,0.584124,0.00003685,3.17
43,3.162054,0.609192,3.212627,0.583432,0.00002951,3.16
44,3.160414,0.609708,3.211683,0.584322,0.00002309,3.35
45,3.158929,0.610427,3.210815,0.584618,0.00001761,2.18
46,3.157598,0.610374,3.210039,0.584223,0.00001309,3.26
47,3.156398,0.610750,3.209269,0.584322,0.00000956,2.99
48,3.155311,0.610760,3.208532,0.584322,0.00000703,3.22
49,3.154408,0.610943,3.207896,0.584025,0.00000551,3.07
50,3.153636,0.610760,3.207261,0.584322,0.00000500,3.24
