epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.329759,0.235910,3.919398,0.424328,0.00500000,0.00000000,0.125973,0.000000,3.45
2,2.991064,0.527195,2.454139,0.574363,0.00499491,0.00000000,0.114917,0.000000,2.73
3,2.141877,0.614596,2.027733,0.623401,0.00497968,0.00000000,0.101632,0.000000,2.83
4,1.815736,0.652366,1.826554,0.639513,0.00495436,0.00000000,0.094307,0.000000,3.05
5,1.634054,0.676416,1.709419,0.654718,0.00491905,0.00000000,0.089828,0.000000,2.67
6,1.512782,0.694480,1.629520,0.664686,0.00487391,0.00000000,nan,0.000000,2.55
7,1.423536,0.709393,1.572450,0.670728,0.00481912,0.00000000,0.084048,0.000000,2.73
8,1.353532,0.718464,1.529677,0.676065,0.00475490,0.00000000,0.082230,0.000000,2.81
9,1.296011,0.729941,1.498151,0.678582,0.00468151,0.00000000,nan,0.000000,2.74
10,1.248201,0.739132,1.471182,0.681200,0.00459927,0.00000000,0.079364,0.000000,0.65
11,1.207274,0.745161,1.449306,0.686336,0.00450850,0.00000000,0.077832,0.000000,2.74
12,1.171064,0.752569,1.434004,0.685832,0.00440958,0.00000000,nan,0.000000,2.81
13,1.139224,0.758335,1.417091,0.692277,0.00430291,0.00000000,0.076637,0.000000,2.77
14,1.111607,0.762788,1.406796,0.690867,0.00418894,0.00000000,0.075706,0.000000,2.64
15,1.086102,0.768291,1.396005,0.690464,0.00406814,0.00000000,nan,0.000000,2.85
16,1.063467,0.772854,1.386420,0.693082,0.00394099,0.00000000,0.073679,0.000000,2.79
17,1.042682,0.776706,1.379019,0.694089,0.00380802,0.00000000,0.073540,0.000000,2.77
18,1.023803,0.780557,1.372412,0.696204,0.00366978,0.00000000,nan,0.000000,2.86
19,1.006431,0.783610,1.366460,0.696405,0.00352684,0.00000000,0.072206,0.000000,1.17
20,0.990442,0.788271,1.360782,0.698117,0.00337978,0.00000000,0.071429,0.000000,2.67
21,0.976222,0.790175,1.357650,0.699023,0.00322921,0.00000000,nan,0.000000,2.79
22,0.962882,0.793698,1.351801,0.702950,0.00307574,0.00000000,0.071079,0.000000,2.70
23,0.950714,0.796269,1.349043,0.702850,0.00292001,0.00000000,0.070235,0.000000,2.90
24,0.938872,0.798599,1.345082,0.700534,0.00276266,0.00000000,nan,0.000000,2.68
25,0.928383,0.801401,1.343173,0.703152,0.00260433,0.00000000,0.069410,0.000000,2.71
26,0.918582,0.803556,1.340102,0.702648,0.00244567,0.00000000,0.068968,0.000000,2.87
27,0.909883,0.805307,1.337698,0.702145,0.00228734,0.00000000,nan,0.000000,2.73
28,0.901480,0.807440,1.336398,0.704159,0.00212999,0.00000000,0.068507,0.000000,2.75
29,0.893941,0.808513,1.334374,0.704864,0.00197426,0.00000000,0.068608,0.000000,2.71
30,0.887145,0.810405,1.332440,0.704259,0.00182079,0.00000000,nan,0.000000,3.05
31,0.880551,0.811948,1.331530,0.703957,0.00167022,0.00000000,0.068009,0.000000,2.57
32,0.874873,0.813447,1.329840,0.703454,0.00152316,0.00000000,0.068111,0.000000,0.68
33,0.869543,0.814705,1.328410,0.703555,0.00138022,0.00000000,nan,0.000000,2.78
34,0.864672,0.816773,1.327710,0.704864,0.00124198,0.00000000,0.067569,0.000000,2.88
35,0.860343,0.817452,1.327373,0.705065,0.00110901,0.00000000,0.067158,0.000000,2.99
36,0.856451,0.817922,1.326398,0.705065,0.00098186,0.00000000,nan,0.000000,3.02
37,0.852935,0.818918,1.325728,0.704864,0.00086106,0.00000000,0.066804,0.000000,2.89
38,0.849841,0.820012,1.325604,0.703555,0.00074709,0.00000000,0.066791,0.000000,2.88
39,0.847049,0.820089,1.324979,0.703152,0.00064042,0.00000000,nan,0.000000,2.76
40,0.844599,0.821150,1.324463,0.704864,0.00054150,0.00000000,0.066954,0.000000,2.74
41,0.842512,0.821522,1.324196,0.704259,0.00045073,0.00000000,0.066365,0.000000,2.72
42,0.840679,0.822343,1.323933,0.704964,0.00036849,0.00000000,nan,0.000000,0.92
43,0.839144,0.822485,1.323711,0.704864,0.00029510,0.00000000,0.066642,0.000000,2.66
44,0.837830,0.822933,1.323546,0.704763,0.00023088,0.00000000,0.066969,0.000000,2.96
45,0.836748,0.823163,1.323454,0.705166,0.00017609,0.00000000,nan,0.000000,2.86
46,0.835889,0.823557,1.323421,0.705266,0.00013095,0.00000000,0.066879,0.000000,2.90
47,0.835210,0.823645,1.323355,0.705166,0.00009564,0.00000000,0.066299,0.000000,2.92
48,0.834704,0.823765,1.323315,0.705266,0.00007032,0.00000000,nan,0.000000,2.93
49,0.834335,0.823853,1.323313,0.705166,0.00005509,0.00000000,0.066090,0.000000,2.95
50,0.834097,0.823951,1.323292,0.705166,0.00005000,0.00000000,0.066452,0.000000,2.90
