epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.724047,0.205110,4.858642,0.377931,0.00250000,0.00000000,0.125607,0.000000,145.92
2,3.788514,0.467548,2.969500,0.515888,0.00500000,0.00000000,0.120693,0.000000,151.98
3,2.441797,0.585372,2.244321,0.583220,0.00499470,0.00000000,0.106843,0.000000,151.76
4,1.948980,0.637809,1.965134,0.609184,0.00497883,0.00000000,0.096898,0.000000,152.11
5,1.712195,0.666692,1.814806,0.629626,0.00495244,0.00000000,0.091251,0.000000,153.07
6,1.565664,0.687176,1.720306,0.638442,0.00491567,0.00000000,0.087737,0.000000,152.23
7,1.462231,0.701749,1.653129,0.649487,0.00486865,0.00000000,0.084802,0.000000,153.36
8,1.383442,0.715105,1.606458,0.654427,0.00481160,0.00000000,0.082641,0.000000,154.10
9,1.319987,0.726103,1.569851,0.659465,0.00474476,0.00000000,0.080896,0.000000,151.53
10,1.267506,0.734339,1.542540,0.664309,0.00466841,0.00000000,0.079516,0.000000,153.86
11,1.223736,0.741905,1.514556,0.668378,0.00458289,0.00000000,0.078125,0.000000,151.42
12,1.184621,0.749767,1.498898,0.670413,0.00448855,0.00000000,0.077097,0.000000,153.25
13,1.151395,0.755403,1.482518,0.674288,0.00438580,0.00000000,0.076140,0.000000,152.54
14,1.121370,0.761018,1.466856,0.676129,0.00427509,0.00000000,0.075224,0.000000,153.49
15,1.094570,0.766413,1.457826,0.679616,0.00415688,0.00000000,0.074484,0.000000,154.32
16,1.070214,0.771117,1.447978,0.678841,0.00403168,0.00000000,0.073829,0.000000,151.06
17,1.048713,0.775360,1.438763,0.680876,0.00390004,0.00000000,nan,0.000000,151.42
18,1.028888,0.779067,1.431717,0.681651,0.00376250,0.00000000,0.072559,0.000000,154.54
19,1.010871,0.783080,1.425780,0.685623,0.00361966,0.00000000,0.071822,0.000000,151.48
20,0.994038,0.786238,1.421491,0.683104,0.00347214,0.00000000,0.071210,0.000000,150.99
21,0.978870,0.789912,1.414649,0.686398,0.00332056,0.00000000,0.070889,0.000000,153.49
22,0.964567,0.792269,1.412470,0.686882,0.00316558,0.00000000,0.070494,0.000000,152.82
23,0.951863,0.795087,1.408647,0.686592,0.00300785,0.00000000,nan,0.000000,155.27
24,0.940029,0.797313,1.405847,0.685332,0.00284805,0.00000000,0.069688,0.000000,154.06
25,0.929310,0.800625,1.402736,0.687270,0.00268687,0.00000000,0.069348,0.000000,153.55
26,0.919112,0.802763,1.399880,0.688626,0.00252500,0.00000000,0.069008,0.000000,151.98
27,0.909802,0.805055,1.396567,0.689304,0.00236313,0.00000000,0.068615,0.000000,152.57
28,0.901234,0.807215,1.395257,0.690758,0.00220195,0.00000000,0.068256,0.000000,152.30
29,0.893082,0.808652,1.395218,0.689789,0.00204215,0.00000000,nan,0.000000,153.72
30,0.886067,0.810209,1.393084,0.689789,0.00188442,0.00000000,nan,0.000000,153.44
31,0.879418,0.811788,1.391436,0.690758,0.00172944,0.00000000,0.067430,0.000000,153.56
32,0.873296,0.813597,1.390482,0.691339,0.00157786,0.00000000,0.067595,0.000000,153.34
33,0.867931,0.814760,1.388825,0.690951,0.00143034,0.00000000,0.067145,0.000000,153.68
34,0.862960,0.815757,1.388078,0.691242,0.00128750,0.00000000,0.067068,0.000000,152.84
35,0.858273,0.817282,1.387517,0.690951,0.00114996,0.00000000,0.066834,0.000000,153.24
36,0.854128,0.818148,1.386339,0.692405,0.00101832,0.00000000,nan,0.000000,153.99
37,0.850632,0.818883,1.385691,0.692308,0.00089312,0.00000000,0.066582,0.000000,153.08
38,0.847358,0.820100,1.385077,0.692308,0.00077491,0.00000000,0.066448,0.000000,153.46
39,0.844473,0.820769,1.384610,0.692695,0.00066420,0.00000000,nan,0.000000,154.49
40,0.841987,0.821174,1.384150,0.692986,0.00056145,0.00000000,0.066339,0.000000,152.73
41,0.839758,0.821810,1.383979,0.693180,0.00046711,0.00000000,nan,0.000000,153.90
42,0.837903,0.822019,1.383921,0.693180,0.00038159,0.00000000,0.066075,0.000000,153.68
43,0.836265,0.822479,1.383752,0.692308,0.00030524,0.00000000,0.066125,0.000000,153.04
44,0.834925,0.823170,1.383612,0.692986,0.00023840,0.00000000,0.065945,0.000000,152.15
45,0.833804,0.823587,1.383513,0.692405,0.00018135,0.00000000,0.065822,0.000000,152.58
46,0.832905,0.823488,1.383467,0.692501,0.00013433,0.00000000,nan,0.000000,151.62
47,0.832197,0.823806,1.383452,0.692501,0.00009756,0.00000000,0.065828,0.000000,154.67
48,0.831678,0.823894,1.383399,0.692501,0.00007117,0.00000000,0.065686,0.000000,152.77
49,0.831299,0.824047,1.383370,0.692598,0.00005530,0.00000000,0.065780,0.000000,152.71
50,0.831051,0.824091,1.383362,0.692598,0.00005000,0.00000000,0.065739,0.000000,151.86
