epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.669910,0.162394,4.694564,0.369248,0.00500000,0.00000000,0.185063,0.000000,3.21
2,3.907215,0.400503,3.199883,0.524922,0.00499491,0.00000000,0.179152,0.000000,2.88
3,2.984109,0.484928,2.588813,0.579096,0.00497968,0.00000000,0.167756,0.000000,1.50
4,2.577458,0.517862,2.281095,0.599235,0.00495436,0.00000000,0.159227,0.000000,2.99
5,2.360498,0.537141,2.098780,0.615547,0.00491905,0.00000000,0.153492,0.000000,2.91
6,2.224561,0.550435,1.977422,0.630651,0.00487391,0.00000000,nan,0.000000,2.95
7,2.132487,0.558969,1.891837,0.636794,0.00481912,0.00000000,nan,0.000000,2.93
8,2.072909,0.564013,1.827715,0.638808,0.00475490,0.00000000,0.144369,0.000000,3.07
9,2.020610,0.569911,1.781384,0.645353,0.00468151,0.00000000,0.143693,0.000000,2.97
10,1.986956,0.571093,1.742930,0.648474,0.00459927,0.00000000,nan,0.000000,3.02
11,1.964101,0.573664,1.711445,0.651495,0.00450850,0.00000000,0.141311,0.000000,1.87
12,1.931797,0.578478,1.686468,0.656027,0.00440958,0.00000000,0.140489,0.000000,3.01
13,1.914176,0.577734,1.665256,0.658141,0.00430291,0.00000000,0.140273,0.000000,2.98
