sample_index,image_path,image_sha256,class_name,noisy_label,D3_STRICT_pred,B2_GCE07_pred,D3_STRICT_correct,B2_GCE07_correct,group,D3_STRICT_confidence,B2_GCE07_confidence,D3_STRICT_margin,B2_GCE07_margin,D3_STRICT_entropy,B2_GCE07_entropy,D3_STRICT_noisy_label_probability,B2_GCE07_noisy_label_probability,D3_STRICT_ce_loss,B2_GCE07_ce_loss,D3_STRICT_gce_q07,B2_GCE07_gce_q07,D3_STRICT_flip_pred,B2_GCE07_flip_pred,D3_STRICT_flip_pred_agree,B2_GCE07_flip_pred_agree,D3_STRICT_flip_jsd,B2_GCE07_flip_jsd,D3_STRICT_tta_pred,B2_GCE07_tta_pred,D3_STRICT_tta_correct,B2_GCE07_tta_correct,clip_flip_cosine,knn_label_agreement,knn_majority_label,knn_majority_fraction,knn_support_D3_STRICT_pred,knn_support_B2_GCE07_pred,nearest_train_similarity,mean_topk_similarity,prototype_label_similarity,prototype_top1_label,prototype_top1_similarity,prototype_second_similarity,prototype_margin,prototype_supports_noisy_label,prototype_similarity_D3_STRICT_pred,prototype_similarity_B2_GCE07_pred,dedup_metadata_available,cross_class_duplicate_conflict
28,/home/lux1/noise/train/0001/56771dca9375416891ecc5d374921819.jpg,16184655f119fdb61613c52c5ff4f55e8b24e6e5688fba2ca126870a09145c44,1,1,1,218,True,False,D3_STRICT_only_correct,0.15606782,0.24249475,0.056361824,0.030271709,3.303469,2.4445612,0.15606782,0.21222304,1.8574646,1.5501175,1.039328,0.9458943,81,218,False,True,0.15045843,0.21220484,81,218,False,False,0.75623155,0.0,105,0.2,0.0,0.0,0.70982015,0.6787188,0.66032624,70,0.67846763,0.67845994,7.688999e-06,False,0.66032624,0.67521816,True,False
47,/home/lux1/noise/train/0002/1338226bf47047a38933b30caebfeec3.jpg,cc1cd98ddd8a5282e3717a314f3c596abb93aec9559a41e4c3cf2e567c290e63,2,2,2,353,True,False,D3_STRICT_only_correct,0.5729347,0.53138846,0.2867943,0.2132999,1.4531829,1.3676623,0.5729347,0.31808856,0.5569836,1.1454256,0.4612395,0.78782594,2,2,True,False,0.04766303,0.051119477,2,353,True,False,0.9359597,0.35,353,0.4,0.35,0.4,0.8985363,0.87609017,0.8321915,353,0.84708375,0.8321915,0.0148922205,False,0.8321915,0.84708375,True,False
63,/home/lux1/noise/train/0003/07332834d7934f6db90822018bfd4ec0.jpg,7d584dae8260040cd478c8127310751dbc0cf21e0f48fc81d777c4106da04bf5,3,3,3,396,True,False,D3_STRICT_only_correct,0.6639152,0.5311471,0.5603272,0.45663702,1.6300523,2.0849633,0.6639152,0.016542193,0.40960082,4.101841,0.3561122,1.3476774,3,223,True,False,0.033974677,0.14245233,3,396,True,False,0.96267414,0.35,3,0.35,0.35,0.0,0.94669807,0.8393806,0.8139199,3,0.8139199,0.8089197,0.005000174,True,0.8139199,0.8041056,True,False
66,/home/lux1/noise/train/0003/1e2f3e2e846341788bf396133c8374e2.jpg,ab705ef41e4319fb20d9353e65c88be20b8d804042993727dd7f816779ea0f28,3,3,3,227,True,False,D3_STRICT_only_correct,0.6677259,0.45777032,0.5911421,0.30814576,1.7660683,2.250157,0.6677259,0.0020236198,0.4038775,6.2028675,0.35180697,1.4099852,3,227,True,True,0.00872652,0.029176876,3,227,True,False,0.9856511,0.35,3,0.35,0.35,0.0,0.9172549,0.8591153,0.8046318,288,0.8304707,0.82979804,0.0006726384,False,0.8046318,0.8283317,True,False
70,/home/lux1/noise/train/0003/4500bbb85ee94c51bd00666a4abad203.jpg,7a8f43ee5de4f77b590bb2605805c68505a6157a5ae2db86a802ef0d601dd6f1,3,3,3,302,True,False,D3_STRICT_only_correct,0.5621149,0.77569294,0.46166617,0.7090623,2.066411,1.0673589,0.5621149,0.00666973,0.57604903,5.0101757,0.47406352,1.3857385,3,302,True,True,0.023868388,0.014846214,3,302,True,False,0.9854234,0.15,3,0.15,0.15,0.05,0.902948,0.8869842,0.8721018,302,0.88388056,0.8823493,0.0015312433,False,0.8721018,0.88388056,True,False
75,/home/lux1/noise/train/0003/80e0c10d7e574d7593fad53a074b8e80.jpg,415ef9bfefedf7bb62aa66fbe21290b654a977a0cc89f771e3aebfad629bf758,3,3,3,223,True,False,D3_STRICT_only_correct,0.2730805,0.68646985,0.007144302,0.60900295,2.7110767,1.3334768,0.2730805,3.5465706e-05,1.2979887,10.246944,0.85272664,1.4274756,3,223,True,True,0.030584764,0.07029614,3,223,True,False,0.9571556,0.35,3,0.35,0.35,0.05,0.9199757,0.8336929,0.78238577,227,0.812124,0.80791295,0.004211068,False,0.78238577,0.795384,True,False
77,/home/lux1/noise/train/0003/86c340810d3c410c8f20247b39312978.jpg,b0e4cbcec053e2e51f96bb3c2919975412bd5db961e2b60f33248f61ea1da0cb,3,3,3,93,True,False,D3_STRICT_only_correct,0.21985763,0.6436572,0.038962916,0.53225636,3.348492,1.7983198,0.21985763,0.0028949853,1.514775,5.844775,0.93380404,1.4046904,93,93,False,True,0.03609147,0.02120272,93,93,False,False,0.986714,0.0,49,0.1,0.0,0.1,0.89792657,0.8681943,0.83073604,462,0.8413785,0.83934236,0.0020361543,False,0.83073604,0.8380004,True,False
188,/home/lux1/noise/train/0009/0b727abfeb1247daa9855de00c3ab80d.jpg,aa67b705f595f8e488e2067bab8757630477f2915942e2a02832a3c5a563fe06,9,9,9,176,True,False,D3_STRICT_only_correct,0.684119,0.56240517,0.5708572,0.18035918,1.7235903,0.9902504,0.684119,0.019112939,0.37962344,3.9573896,0.33336973,1.3390698,176,176,False,True,0.36994895,0.17164302,9,176,True,False,0.92332995,0.05,176,0.15,0.05,0.15,0.96630275,0.84998834,0.58190614,176,0.6429499,0.6246793,0.018270552,False,0.58190614,0.6429499,True,False
208,/home/lux1/noise/train/0010/061a4e1856cd40b9a0d5a7ed70c300c2.jpg,dbfdca42404f21f3fda1d149660eca291c3c03bee690265004dc71be9035a929,10,10,10,322,True,False,D3_STRICT_only_correct,0.24768373,0.26625744,0.03467241,0.040665776,2.8107524,2.187984,0.24768373,0.21480191,1.3956026,1.5380391,0.89075977,0.941796,10,10,True,False,0.016626138,0.041690964,10,10,True,True,0.98829746,0.3,10,0.3,0.3,0.1,0.9139843,0.8150538,0.7893267,322,0.8283579,0.8254465,0.0029113889,False,0.7893267,0.8283579,True,False
211,/home/lux1/noise/train/0010/1f5c402c978047f69c3a76531c4149af.jpg,9b8c4d64b7cb62fa537b8dd33087e83dce9f423fff52e17763c0dc28d1dde80c,10,10,10,339,True,False,D3_STRICT_only_correct,0.4656173,0.79189336,0.048034012,0.6000817,1.2507893,0.5890296,0.4656173,0.19181171,0.7643912,1.6512411,0.59196275,0.9788801,10,10,True,False,0.12621927,0.19860084,10,339,True,False,0.9362744,0.2,339,0.6,0.2,0.6,0.9249833,0.9015606,0.8848069,339,0.9075166,0.8848069,0.022709727,False,0.8848069,0.9075166,True,False
