epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.536923,0.199048,4.377694,0.389387,0.00500000,0.00000000,0.154319,0.000000,3.35
2,3.497845,0.463056,2.844416,0.545967,0.00499491,0.00000000,0.146350,0.000000,2.73
3,2.579227,0.550840,2.309672,0.598530,0.00497968,0.00000000,0.133358,0.000000,2.76
4,2.202046,0.586071,2.052086,0.619978,0.00495436,0.00000000,0.125005,0.000000,2.89
5,2.003065,0.606248,1.901546,0.634579,0.00491905,0.00000000,0.119881,0.000000,2.84
6,1.875495,0.618984,1.800499,0.646763,0.00487391,0.00000000,nan,0.000000,1.34
7,1.784404,0.629564,1.729192,0.653409,0.00481912,0.00000000,0.113955,0.000000,2.77
8,1.725798,0.636676,1.675548,0.657638,0.00475490,0.00000000,0.111631,0.000000,2.72
9,1.673504,0.644904,1.636026,0.662270,0.00468151,0.00000000,nan,0.000000,2.89
10,1.635707,0.647782,1.602918,0.662169,0.00459927,0.00000000,0.109557,0.000000,2.76
11,1.606281,0.651283,1.575914,0.669822,0.00450850,0.00000000,0.108045,0.000000,2.82
12,1.573967,0.655419,1.555289,0.670829,0.00440958,0.00000000,nan,0.000000,2.89
13,1.552307,0.658395,1.535449,0.674353,0.00430291,0.00000000,0.107415,0.000000,2.78
14,1.533648,0.663275,1.521018,0.673749,0.00418894,0.00000000,0.106589,0.000000,2.93
15,1.518331,0.661677,1.508166,0.677273,0.00406814,0.00000000,nan,0.000000,1.02
16,1.502877,0.664150,1.496070,0.679891,0.00394099,0.00000000,0.105325,0.000000,2.82
17,1.492394,0.664905,1.486305,0.679488,0.00380802,0.00000000,0.105222,0.000000,3.01
18,1.481833,0.667389,1.478109,0.681603,0.00366978,0.00000000,nan,0.000000,2.69
19,1.468041,0.667640,1.470818,0.682811,0.00352684,0.00000000,0.104506,0.000000,2.66
20,1.459572,0.669676,1.462797,0.685429,0.00337978,0.00000000,0.103414,0.000000,2.89
21,1.452795,0.669752,1.457208,0.683516,0.00322921,0.00000000,nan,0.000000,2.93
22,1.444904,0.674271,1.449697,0.687041,0.00307574,0.00000000,0.103856,0.000000,2.81
23,1.437382,0.672258,1.445860,0.686336,0.00292001,0.00000000,0.103418,0.000000,2.93
24,1.426658,0.674971,1.440030,0.685530,0.00276266,0.00000000,nan,0.000000,1.41
25,1.428253,0.675092,1.436671,0.689659,0.00260433,0.00000000,0.103024,0.000000,2.97
26,1.417689,0.675901,1.432043,0.686134,0.00244567,0.00000000,0.102389,0.000000,2.90
27,1.409518,0.678221,1.428536,0.688652,0.00228734,0.00000000,nan,0.000000,3.05
28,1.406083,0.677805,1.425898,0.692881,0.00212999,0.00000000,0.102381,0.000000,3.01
29,1.402738,0.678046,1.423259,0.691673,0.00197426,0.00000000,0.102648,0.000000,3.01
30,1.400094,0.678637,1.420228,0.690565,0.00182079,0.00000000,nan,0.000000,2.87
31,1.399784,0.678177,1.417597,0.690666,0.00167022,0.00000000,0.102383,0.000000,2.88
32,1.397200,0.678812,1.415650,0.691572,0.00152316,0.00000000,0.102587,0.000000,2.95
33,1.393740,0.679906,1.413683,0.691975,0.00138022,0.00000000,nan,0.000000,1.74
34,1.390526,0.680387,1.412823,0.693183,0.00124198,0.00000000,0.102304,0.000000,2.89
35,1.385233,0.682598,1.411694,0.692075,0.00110901,0.00000000,0.102113,0.000000,2.99
36,1.385173,0.682127,1.410519,0.693284,0.00098186,0.00000000,nan,0.000000,2.98
37,1.387722,0.682193,1.409612,0.693485,0.00086106,0.00000000,0.101771,0.000000,3.16
38,1.379177,0.682937,1.408774,0.692277,0.00074709,0.00000000,0.101835,0.000000,3.00
39,1.380854,0.681875,1.408290,0.691975,0.00064042,0.00000000,nan,0.000000,2.97
40,1.377686,0.683177,1.407286,0.692881,0.00054150,0.00000000,0.102067,0.000000,2.86
41,1.374442,0.684031,1.406738,0.693284,0.00045073,0.00000000,0.101424,0.000000,1.57
42,1.375397,0.683451,1.406272,0.693485,0.00036849,0.00000000,nan,0.000000,2.87
43,1.378928,0.682674,1.405986,0.693284,0.00029510,0.00000000,0.102073,0.000000,2.86
44,1.373535,0.683943,1.405671,0.693888,0.00023088,0.00000000,0.102174,0.000000,2.89
45,1.372485,0.683582,1.405490,0.693082,0.00017609,0.00000000,nan,0.000000,3.01
46,1.374867,0.682794,1.405315,0.693082,0.00013095,0.00000000,0.102190,0.000000,3.04
47,1.374034,0.684633,1.405261,0.692881,0.00009564,0.00000000,0.101961,0.000000,3.03
48,1.373865,0.682970,1.405157,0.692679,0.00007032,0.00000000,nan,0.000000,3.05
49,1.375461,0.683079,1.405116,0.693284,0.00005509,0.00000000,0.101782,0.000000,2.86
50,1.374120,0.682685,1.405085,0.693183,0.00005000,0.00000000,0.101742,0.000000,1.53
