epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.718450,0.199931,4.827599,0.371656,0.00250000,0.00000000,0.125756,0.000000,143.49
2,3.779117,0.461120,2.922896,0.529372,0.00500000,0.00000000,0.120546,0.000000,151.62
3,2.447339,0.578750,2.199701,0.595192,0.00499470,0.00000000,0.106855,0.000000,150.64
4,1.962867,0.630191,1.918354,0.625921,0.00497883,0.00000000,0.097092,0.000000,154.49
5,1.731163,0.656154,1.767808,0.638232,0.00495244,0.00000000,0.091987,0.000000,154.91
6,1.587058,0.677327,1.670698,0.656747,0.00491567,0.00000000,0.088189,0.000000,156.33
7,1.485295,0.693570,1.602681,0.662757,0.00486865,0.00000000,0.085404,0.000000,155.97
8,1.407914,0.704958,1.554765,0.671578,0.00481160,0.00000000,0.083526,0.000000,154.40
9,1.346130,0.714968,1.514882,0.675553,0.00474476,0.00000000,0.081850,0.000000,150.83
10,1.294207,0.724914,1.487127,0.675940,0.00466841,0.00000000,0.080325,0.000000,149.46
11,1.250562,0.732180,1.461322,0.680690,0.00458289,0.00000000,0.079255,0.000000,153.10
12,1.212897,0.738951,1.442097,0.687379,0.00448855,0.00000000,0.078174,0.000000,150.97
13,1.179439,0.744548,1.425180,0.688251,0.00438580,0.00000000,0.077194,0.000000,152.40
14,1.150381,0.750694,1.411713,0.689221,0.00427509,0.00000000,0.076591,0.000000,154.92
15,1.124010,0.755603,1.400428,0.690481,0.00415688,0.00000000,0.075592,0.000000,151.28
16,1.100352,0.760586,1.391889,0.691838,0.00403168,0.00000000,0.075051,0.000000,153.65
17,1.078652,0.763913,1.381019,0.694940,0.00390004,0.00000000,nan,0.000000,154.25
18,1.059284,0.768832,1.375118,0.692323,0.00376250,0.00000000,0.073621,0.000000,153.60
19,1.041472,0.772212,1.366833,0.696103,0.00361966,0.00000000,0.073225,0.000000,161.33
20,1.025127,0.775635,1.361602,0.697557,0.00347214,0.00000000,nan,0.000000,159.72
21,1.009999,0.778627,1.355591,0.699011,0.00332056,0.00000000,nan,0.000000,149.27
22,0.995985,0.782039,1.352559,0.700853,0.00316558,0.00000000,0.071671,0.000000,153.02
23,0.983484,0.784440,1.347684,0.700756,0.00300785,0.00000000,0.071353,0.000000,149.59
24,0.971550,0.787486,1.345174,0.701725,0.00284805,0.00000000,0.071009,0.000000,151.44
25,0.960825,0.790080,1.340908,0.700271,0.00268687,0.00000000,0.070742,0.000000,148.96
26,0.950833,0.792050,1.339021,0.703276,0.00252500,0.00000000,nan,0.000000,148.21
27,0.941325,0.794741,1.337103,0.701435,0.00236313,0.00000000,0.070179,0.000000,153.10
28,0.933001,0.796495,1.336065,0.700078,0.00220195,0.00000000,0.069684,0.000000,150.03
29,0.925048,0.797475,1.332934,0.701435,0.00204215,0.00000000,nan,0.000000,146.96
30,0.918155,0.799649,1.330555,0.700853,0.00188442,0.00000000,0.069283,0.000000,149.39
31,0.911336,0.801619,1.329564,0.702598,0.00172944,0.00000000,0.068972,0.000000,149.14
32,0.905653,0.802555,1.327948,0.701822,0.00157786,0.00000000,0.068865,0.000000,148.63
33,0.900092,0.803944,1.326392,0.703373,0.00143034,0.00000000,0.068591,0.000000,153.70
34,0.895023,0.805257,1.325592,0.704537,0.00128750,0.00000000,nan,0.000000,147.53
35,0.890590,0.805968,1.324667,0.704246,0.00114996,0.00000000,0.068334,0.000000,149.31
36,0.886413,0.807733,1.324657,0.705021,0.00101832,0.00000000,0.068160,0.000000,149.63
37,0.882890,0.808099,1.323062,0.704537,0.00089312,0.00000000,nan,0.000000,147.05
38,0.879669,0.808917,1.322588,0.704827,0.00077491,0.00000000,0.067912,0.000000,147.02
39,0.876826,0.810058,1.321998,0.704052,0.00066420,0.00000000,0.067577,0.000000,150.59
40,0.874249,0.810639,1.321744,0.704440,0.00056145,0.00000000,nan,0.000000,150.89
41,0.872123,0.811296,1.321310,0.704440,0.00046711,0.00000000,0.067748,0.000000,149.42
42,0.870231,0.811748,1.321107,0.704634,0.00038159,0.00000000,nan,0.000000,162.32
43,0.868617,0.812049,1.320889,0.705312,0.00030524,0.00000000,0.067545,0.000000,152.75
44,0.867280,0.812523,1.320682,0.704537,0.00023840,0.00000000,0.067456,0.000000,151.06
45,0.866159,0.813018,1.320571,0.705021,0.00018135,0.00000000,0.067468,0.000000,152.70
46,0.865241,0.813018,1.320505,0.705118,0.00013433,0.00000000,0.067230,0.000000,153.94
47,0.864548,0.813287,1.320464,0.705409,0.00009756,0.00000000,0.067315,0.000000,151.92
48,0.864015,0.813449,1.320380,0.705409,0.00007117,0.00000000,nan,0.000000,152.90
49,0.863647,0.813567,1.320385,0.705312,0.00005530,0.00000000,0.067234,0.000000,153.90
50,0.863395,0.813556,1.320352,0.705409,0.00005000,0.00000000,nan,0.000000,150.41
