epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,4.234066,0.329832,3.498045,0.468070,0.00500000,1.95
2,3.421950,0.487895,3.360723,0.503163,0.00499491,2.88
3,3.311205,0.518990,3.270320,0.523231,0.00497968,3.00
4,3.229798,0.532728,3.200467,0.534401,0.00495436,2.98
5,3.156108,0.541922,3.134927,0.544187,0.00491905,3.24
6,3.088553,0.550783,3.068847,0.549723,0.00487391,2.95
7,3.024723,0.559129,3.009056,0.550316,0.00481912,2.93
8,2.964309,0.564660,2.948953,0.562970,0.00475490,3.03
9,2.906326,0.572942,2.898916,0.565935,0.00468151,1.67
10,2.851725,0.578183,2.843139,0.573547,0.00459927,3.08
11,2.798251,0.583661,2.798731,0.579379,0.00450850,2.97
12,2.747304,0.589418,2.751622,0.582048,0.00440958,3.03
13,2.699056,0.594649,2.709430,0.586002,0.00430291,3.01
14,2.653168,0.597828,2.666215,0.588869,0.00418894,3.07
15,2.609342,0.602984,2.627444,0.592428,0.00406814,2.93
16,2.567999,0.609020,2.588839,0.596876,0.00394099,2.99
17,2.528325,0.610825,2.555028,0.599150,0.00380802,3.08
18,2.490453,0.614691,2.523025,0.597568,0.00366978,3.10
19,2.455752,0.619278,2.491534,0.600336,0.00352684,2.92
20,2.422461,0.622468,2.461020,0.607058,0.00337978,3.10
21,2.390395,0.626184,2.434232,0.607256,0.00322921,1.23
22,2.360123,0.628246,2.408802,0.610617,0.00307574,2.71
23,2.332307,0.631802,2.385109,0.613385,0.00292001,2.85
24,2.305595,0.635518,2.361615,0.612792,0.00276266,2.95
25,2.280579,0.637537,2.340354,0.615658,0.00260433,3.18
26,2.257160,0.641082,2.321328,0.615065,0.00244567,3.51
27,2.234828,0.643187,2.302674,0.621095,0.00228734,3.49
28,2.214602,0.646452,2.284916,0.621787,0.00212999,3.43
29,2.194872,0.648300,2.269188,0.622875,0.00197426,2.97
30,2.176670,0.649911,2.255010,0.623072,0.00182079,3.25
31,2.159716,0.652628,2.241677,0.625741,0.00167022,3.22
32,2.144253,0.654723,2.227816,0.626433,0.00152316,3.30
33,2.129758,0.657032,2.216452,0.627026,0.00138022,3.24
34,2.115766,0.658385,2.205786,0.630091,0.00124198,2.94
35,2.103076,0.660362,2.196464,0.629102,0.00110901,3.00
36,2.091538,0.661726,2.187155,0.629498,0.00098186,2.93
37,2.080720,0.663498,2.179557,0.632266,0.00086106,3.02
38,2.070938,0.664744,2.171482,0.630486,0.00074709,3.12
39,2.061694,0.666054,2.165045,0.634243,0.00064042,2.92
40,2.053380,0.667096,2.158993,0.632958,0.00054150,2.98
41,2.045705,0.668074,2.153550,0.633946,0.00045073,3.10
42,2.038824,0.669137,2.148431,0.634836,0.00036849,3.03
43,2.032430,0.670254,2.144029,0.633254,0.00029510,3.10
44,2.026624,0.670415,2.139901,0.634737,0.00023088,3.03
45,2.021403,0.671607,2.136183,0.635330,0.00017609,2.93
46,2.016604,0.672005,2.132779,0.636121,0.00013095,1.86
47,2.012237,0.672316,2.129605,0.635627,0.00009564,2.91
48,2.008294,0.672488,2.126545,0.635923,0.00007032,2.99
49,2.004693,0.672821,2.123650,0.635528,0.00005509,3.09
50,2.001376,0.673047,2.120806,0.635528,0.00005000,3.26
