epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.348021,0.225645,3.921740,0.409450,0.00500000,0.00000000,0.125212,0.000000,130.45
2,3.049940,0.507315,2.466527,0.562080,0.00499491,0.00000000,0.114904,0.000000,136.06
3,2.218047,0.593779,2.043889,0.605081,0.00497968,0.00000000,0.102541,0.000000,135.99
4,1.898079,0.630738,1.843119,0.629300,0.00495436,0.00000000,0.095717,0.000000,131.54
5,1.719644,0.653026,1.725235,0.643337,0.00491905,0.00000000,0.091334,0.000000,135.67
6,1.603520,0.670190,1.648309,0.650751,0.00487391,0.00000000,0.088609,0.000000,144.51
7,1.516951,0.682520,1.593995,0.656485,0.00481912,0.00000000,0.086201,0.000000,133.31
8,1.452720,0.691994,1.547656,0.665579,0.00475490,0.00000000,0.084624,0.000000,1345.04
9,1.395584,0.702359,1.516833,0.671609,0.00468151,0.00000000,0.083185,0.000000,216.17
9,1.396871,0.701145,1.516307,0.669237,0.00468151,0.00000000,0.083230,0.000000,205.97
10,1.352278,0.710586,1.490556,0.673784,0.00459927,0.00000000,0.081826,0.000000,223.09
10,1.349802,0.709394,1.489454,0.675761,0.00459927,0.00000000,0.082052,0.000000,221.04
11,1.311138,0.716182,1.471334,0.674278,0.00450850,0.00000000,0.081015,0.000000,235.08
11,1.316372,0.715022,1.469691,0.676354,0.00450850,0.00000000,0.081056,0.000000,236.78
12,1.280665,0.722670,1.454394,0.676947,0.00440958,0.00000000,0.080175,0.000000,236.13
12,1.278268,0.722949,1.451873,0.678430,0.00440958,0.00000000,0.080110,0.000000,237.45
13,1.252078,0.727697,1.437784,0.682780,0.00430291,0.00000000,0.079354,0.000000,233.11
13,1.247236,0.728234,1.437864,0.680803,0.00430291,0.00000000,0.079130,0.000000,233.29
14,1.226932,0.732036,1.424684,0.682384,0.00418894,0.00000000,0.078515,0.000000,233.68
14,1.222491,0.731628,1.427045,0.679814,0.00418894,0.00000000,0.078633,0.000000,233.80
