epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,5.696262,0.173133,4.690453,0.340451,0.00300000,154.56
2,3.946675,0.408638,3.169985,0.498616,0.00299695,162.45
3,2.979489,0.499549,2.554272,0.549229,0.00298781,163.24
4,2.531999,0.541535,2.242796,0.579478,0.00297262,164.60
5,2.277491,0.567990,2.057763,0.595690,0.00295143,163.49
6,2.110041,0.588237,1.935508,0.611507,0.00292435,160.37
7,1.987837,0.603027,1.847913,0.618525,0.00289147,161.25
8,1.901010,0.613338,1.779231,0.628015,0.00285294,168.87
9,1.828662,0.623520,1.728414,0.635132,0.00280891,168.57
10,1.768546,0.632972,1.686901,0.641953,0.00275956,170.12
11,1.723477,0.639191,1.654417,0.646995,0.00270510,170.06
12,1.681527,0.645475,1.627637,0.649170,0.00264575,170.59
13,1.645410,0.652166,1.603802,0.656682,0.00258175,167.64
14,1.613738,0.656065,1.583388,0.658066,0.00251337,167.58
15,1.586025,0.661124,1.566400,0.660933,0.00244088,168.27
16,1.562011,0.666054,1.552166,0.662021,0.00236459,163.31
17,1.541218,0.669073,1.538840,0.665678,0.00228481,167.92
18,1.516048,0.672735,1.526112,0.667359,0.00220187,167.69
19,1.501276,0.673595,1.515441,0.667359,0.00211610,165.34
20,1.485823,0.677139,1.507122,0.668841,0.00202787,160.70
21,1.474721,0.680329,1.500915,0.670621,0.00193752,167.35
22,1.457512,0.682595,1.492166,0.673586,0.00184544,163.11
23,1.443720,0.686033,1.485481,0.673586,0.00175201,165.29
24,1.434658,0.687955,1.479355,0.672499,0.00165759,164.12
25,1.423849,0.689351,1.475082,0.672104,0.00156260,165.81
26,1.413995,0.690716,1.471606,0.674575,0.00146740,164.04
27,1.405980,0.691543,1.466960,0.674476,0.00137241,157.23
28,1.399376,0.693562,1.462547,0.674575,0.00127799,160.24
29,1.392070,0.694228,1.458790,0.675069,0.00118456,159.23
30,1.384599,0.695936,1.456413,0.674278,0.00109248,161.13
