epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.494077,0.178750,4.096123,0.364868,0.00500000,0.00000000,0.125265,0.000000,377.02
2,3.480461,0.423525,2.622162,0.527382,0.00499491,0.00000000,0.118556,0.000000,385.85
3,2.643757,0.514962,2.162035,0.575722,0.00497968,0.00000000,0.109140,0.000000,345.62
4,2.292977,0.555176,1.944166,0.599842,0.00495436,0.00000000,0.103432,0.000000,401.77
5,2.115658,0.572662,1.817039,0.617537,0.00491905,0.00000000,0.099742,0.000000,420.03
6,1.965722,0.595068,1.733901,0.628312,0.00487391,0.00000000,0.096606,0.000000,425.79
7,1.869367,0.611007,1.673458,0.640372,0.00481912,0.00000000,0.094688,0.000000,370.05
8,1.810011,0.616915,1.630222,0.645413,0.00475490,0.00000000,0.093208,0.000000,380.87
9,1.764088,0.622027,1.593532,0.650949,0.00468151,0.00000000,0.092113,0.000000,373.96
10,1.716348,0.629514,1.566202,0.655892,0.00459927,0.00000000,0.091016,0.000000,366.79
11,1.674311,0.637226,1.544596,0.658264,0.00450850,0.00000000,0.090119,0.000000,367.51
12,1.639109,0.642833,1.527754,0.657473,0.00440958,0.00000000,0.089084,0.000000,362.93
13,1.610610,0.648182,1.507500,0.663108,0.00430291,0.00000000,0.088568,0.000000,381.13
14,1.583267,0.652123,1.493794,0.667655,0.00418894,0.00000000,0.087847,0.000000,363.36
15,1.562406,0.656925,1.484053,0.667754,0.00406814,0.00000000,0.087267,0.000000,361.14
16,1.545304,0.657924,1.472128,0.670127,0.00394099,0.00000000,nan,0.000000,353.26
17,1.519381,0.662585,1.465403,0.669830,0.00380802,0.00000000,0.086474,0.000000,338.69
18,1.503172,0.665893,1.456820,0.672104,0.00366978,0.00000000,0.086164,0.000000,330.40
19,1.489671,0.669545,1.448912,0.672598,0.00352684,0.00000000,0.085489,0.000000,337.70
20,1.472678,0.671017,1.443081,0.673685,0.00337978,0.00000000,nan,0.000000,334.29
21,1.460544,0.674497,1.439589,0.672499,0.00322921,0.00000000,0.084909,0.000000,337.29
22,1.453079,0.675002,1.434966,0.674871,0.00307574,0.00000000,0.084735,0.000000,334.54
23,1.439582,0.677483,1.429131,0.674476,0.00292001,0.00000000,0.084460,0.000000,333.55
24,1.430359,0.680845,1.424565,0.676849,0.00276266,0.00000000,0.084134,0.000000,335.80
25,1.420183,0.680383,1.422167,0.677046,0.00260433,0.00000000,nan,0.000000,331.38
26,1.411225,0.683294,1.421456,0.676255,0.00244567,0.00000000,0.083546,0.000000,339.01
27,1.401858,0.684271,1.417533,0.677343,0.00228734,0.00000000,0.083648,0.000000,331.51
28,1.400151,0.683906,1.414264,0.677738,0.00212999,0.00000000,0.083406,0.000000,333.42
29,1.392968,0.686441,1.410944,0.680704,0.00197426,0.00000000,nan,0.000000,330.80
30,1.384390,0.688256,1.411258,0.679023,0.00182079,0.00000000,0.083222,0.000000,335.84
31,1.379247,0.689470,1.409181,0.681297,0.00167022,0.00000000,0.083117,0.000000,337.10
32,1.372242,0.689480,1.407367,0.681000,0.00152316,0.00000000,0.082743,0.000000,333.51
33,1.369580,0.692176,1.404921,0.680210,0.00138022,0.00000000,nan,0.000000,330.67
34,1.367101,0.691553,1.402559,0.682187,0.00124198,0.00000000,0.082655,0.000000,341.87
35,1.362010,0.692950,1.402392,0.682088,0.00110901,0.00000000,0.082409,0.000000,340.75
36,1.356369,0.694475,1.401894,0.680210,0.00098186,0.00000000,0.082333,0.000000,331.09
37,1.352728,0.695474,1.399943,0.682780,0.00086106,0.00000000,nan,0.000000,336.24
38,1.352819,0.694496,1.399316,0.681396,0.00074709,0.00000000,0.082154,0.000000,335.73
39,1.352490,0.695409,1.398637,0.680605,0.00064042,0.00000000,0.082055,0.000000,337.33
40,1.346502,0.696859,1.398639,0.681989,0.00054150,0.00000000,0.082075,0.000000,338.48
41,1.346893,0.694872,1.397957,0.681594,0.00045073,0.00000000,0.082135,0.000000,333.65
42,1.348460,0.694862,1.397502,0.682384,0.00036849,0.00000000,0.081997,0.000000,341.13
43,1.344687,0.696752,1.396983,0.682187,0.00029510,0.00000000,nan,0.000000,335.78
44,1.342889,0.696698,1.396849,0.682384,0.00023088,0.00000000,0.081718,0.000000,338.54
45,1.337765,0.699083,1.396710,0.681396,0.00017609,0.00000000,0.081828,0.000000,333.97
46,1.337129,0.698277,1.396504,0.681594,0.00013095,0.00000000,nan,0.000000,332.71
47,1.337911,0.698019,1.396510,0.681989,0.00009564,0.00000000,0.081772,0.000000,338.86
