epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.393851,0.128427,1.326420,0.174874,,,0,0.00250000,0.00000000,0.003512,0.000000,138.81
2,1.111503,0.343759,0.928954,0.479837,,,0,0.00500000,0.00000000,0.021184,0.000000,148.51
3,0.808372,0.553751,0.756706,0.578519,,,0,0.00499470,0.00000000,0.025805,0.000000,147.89
4,0.683372,0.618353,0.681790,0.609829,,,0,0.00497883,0.00000000,0.025165,0.000000,147.98
5,0.619329,0.648843,0.639291,0.626115,,,0,0.00495244,0.00000000,0.024241,0.000000,146.75
6,0.561823,0.667557,0.611163,0.634742,,,0,0.00491567,0.00000000,0.023014,0.000000,151.34
7,0.531261,0.681981,0.587797,0.645696,,,0,0.00486865,0.00000000,0.022458,0.000000,149.35
8,0.506384,0.694249,0.570535,0.654323,,,0,0.00481160,0.00000000,0.021909,0.000000,152.99
9,0.488244,0.703387,0.557068,0.660333,,,0,0.00474476,0.00000000,0.021398,0.000000,152.42
10,0.471241,0.712733,0.545514,0.666344,,,0,0.00466841,0.00000000,0.020964,0.000000,149.38
11,0.457046,0.720022,0.535680,0.667604,,,0,0.00458289,0.00000000,0.020556,0.000000,149.62
12,0.444932,0.726720,0.529558,0.669639,,,0,0.00448855,0.00000000,0.020195,0.000000,156.10
13,0.434606,0.732662,0.521911,0.671481,,,0,0.00438580,0.00000000,0.019839,0.000000,156.48
14,0.424831,0.738287,0.516309,0.673323,,,0,0.00427509,0.00000000,0.019547,0.000000,142.11
15,0.416367,0.742380,0.510796,0.677394,,,0,0.00415688,0.00000000,0.019246,0.000000,152.06
16,0.408233,0.747021,0.505853,0.680012,,,0,0.00403168,0.00000000,0.019009,0.000000,151.04
17,0.401483,0.752011,0.502357,0.680302,,,0,0.00390004,0.00000000,0.018812,0.000000,149.85
18,0.394789,0.755119,0.498435,0.681756,,,0,0.00376250,0.00000000,0.018542,0.000000,149.01
19,0.389262,0.758993,0.495314,0.682435,,,0,0.00361966,0.00000000,0.018288,0.000000,151.79
20,0.383254,0.762233,0.492178,0.682532,,,0,0.00347214,0.00000000,0.018147,0.000000,149.17
21,0.377504,0.765373,0.489186,0.685731,,,0,0.00332056,0.00000000,0.018000,0.000000,148.62
22,0.373925,0.768153,0.487036,0.686700,,,0,0.00316558,0.00000000,0.017802,0.000000,149.13
23,0.368961,0.771021,0.484297,0.689802,,,0,0.00300785,0.00000000,nan,0.000000,150.98
24,0.364707,0.773800,0.481714,0.690093,,,0,0.00284805,0.00000000,0.017504,0.000000,150.47
25,0.361254,0.775300,0.480869,0.690190,,,0,0.00268687,0.00000000,0.017364,0.000000,155.65
26,0.358225,0.777335,0.479013,0.691159,,,0,0.00252500,0.00000000,nan,0.000000,159.96
27,0.355520,0.779425,0.477186,0.691450,,,0,0.00236313,0.00000000,0.017122,0.000000,159.56
28,0.352667,0.781494,0.475817,0.691741,,,0,0.00220195,0.00000000,nan,0.000000,158.53
29,0.349428,0.783081,0.475001,0.692129,,,0,0.00204215,0.00000000,0.016876,0.000000,159.52
30,0.347365,0.784361,0.473634,0.692516,,,0,0.00188442,0.00000000,0.016772,0.000000,156.60
31,0.344735,0.785893,0.472945,0.691741,,,0,0.00172944,0.00000000,0.016708,0.000000,157.65
32,0.343109,0.787218,0.471862,0.692807,,,0,0.00157786,0.00000000,0.016631,0.000000,152.15
33,0.341722,0.788170,0.470896,0.693001,,,0,0.00143034,0.00000000,nan,0.000000,154.63
34,0.340066,0.789614,0.470382,0.693001,,,0,0.00128750,0.00000000,0.016534,0.000000,155.57
35,0.338284,0.789877,0.469588,0.694164,,,0,0.00114996,0.00000000,0.016366,0.000000,165.37
36,0.337706,0.790884,0.469349,0.693680,,,0,0.00101832,0.00000000,nan,0.000000,162.58
37,0.336279,0.791715,0.468692,0.693680,,,0,0.00089312,0.00000000,0.016284,0.000000,161.44
38,0.335209,0.792295,0.468308,0.693874,,,0,0.00077491,0.00000000,0.016242,0.000000,162.04
39,0.334359,0.792810,0.468049,0.693874,,,0,0.00066420,0.00000000,0.016202,0.000000,163.90
40,0.333458,0.793368,0.467712,0.693777,,,0,0.00056145,0.00000000,0.016151,0.000000,161.55
41,0.333364,0.793795,0.467513,0.694358,,,0,0.00046711,0.00000000,0.016071,0.000000,161.04
42,0.332154,0.794233,0.467292,0.694261,,,0,0.00038159,0.00000000,nan,0.000000,161.32
43,0.331111,0.794637,0.467145,0.694067,,,0,0.00030524,0.00000000,0.016057,0.000000,159.61
44,0.331441,0.794791,0.466981,0.694164,,,0,0.00023840,0.00000000,0.016025,0.000000,160.23
45,0.331480,0.794900,0.466916,0.693874,,,0,0.00018135,0.00000000,nan,0.000000,160.83
46,0.330084,0.795338,0.466871,0.693971,,,0,0.00013433,0.00000000,0.015990,0.000000,161.11
47,0.330007,0.795338,0.466833,0.693777,,,0,0.00009756,0.00000000,0.016014,0.000000,161.97
48,0.330260,0.795458,0.466795,0.694067,,,0,0.00007117,0.00000000,nan,0.000000,162.42
49,0.330272,0.795502,0.466767,0.693874,,,0,0.00005530,0.00000000,0.015978,0.000000,166.31
50,0.330693,0.795590,0.466758,0.693874,,,0,0.00005000,0.00000000,nan,0.000000,168.12
