label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment,correct,recall,actual_training_exposures_to_selected_epoch
0,0000,238,214,24,214,24,covered_noisy_labels,head,23,0.9583333134651184,3424
1,0001,218,196,22,197,22,covered_noisy_labels,head,12,0.5454545617103577,3152
2,0002,181,163,18,163,19,covered_noisy_labels,head,12,0.6315789222717285,2608
3,0003,239,215,24,215,24,covered_noisy_labels,head,21,0.875,3440
4,0004,215,193,22,193,22,covered_noisy_labels,head,20,0.9090909361839294,3088
5,0005,158,142,16,144,16,covered_noisy_labels,head,10,0.625,2304
6,0006,187,168,19,168,19,covered_noisy_labels,head,17,0.8947368264198303,2688
7,0007,245,221,24,222,24,covered_noisy_labels,head,24,1.0,3552
8,0008,248,223,25,223,25,covered_noisy_labels,head,19,0.7599999904632568,3568
9,0009,196,176,20,176,21,covered_noisy_labels,head,19,0.9047619104385376,2816
10,0010,197,177,20,180,20,covered_noisy_labels,head,15,0.75,2880
11,0011,178,160,18,160,18,covered_noisy_labels,head,17,0.9444444179534912,2560
12,0012,191,172,19,172,19,covered_noisy_labels,head,15,0.7894737124443054,2752
13,0013,165,149,16,151,16,covered_noisy_labels,head,9,0.5625,2416
14,0014,170,153,17,153,17,covered_noisy_labels,head,11,0.6470588445663452,2448
15,0015,235,211,24,211,24,covered_noisy_labels,head,22,0.9166666865348816,3376
16,0016,221,199,22,200,22,covered_noisy_labels,head,21,0.9545454382896423,3200
17,0017,159,143,16,143,16,covered_noisy_labels,head,10,0.625,2288
18,0018,244,220,24,220,24,covered_noisy_labels,head,10,0.4166666567325592,3520
19,0019,28,25,3,25,3,covered_noisy_labels,middle,0,0.0,400
20,0020,184,166,18,166,18,covered_noisy_labels,head,12,0.6666666865348816,2656
21,0021,220,198,22,198,22,covered_noisy_labels,head,14,0.6363636255264282,3168
22,0022,218,196,22,196,22,covered_noisy_labels,head,20,0.9090909361839294,3136
23,0023,194,175,19,175,19,covered_noisy_labels,head,6,0.31578946113586426,2800
24,0024,242,218,24,219,24,covered_noisy_labels,head,21,0.875,3504
25,0025,198,178,20,178,20,covered_noisy_labels,head,17,0.8500000238418579,2848
26,0026,200,180,20,180,20,covered_noisy_labels,head,15,0.75,2880
27,0027,230,207,23,207,23,covered_noisy_labels,head,23,1.0,3312
28,0028,224,202,22,202,22,covered_noisy_labels,head,14,0.6363636255264282,3232
29,0029,199,179,20,180,20,covered_noisy_labels,head,15,0.75,2880
30,0030,178,160,18,160,18,covered_noisy_labels,head,12,0.6666666865348816,2560
31,0031,182,164,18,164,18,covered_noisy_labels,head,7,0.3888888955116272,2624
32,0032,179,161,18,161,18,covered_noisy_labels,head,18,1.0,2576
33,0033,215,193,22,194,22,covered_noisy_labels,head,22,1.0,3104
34,0034,232,209,23,209,23,covered_noisy_labels,head,17,0.739130437374115,3344
35,0035,229,206,23,206,23,covered_noisy_labels,head,22,0.95652174949646,3296
36,0036,183,165,18,165,18,covered_noisy_labels,head,18,1.0,2640
37,0037,180,162,18,162,19,covered_noisy_labels,head,12,0.6315789222717285,2592
38,0038,185,167,18,167,18,covered_noisy_labels,head,15,0.8333333134651184,2672
39,0039,184,166,18,166,18,covered_noisy_labels,head,7,0.3888888955116272,2656
40,0040,212,191,21,192,21,covered_noisy_labels,head,20,0.9523809552192688,3072
41,0041,189,170,19,170,19,covered_noisy_labels,head,18,0.9473684430122375,2720
42,0042,178,160,18,160,18,covered_noisy_labels,head,10,0.5555555820465088,2560
43,0043,229,206,23,206,23,covered_noisy_labels,head,22,0.95652174949646,3296
44,0044,226,203,23,203,23,covered_noisy_labels,head,23,1.0,3248
45,0045,248,223,25,223,25,covered_noisy_labels,head,16,0.6399999856948853,3568
46,0046,13,12,1,12,1,covered_noisy_labels,tail,0,0.0,192
47,0047,200,180,20,180,20,covered_noisy_labels,head,17,0.8500000238418579,2880
48,0048,219,197,22,197,22,covered_noisy_labels,head,13,0.5909090638160706,3152
49,0049,222,200,22,200,22,covered_noisy_labels,head,17,0.7727272510528564,3200
50,0050,163,147,16,147,16,covered_noisy_labels,head,16,1.0,2352
51,0051,196,176,20,176,20,covered_noisy_labels,head,10,0.5,2816
52,0052,227,204,23,206,23,covered_noisy_labels,head,21,0.9130434989929199,3296
53,0053,211,190,21,192,21,covered_noisy_labels,head,10,0.4761904776096344,3072
54,0054,215,193,22,193,22,covered_noisy_labels,head,19,0.8636363744735718,3088
55,0055,160,144,16,144,16,covered_noisy_labels,head,16,1.0,2304
56,0056,191,172,19,173,19,covered_noisy_labels,head,16,0.8421052694320679,2768
57,0057,236,212,24,212,24,covered_noisy_labels,head,19,0.7916666865348816,3392
58,0058,121,109,12,110,12,covered_noisy_labels,head,4,0.3333333432674408,1760
59,0059,244,220,24,220,24,covered_noisy_labels,head,14,0.5833333134651184,3520
60,0060,185,167,18,167,18,covered_noisy_labels,head,15,0.8333333134651184,2672
61,0061,225,203,22,203,22,covered_noisy_labels,head,14,0.6363636255264282,3248
62,0062,163,147,16,147,16,covered_noisy_labels,head,12,0.75,2352
63,0063,230,207,23,207,23,covered_noisy_labels,head,16,0.695652186870575,3312
64,0064,187,168,19,168,19,covered_noisy_labels,head,13,0.6842105388641357,2688
65,0065,217,195,22,196,22,covered_noisy_labels,head,18,0.8181818127632141,3136
66,0066,194,175,19,175,19,covered_noisy_labels,head,18,0.9473684430122375,2800
67,0067,223,201,22,201,22,covered_noisy_labels,head,19,0.8636363744735718,3216
68,0068,246,221,25,221,25,covered_noisy_labels,head,18,0.7200000286102295,3536
69,0069,221,199,22,199,22,covered_noisy_labels,head,6,0.27272728085517883,3184
70,0070,183,165,18,165,18,covered_noisy_labels,head,14,0.7777777910232544,2640
71,0071,243,219,24,220,24,covered_noisy_labels,head,20,0.8333333134651184,3520
72,0072,167,150,17,151,17,covered_noisy_labels,head,13,0.7647058963775635,2416
73,0073,241,217,24,217,24,covered_noisy_labels,head,16,0.6666666865348816,3472
74,0074,229,206,23,206,23,covered_noisy_labels,head,16,0.695652186870575,3296
75,0075,171,154,17,154,17,covered_noisy_labels,head,10,0.5882353186607361,2464
76,0076,217,195,22,195,22,covered_noisy_labels,head,19,0.8636363744735718,3120
77,0077,226,203,23,203,23,covered_noisy_labels,head,22,0.95652174949646,3248
78,0078,247,222,25,222,25,covered_noisy_labels,head,12,0.47999998927116394,3552
79,0079,215,193,22,193,22,covered_noisy_labels,head,21,0.9545454382896423,3088
80,0080,248,223,25,223,25,covered_noisy_labels,head,10,0.4000000059604645,3568
81,0081,159,143,16,143,16,covered_noisy_labels,head,7,0.4375,2288
82,0082,194,175,19,175,19,covered_noisy_labels,head,11,0.5789473652839661,2800
83,0083,194,175,19,175,19,covered_noisy_labels,head,5,0.2631579041481018,2800
84,0084,197,177,20,177,20,covered_noisy_labels,head,16,0.800000011920929,2832
85,0085,220,198,22,198,22,covered_noisy_labels,head,19,0.8636363744735718,3168
86,0086,181,163,18,164,18,covered_noisy_labels,head,5,0.2777777910232544,2624
87,0087,195,175,20,175,20,covered_noisy_labels,head,20,1.0,2800
88,0088,219,197,22,199,22,covered_noisy_labels,head,16,0.7272727489471436,3184
89,0089,165,149,16,150,16,covered_noisy_labels,head,15,0.9375,2400
90,0090,184,166,18,166,18,covered_noisy_labels,head,17,0.9444444179534912,2656
91,0091,168,151,17,151,17,covered_noisy_labels,head,7,0.4117647111415863,2416
92,0092,179,161,18,161,18,covered_noisy_labels,head,16,0.8888888955116272,2576
93,0093,176,158,18,160,18,covered_noisy_labels,head,13,0.7222222089767456,2560
94,0094,222,200,22,200,22,covered_noisy_labels,head,21,0.9545454382896423,3200
95,0095,247,222,25,223,25,covered_noisy_labels,head,22,0.8799999952316284,3568
96,0096,199,179,20,179,20,covered_noisy_labels,head,19,0.949999988079071,2864
97,0097,151,136,15,136,15,covered_noisy_labels,head,13,0.8666666746139526,2176
98,0098,167,150,17,150,17,covered_noisy_labels,head,17,1.0,2400
99,0099,200,180,20,180,20,covered_noisy_labels,head,17,0.8500000238418579,2880
100,0100,191,172,19,172,19,covered_noisy_labels,head,16,0.8421052694320679,2752
101,0101,187,168,19,168,19,covered_noisy_labels,head,11,0.5789473652839661,2688
102,0102,167,150,17,150,17,covered_noisy_labels,head,15,0.8823529481887817,2400
103,0103,232,209,23,209,23,covered_noisy_labels,head,21,0.9130434989929199,3344
104,0104,176,158,18,158,18,covered_noisy_labels,head,13,0.7222222089767456,2528
105,0105,240,216,24,216,24,covered_noisy_labels,head,20,0.8333333134651184,3456
106,0106,240,216,24,216,24,covered_noisy_labels,head,16,0.6666666865348816,3456
107,0107,194,175,19,175,20,covered_noisy_labels,head,17,0.8500000238418579,2800
108,0108,169,152,17,153,17,covered_noisy_labels,head,15,0.8823529481887817,2448
109,0109,236,212,24,212,24,covered_noisy_labels,head,23,0.9583333134651184,3392
110,0110,220,198,22,199,22,covered_noisy_labels,head,20,0.9090909361839294,3184
111,0111,222,200,22,201,22,covered_noisy_labels,head,7,0.3181818127632141,3216
112,0112,234,211,23,212,23,covered_noisy_labels,head,17,0.739130437374115,3392
113,0113,181,163,18,163,18,covered_noisy_labels,head,17,0.9444444179534912,2608
114,0114,58,52,6,52,6,covered_noisy_labels,middle,3,0.5,832
115,0115,196,176,20,176,20,covered_noisy_labels,head,18,0.8999999761581421,2816
116,0116,194,175,19,176,19,covered_noisy_labels,head,12,0.6315789222717285,2816
117,0117,227,204,23,204,23,covered_noisy_labels,head,16,0.695652186870575,3264
118,0118,176,158,18,158,18,covered_noisy_labels,head,6,0.3333333432674408,2528
119,0119,173,156,17,156,17,covered_noisy_labels,head,17,1.0,2496
120,0120,243,219,24,219,24,covered_noisy_labels,head,21,0.875,3504
121,0121,178,160,18,160,18,covered_noisy_labels,head,13,0.7222222089767456,2560
