epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,0.835477,0.823039,1.383940,0.693276,0.00015000,0.00000000,0.066015,0.000000,152.28
2,0.836220,0.822622,1.383865,0.692792,0.00030000,0.00000000,0.066129,0.000000,152.89
3,0.836238,0.822446,1.383776,0.693276,0.00029968,0.00000000,0.065970,0.000000,151.98
4,0.835465,0.822808,1.383573,0.692889,0.00029873,0.00000000,0.066000,0.000000,152.49
5,0.834683,0.823181,1.383514,0.692986,0.00029715,0.00000000,0.065930,0.000000,155.14
6,0.833893,0.823214,1.383412,0.693083,0.00029494,0.00000000,0.065796,0.000000,153.33
7,0.833095,0.823466,1.383372,0.692889,0.00029212,0.00000000,0.065761,0.000000,151.68
8,0.832321,0.823335,1.383281,0.692986,0.00028870,0.00000000,0.065991,0.000000,153.72
9,0.831545,0.823828,1.383133,0.692501,0.00028469,0.00000000,0.065691,0.000000,155.78
10,0.830773,0.823861,1.382994,0.693276,0.00028010,0.00000000,0.065754,0.000000,151.78
11,0.830015,0.824102,1.382807,0.692986,0.00027497,0.00000000,0.065889,0.000000,152.70
