epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,0.918632,0.800412,0.907321,0.800514,0.00015000,0.00000500,0.009635,0.999953,142.37
2,0.891481,0.800649,0.890872,0.799328,0.00030000,0.00001000,0.008811,0.999961,149.72
3,0.864354,0.802743,0.885039,0.801305,0.00029968,0.00000999,0.008063,nan,148.94
4,0.839656,0.807802,0.884763,0.797153,0.00029873,0.00000996,0.007590,0.999971,148.88
5,0.818285,0.810949,0.881530,0.795967,0.00029715,0.00000990,0.007250,0.999974,151.12
6,0.799788,0.815460,0.884716,0.795769,0.00029494,0.00000983,0.006988,nan,157.42
7,0.782425,0.818758,0.886236,0.793199,0.00029212,0.00000974,0.006753,0.999977,153.21
8,0.766791,0.821873,0.887490,0.794089,0.00028870,0.00000962,0.006583,0.999978,154.94
9,0.752229,0.824665,0.889491,0.792309,0.00028469,0.00000949,0.006402,nan,157.07
10,0.738495,0.828242,0.889615,0.792013,0.00028010,0.00000934,0.006264,0.999980,154.17
11,0.725867,0.830541,0.892452,0.792902,0.00027497,0.00000917,0.006139,0.999981,153.32
12,0.713628,0.833516,0.897152,0.790925,0.00026931,0.00000898,0.006025,nan,151.71
13,0.702780,0.835943,0.895890,0.790233,0.00026315,0.00000877,0.005946,0.999982,156.36
