epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.048773,0.759210,0.908407,0.800316,0.00005000,0.00000500,0.009111,0.999958,145.30
2,1.023061,0.760317,0.894564,0.799427,0.00010000,0.00001000,0.008386,0.999965,152.48
3,1.000757,0.764216,0.891479,0.801305,0.00009989,0.00000999,0.007853,nan,157.55
4,0.981257,0.767363,0.890024,0.795868,0.00009958,0.00000996,0.007550,0.999971,150.36
5,0.964235,0.770982,0.887847,0.797252,0.00009905,0.00000990,0.007347,0.999973,146.68
6,0.952229,0.770768,0.889980,0.794583,0.00009831,0.00000983,0.007202,nan,145.97
7,0.939480,0.775107,0.888839,0.793891,0.00009737,0.00000974,0.007051,0.999975,144.61
8,0.925989,0.779092,0.889437,0.793100,0.00009623,0.00000962,0.006948,0.999976,146.36
9,0.915079,0.780810,0.888581,0.794682,0.00009490,0.00000949,0.006808,nan,148.86
10,0.904710,0.781820,0.888019,0.793199,0.00009337,0.00000934,0.006715,0.999977,145.75
11,0.895824,0.783238,0.890403,0.793990,0.00009166,0.00000917,0.006621,0.999978,144.25
12,0.884738,0.786374,0.892142,0.789937,0.00008977,0.00000898,0.006526,0.999979,144.13
13,0.876813,0.787749,0.890646,0.793199,0.00008772,0.00000877,0.006451,0.999979,146.76
