class_idx,accuracy,n_samples
0,0.904762,21
1,0.666667,21
2,0.714286,21
3,0.333333,21
4,0.952381,21
5,0.350000,20
6,0.761905,21
7,0.800000,20
8,1.000000,21
9,1.000000,21
10,0.904762,21
11,0.857143,21
12,0.952381,21
13,0.400000,20
14,0.681818,22
15,0.904762,21
16,0.380952,21
17,0.809524,21
18,0.800000,20
19,0.750000,20
20,0.850000,20
21,0.333333,21
22,0.727273,22
23,0.428571,21
24,0.904762,21
25,0.900000,20
26,0.666667,21
27,0.523810,21
28,0.809524,21
29,0.857143,21
30,0.950000,20
31,0.857143,21
32,0.904762,21
33,0.200000,20
34,0.904762,21
35,0.619048,21
36,0.700000,20
37,1.000000,20
38,0.476190,21
39,0.714286,21
40,0.714286,21
41,0.850000,20
42,0.400000,20
43,0.904762,21
44,0.666667,21
45,0.666667,21
46,0.952381,21
47,0.714286,21
48,0.571429,21
49,0.450000,20
50,0.900000,20
51,0.333333,21
52,0.761905,21
53,0.750000,20
54,0.904762,21
55,0.952381,21
56,0.714286,21
57,0.523810,21
58,1.000000,20
59,0.476190,21
60,0.600000,20
61,0.619048,21
62,0.900000,20
63,0.761905,21
64,0.904762,21
65,0.350000,20
66,0.952381,21
67,0.850000,20
68,0.700000,20
69,0.600000,20
70,0.900000,20
71,1.000000,20
72,0.850000,20
73,0.761905,21
74,0.750000,20
75,0.666667,21
76,0.857143,21
77,0.523810,21
78,0.666667,21
79,0.750000,20
80,0.904762,21
81,0.600000,20
82,0.857143,21
83,0.761905,21
84,0.400000,20
85,0.900000,20
86,0.761905,21
87,0.714286,21
88,0.476190,21
89,0.714286,21
90,0.900000,20
91,0.800000,20
92,0.857143,21
93,0.400000,20
94,0.800000,20
95,0.857143,21
96,0.900000,20
97,0.650000,20
98,0.850000,20
99,0.571429,21
100,0.809524,21
101,0.850000,20
102,0.380952,21
103,0.952381,21
104,0.450000,20
105,0.714286,21
106,0.952381,21
107,0.761905,21
108,0.571429,21
109,0.952381,21
110,0.952381,21
111,0.600000,20
112,0.666667,21
113,0.850000,20
114,0.950000,20
115,0.809524,21
116,0.800000,20
117,0.952381,21
118,0.666667,21
119,0.950000,20
120,0.666667,21
121,1.000000,21
122,0.750000,20
123,0.350000,20
124,0.850000,20
125,0.428571,21
126,0.761905,21
127,0.800000,20
128,0.904762,21
129,0.857143,21
130,0.545455,22
131,0.809524,21
132,0.619048,21
133,0.952381,21
134,0.650000,20
135,0.350000,20
136,0.666667,21
137,0.761905,21
138,0.450000,20
139,0.476190,21
140,0.850000,20
141,0.809524,21
142,0.904762,21
143,0.809524,21
144,0.761905,21
145,0.900000,20
146,0.650000,20
147,1.000000,21
148,0.857143,21
149,0.900000,20
150,0.818182,22
151,0.900000,20
152,0.857143,21
153,0.523810,21
154,0.857143,21
155,0.500000,20
156,0.300000,20
157,0.809524,21
158,0.904762,21
159,0.800000,20
160,0.571429,21
161,1.000000,20
162,0.727273,22
163,0.950000,20
164,0.500000,20
165,0.952381,21
166,0.857143,21
167,0.809524,21
168,0.904762,21
169,1.000000,21
170,0.818182,22
171,0.600000,20
172,0.750000,20
173,0.904762,21
174,0.900000,20
175,0.850000,20
176,0.619048,21
177,0.950000,20
178,0.800000,20
179,0.857143,21
180,0.857143,21
181,0.904762,21
182,0.809524,21
183,0.850000,20
184,0.285714,21
185,0.904762,21
186,0.950000,20
187,0.800000,20
188,0.750000,20
189,0.750000,20
190,0.809524,21
191,0.904762,21
192,0.857143,21
193,0.700000,20
194,0.850000,20
195,0.428571,21
196,0.809524,21
197,0.666667,21
198,0.500000,20
199,0.700000,20
200,0.952381,21
201,0.904762,21
202,0.400000,20
203,0.714286,21
204,1.000000,21
205,0.857143,21
206,1.000000,20
207,0.850000,20
208,0.904762,21
209,0.857143,21
210,0.500000,20
211,0.714286,21
212,0.714286,21
213,0.772727,22
214,0.285714,21
215,0.857143,21
216,0.714286,21
217,0.523810,21
218,0.600000,20
219,0.850000,20
220,0.600000,20
221,0.550000,20
222,0.550000,20
223,0.850000,20
224,0.714286,21
225,1.000000,20
226,0.571429,21
227,0.714286,21
228,0.714286,21
229,0.619048,21
230,0.857143,21
231,1.000000,20
232,1.000000,21
233,0.450000,20
234,0.809524,21
235,0.714286,21
236,0.863636,22
237,0.800000,20
238,0.714286,21
239,0.850000,20
240,0.700000,20
241,0.100000,20
242,0.619048,21
243,0.700000,20
244,0.850000,20
245,0.857143,21
246,0.952381,21
247,0.550000,20
248,0.650000,20
249,0.750000,20
250,0.650000,20
251,0.857143,21
252,0.850000,20
253,0.857143,21
254,0.950000,20
255,0.952381,21
256,0.409091,22
257,0.800000,20
258,0.952381,21
259,0.904762,21
260,0.952381,21
261,0.714286,21
262,0.761905,21
263,0.600000,20
264,0.750000,20
265,0.904762,21
266,0.050000,20
267,0.714286,21
268,0.800000,20
269,0.800000,20
270,0.900000,20
271,0.761905,21
272,0.900000,20
273,0.904762,21
274,0.700000,20
275,0.761905,21
276,0.857143,21
277,0.809524,21
278,0.818182,22
279,0.550000,20
280,0.450000,20
281,0.952381,21
282,0.523810,21
283,0.809524,21
284,0.809524,21
285,0.450000,20
286,0.363636,22
287,0.761905,21
288,0.857143,21
289,1.000000,21
290,0.714286,21
291,0.904762,21
292,0.952381,21
293,1.000000,21
294,0.619048,21
295,0.952381,21
296,0.666667,21
297,0.700000,20
298,0.750000,20
299,0.750000,20
300,0.809524,21
301,0.800000,20
302,0.350000,20
303,0.800000,20
304,0.300000,20
305,0.809524,21
306,0.761905,21
307,0.750000,20
308,0.952381,21
309,0.800000,20
310,0.650000,20
311,0.857143,21
312,0.238095,21
313,0.619048,21
314,0.904762,21
315,0.666667,21
316,0.666667,21
317,0.904762,21
318,0.857143,21
319,0.900000,20
320,0.952381,21
321,0.476190,21
322,0.800000,20
323,0.650000,20
324,0.650000,20
325,0.900000,20
326,0.250000,20
327,0.454545,22
328,0.952381,21
329,0.750000,20
330,0.952381,21
331,0.700000,20
332,0.850000,20
333,0.400000,20
334,0.736842,19
335,0.809524,21
336,0.809524,21
337,0.136364,22
338,0.550000,20
339,0.904762,21
340,0.809524,21
341,0.800000,20
342,0.681818,22
343,0.571429,21
344,0.400000,20
345,0.857143,21
346,1.000000,20
347,0.277778,18
348,0.857143,21
349,0.631579,19
350,0.850000,20
351,0.952381,21
352,0.952381,21
353,0.550000,20
354,0.850000,20
355,0.904762,21
356,1.000000,20
357,0.750000,20
358,0.523810,21
359,0.950000,20
360,0.761905,21
361,0.700000,20
362,0.900000,20
363,0.809524,21
364,0.450000,20
365,0.421053,19
366,0.857143,21
367,0.850000,20
368,0.739130,23
369,0.714286,21
370,0.809524,21
371,0.650000,20
372,0.857143,21
373,0.650000,20
374,0.857143,21
375,0.850000,20
376,0.666667,21
377,0.571429,21
378,0.550000,20
379,0.400000,20
380,0.761905,21
381,0.952381,21
382,0.904762,21
383,0.666667,21
384,0.900000,20
385,0.904762,21
386,0.450000,20
387,0.700000,20
388,0.666667,21
389,0.571429,21
390,0.666667,21
391,0.809524,21
392,0.300000,20
393,0.850000,20
394,0.368421,19
395,0.857143,21
396,0.600000,20
397,0.750000,20
398,0.750000,20
399,0.809524,21
400,0.619048,21
401,0.904762,21
402,0.950000,20
403,0.952381,21
404,0.904762,21
405,0.809524,21
406,0.952381,21
407,0.550000,20
408,0.523810,21
409,0.500000,20
410,0.857143,21
411,0.857143,21
412,0.523810,21
413,0.500000,22
414,0.380952,21
415,0.650000,20
416,0.666667,21
417,0.761905,21
418,0.761905,21
419,0.571429,21
420,0.476190,21
421,0.318182,22
422,0.571429,21
423,0.523810,21
424,0.277778,18
425,0.800000,20
426,0.952381,21
427,0.450000,20
428,0.714286,21
429,0.950000,20
430,0.750000,20
431,0.800000,20
432,0.714286,21
433,0.952381,21
434,0.550000,20
435,0.761905,21
436,0.714286,21
437,0.727273,22
438,0.714286,21
439,0.571429,21
440,0.857143,21
441,0.550000,20
442,0.809524,21
443,0.666667,21
444,0.476190,21
445,0.761905,21
446,0.904762,21
447,1.000000,21
448,0.900000,20
449,0.904762,21
450,0.750000,20
451,0.650000,20
452,0.450000,20
453,0.950000,20
454,0.800000,20
455,0.714286,21
456,0.333333,21
457,0.523810,21
458,0.761905,21
459,0.809524,21
460,0.952381,21
461,0.900000,20
462,0.714286,21
463,0.380952,21
464,0.900000,20
465,0.666667,21
466,0.800000,20
467,0.428571,21
468,0.750000,20
469,0.809524,21
470,0.190476,21
471,0.650000,20
472,0.500000,22
473,0.857143,21
474,0.904762,21
475,0.809524,21
476,0.476190,21
477,0.333333,21
478,0.523810,21
479,0.473684,19
480,0.952381,21
481,0.818182,22
482,0.809524,21
483,0.285714,21
484,0.904762,21
485,0.272727,22
486,0.809524,21
487,0.619048,21
488,0.650000,20
489,0.565217,23
490,1.000000,20
491,0.450000,20
492,0.550000,20
493,0.800000,20
494,0.500000,22
495,0.952381,21
496,0.900000,20
497,1.000000,20
498,0.850000,20
499,0.850000,20
