epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.393862,0.125549,1.326838,0.173129,0.00250000,0.00000000,0.003500,0.000000,139.38
2,1.110615,0.344394,0.926714,0.477705,0.00500000,0.00000000,0.021128,0.000000,145.87
3,0.808083,0.552963,0.757572,0.574932,0.00499470,0.00000000,0.025754,0.000000,146.11
4,0.684060,0.618408,0.682276,0.607697,0.00497883,0.00000000,0.025183,0.000000,146.00
5,0.619335,0.649204,0.640458,0.622237,0.00495244,0.00000000,0.024201,0.000000,146.25
6,0.578237,0.667228,0.610691,0.636875,0.00491567,0.00000000,0.023421,0.000000,147.53
7,0.547880,0.682079,0.589018,0.648604,0.00486865,0.00000000,0.022789,0.000000,147.25
8,0.523636,0.694774,0.570414,0.655390,0.00481160,0.00000000,0.022319,0.000000,145.86
9,0.503872,0.704963,0.557271,0.658395,0.00474476,0.00000000,0.021831,0.000000,147.65
10,0.487371,0.713685,0.545513,0.666053,0.00466841,0.00000000,0.021360,0.000000,146.69
11,0.473082,0.721499,0.536155,0.668670,0.00458289,0.00000000,0.020959,0.000000,145.52
12,0.460734,0.728668,0.528020,0.673905,0.00448855,0.00000000,0.020593,0.000000,149.15
13,0.449573,0.734052,0.522182,0.671675,0.00438580,0.00000000,0.020233,0.000000,146.50
14,0.439897,0.739447,0.515363,0.675068,0.00427509,0.00000000,0.019928,0.000000,150.26
15,0.430980,0.745149,0.510542,0.677685,0.00415688,0.00000000,0.019677,0.000000,149.85
16,0.423167,0.749866,0.504840,0.679042,0.00403168,0.00000000,0.019456,0.000000,148.76
17,0.415692,0.753412,0.501195,0.680884,0.00390004,0.00000000,0.019137,0.000000,150.02
18,0.409138,0.757406,0.497381,0.683501,0.00376250,0.00000000,0.018951,0.000000,155.20
19,0.403047,0.761401,0.493895,0.684180,0.00361966,0.00000000,0.018754,0.000000,148.40
20,0.397367,0.764509,0.491114,0.686022,0.00347214,0.00000000,0.018528,0.000000,151.33
21,0.392123,0.767343,0.488356,0.687573,0.00332056,0.00000000,0.018309,0.000000,146.18
22,0.387558,0.770353,0.485559,0.687573,0.00316558,0.00000000,nan,0.000000,145.41
23,0.383005,0.772958,0.483087,0.688251,0.00300785,0.00000000,0.017998,0.000000,147.44
24,0.378960,0.775267,0.481182,0.689705,0.00284805,0.00000000,0.017868,0.000000,144.28
25,0.375197,0.777576,0.479618,0.688639,0.00268687,0.00000000,0.017770,0.000000,147.89
26,0.371809,0.779874,0.477441,0.691838,0.00252500,0.00000000,0.017611,0.000000,147.97
27,0.368675,0.782249,0.475971,0.692323,0.00236313,0.00000000,nan,0.000000,147.17
28,0.365807,0.783759,0.474619,0.692323,0.00220195,0.00000000,0.017373,0.000000,149.02
29,0.363191,0.785138,0.473942,0.692420,0.00204215,0.00000000,0.017290,0.000000,150.62
30,0.360739,0.786988,0.472675,0.693098,0.00188442,0.00000000,nan,0.000000,145.26
31,0.358581,0.788684,0.471516,0.694358,0.00172944,0.00000000,0.017067,0.000000,168.55
32,0.356628,0.789713,0.470342,0.694358,0.00157786,0.00000000,0.017002,0.000000,151.23
33,0.354800,0.790544,0.470169,0.695037,0.00143034,0.00000000,0.016907,0.000000,148.90
34,0.353185,0.791529,0.469111,0.693874,0.00128750,0.00000000,0.016788,0.000000,149.14
35,0.351702,0.792558,0.468664,0.695328,0.00114996,0.00000000,nan,0.000000,145.39
36,0.350377,0.793587,0.468170,0.694455,0.00101832,0.00000000,0.016708,0.000000,147.55
37,0.349216,0.794025,0.467752,0.694455,0.00089312,0.00000000,0.016647,0.000000,145.60
38,0.348169,0.794813,0.467296,0.694843,0.00077491,0.00000000,nan,0.000000,148.47
39,0.347245,0.795152,0.467092,0.694261,0.00066420,0.00000000,0.016586,0.000000,144.47
40,0.346456,0.795655,0.466804,0.694649,0.00056145,0.00000000,0.016492,0.000000,144.96
41,0.345770,0.796137,0.466578,0.695231,0.00046711,0.00000000,nan,0.000000,146.57
42,0.345185,0.796542,0.466371,0.694746,0.00038159,0.00000000,0.016455,0.000000,151.90
43,0.344693,0.796782,0.466230,0.694649,0.00030524,0.00000000,0.016369,0.000000,153.74
44,0.344274,0.797001,0.466122,0.695037,0.00023840,0.00000000,nan,0.000000,151.00
45,0.343941,0.797220,0.466044,0.695037,0.00018135,0.00000000,0.016369,0.000000,152.63
