epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.743721,0.197888,4.865958,0.367584,,,0,0.00250000,0.00000000,0.125506,0.000000,136.83
2,3.882286,0.451010,2.968808,0.527627,,,0,0.00500000,0.00000000,0.120465,0.000000,146.01
3,2.589963,0.570506,2.235582,0.599748,,,0,0.00499470,0.00000000,0.107286,0.000000,146.59
4,2.129662,0.621560,1.949543,0.625436,,,0,0.00497883,0.00000000,0.098039,0.000000,147.87
5,1.897433,0.651808,1.792923,0.641237,,,0,0.00495244,0.00000000,0.092437,0.000000,144.59
6,0.891188,0.659622,0.876314,0.636002,,,0,0.00491567,0.00000000,0.034648,0.000000,141.93
7,0.834143,0.665587,0.832208,0.642303,,,0,0.00486865,0.00000000,0.033745,0.000000,144.35
8,0.790922,0.672438,0.793638,0.647344,,,0,0.00481160,0.00000000,0.032658,0.000000,149.38
9,0.758826,0.677100,0.761110,0.655680,,,0,0.00474476,0.00000000,0.031624,0.000000,147.01
10,0.721652,0.689718,0.733911,0.661109,,,0,0.00466841,0.00000000,0.030794,0.000000,131.35
11,0.689427,0.700224,0.711430,0.668670,,,0,0.00458289,0.00000000,0.030087,0.000000,140.35
12,0.667356,0.706364,0.692086,0.674389,,,0,0.00448855,0.00000000,0.029326,0.000000,145.70
13,0.649286,0.714878,0.677972,0.678558,,,0,0.00438580,0.00000000,0.028798,0.000000,143.59
14,0.627444,0.723644,0.664273,0.680787,,,0,0.00427509,0.00000000,0.028329,0.000000,146.15
15,0.617505,0.727343,0.654486,0.681466,,,0,0.00415688,0.00000000,0.027712,0.000000,142.06
16,0.594877,0.736689,0.645118,0.683114,,,0,0.00403168,0.00000000,0.027494,0.000000,142.84
17,0.583754,0.739929,0.637076,0.686797,,,0,0.00390004,0.00000000,0.027045,0.000000,143.25
18,0.580841,0.742118,0.630944,0.688639,,,0,0.00376250,0.00000000,0.026654,0.000000,143.71
19,0.573917,0.744733,0.624914,0.693292,,,0,0.00361966,0.00000000,0.026333,0.000000,144.47
20,0.554697,0.753773,0.618659,0.694552,,,0,0.00347214,0.00000000,nan,0.000000,143.13
21,0.537357,0.761937,0.615507,0.694261,,,0,0.00332056,0.00000000,0.025900,0.000000,142.97
22,0.535208,0.761806,0.611256,0.695715,,,0,0.00316558,0.00000000,0.025593,0.000000,143.46
23,0.536247,0.762561,0.606821,0.696200,,,0,0.00300785,0.00000000,nan,0.000000,142.42
24,0.526812,0.766150,0.604155,0.697169,,,0,0.00284805,0.00000000,0.025210,0.000000,142.39
25,0.519292,0.771447,0.601728,0.697460,,,0,0.00268687,0.00000000,0.024932,0.000000,142.23
26,0.528497,0.766008,0.599005,0.696976,,,0,0.00252500,0.00000000,nan,0.000000,141.86
27,0.508577,0.775792,0.597166,0.697460,,,0,0.00236313,0.00000000,0.024618,0.000000,141.91
28,0.520326,0.771261,0.594994,0.697073,,,0,0.00220195,0.00000000,0.024445,0.000000,143.32
29,0.507961,0.778222,0.592568,0.699205,,,0,0.00204215,0.00000000,nan,0.000000,143.41
30,0.499173,0.781439,0.591157,0.701047,,,0,0.00188442,0.00000000,0.024269,0.000000,141.66
31,0.509353,0.776197,0.589724,0.700465,,,0,0.00172944,0.00000000,0.023999,0.000000,143.17
32,0.503062,0.780421,0.588748,0.699690,,,0,0.00157786,0.00000000,nan,0.000000,144.09
33,0.491830,0.783814,0.587316,0.700368,,,0,0.00143034,0.00000000,0.023900,0.000000,142.76
34,0.488127,0.787316,0.586238,0.700950,,,0,0.00128750,0.00000000,0.023855,0.000000,143.61
35,0.494347,0.784394,0.585528,0.701919,,,0,0.00114996,0.00000000,nan,0.000000,143.42
36,0.492522,0.785018,0.584712,0.701144,,,0,0.00101832,0.00000000,0.023614,0.000000,143.33
37,0.494652,0.785488,0.584134,0.700950,,,0,0.00089312,0.00000000,0.023529,0.000000,141.97
38,0.484260,0.791398,0.583415,0.701144,,,0,0.00077491,0.00000000,nan,0.000000,143.77
39,0.484096,0.788990,0.582829,0.700659,,,0,0.00066420,0.00000000,0.023460,0.000000,142.81
40,0.486152,0.788651,0.582315,0.702307,,,0,0.00056145,0.00000000,0.023363,0.000000,142.32
41,0.475801,0.793631,0.582128,0.702404,,,0,0.00046711,0.00000000,nan,0.000000,142.63
42,0.493583,0.786090,0.581800,0.701047,,,0,0.00038159,0.00000000,0.023316,0.000000,141.85
43,0.486512,0.788334,0.581576,0.702501,,,0,0.00030524,0.00000000,0.023323,0.000000,143.81
44,0.491912,0.787852,0.581371,0.702210,,,0,0.00023840,0.00000000,nan,0.000000,141.01
45,0.476027,0.793631,0.581265,0.702016,,,0,0.00018135,0.00000000,0.023266,0.000000,147.58
46,0.482800,0.790752,0.581140,0.701822,,,0,0.00013433,0.00000000,0.023178,0.000000,144.13
47,0.481703,0.791902,0.581087,0.702210,,,0,0.00009756,0.00000000,nan,0.000000,148.11
48,0.481607,0.791518,0.581032,0.702210,,,0,0.00007117,0.00000000,0.023199,0.000000,145.68
49,0.474632,0.792689,0.581006,0.701919,,,0,0.00005530,0.00000000,0.023200,0.000000,143.03
50,0.488769,0.788509,0.580977,0.702113,,,0,0.00005000,0.00000000,nan,0.000000,144.76
