epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.874916,0.148605,1.761973,0.254362,,,0,0.00250000,0.00000000,0.008100,0.000000,239.64
2,1.464622,0.373288,1.159397,0.523750,,,0,0.00500000,0.00000000,0.028110,0.000000,244.12
3,1.036216,0.570086,0.905065,0.618748,,,0,0.00499470,0.00000000,0.034175,0.000000,253.34
4,0.879207,0.625879,0.800297,0.653548,,,0,0.00497883,0.00000000,0.032730,0.000000,255.07
5,0.797180,0.653874,0.738497,0.674874,,,0,0.00495244,0.00000000,0.031383,0.000000,257.04
6,0.751432,0.669302,0.696656,0.688348,,,0,0.00491567,0.00000000,0.030334,0.000000,264.47
6,0.754765,0.667250,0.709803,0.675843,,,0,0.00491584,0.00000000,0.030385,0.000000,135.75
7,0.713907,0.682101,0.687317,0.679527,,,0,0.00486887,0.00000000,0.029608,0.000000,141.92
8,0.686793,0.691852,0.669257,0.686216,,,0,0.00481186,0.00000000,0.028820,0.000000,144.37
9,0.665450,0.702807,0.656445,0.687476,,,0,0.00474506,0.00000000,0.028286,0.000000,142.94
10,0.641510,0.712328,0.643765,0.689996,,,0,0.00466875,0.00000000,0.027827,0.000000,144.99
11,0.629555,0.718030,0.634601,0.692129,,,0,0.00458327,0.00000000,0.027205,0.000000,146.12
12,0.605525,0.728930,0.625930,0.693583,,,0,0.00448896,0.00000000,0.026984,0.000000,148.36
13,0.593076,0.733056,0.618420,0.696879,,,0,0.00438625,0.00000000,0.026541,0.000000,147.51
14,0.588976,0.735792,0.612792,0.696879,,,0,0.00427557,0.00000000,0.026142,0.000000,148.66
15,0.580773,0.739239,0.607192,0.700853,,,0,0.00415739,0.00000000,0.025781,0.000000,146.29
16,0.560686,0.749155,0.601122,0.701435,,,0,0.00403222,0.00000000,0.025510,0.000000,145.79
17,0.542492,0.757144,0.598157,0.703276,,,0,0.00390060,0.00000000,0.025317,0.000000,147.54
18,0.539402,0.758096,0.594154,0.702016,,,0,0.00376309,0.00000000,0.024998,0.000000,146.15
19,0.539734,0.759004,0.589750,0.703664,,,0,0.00362027,0.00000000,0.024732,0.000000,147.73
20,0.529586,0.763228,0.587093,0.703664,,,0,0.00347277,0.00000000,nan,0.000000,145.72
21,0.521298,0.768733,0.584756,0.704827,,,0,0.00332121,0.00000000,0.024279,0.000000,146.04
22,0.529784,0.763097,0.582218,0.705991,,,0,0.00316623,0.00000000,0.024079,0.000000,146.93
23,0.509229,0.773516,0.580507,0.706282,,,0,0.00300852,0.00000000,nan,0.000000,145.64
24,0.520243,0.769477,0.578350,0.705506,,,0,0.00284873,0.00000000,0.023739,0.000000,146.19
25,0.507378,0.776657,0.575589,0.707348,,,0,0.00268755,0.00000000,0.023605,0.000000,147.24
26,0.497795,0.780060,0.574257,0.707639,,,0,0.00252568,0.00000000,nan,0.000000,147.52
27,0.507331,0.775409,0.572702,0.709674,,,0,0.00236381,0.00000000,0.023255,0.000000,145.80
28,0.500558,0.779557,0.571990,0.707736,,,0,0.00220262,0.00000000,0.023159,0.000000,147.98
29,0.488778,0.783146,0.570315,0.709383,,,0,0.00204282,0.00000000,nan,0.000000,146.84
30,0.484458,0.787666,0.569015,0.710450,,,0,0.00188508,0.00000000,0.023029,0.000000,148.44
31,0.490128,0.784963,0.568396,0.710256,,,0,0.00173008,0.00000000,0.022845,0.000000,147.88
32,0.487777,0.785488,0.567542,0.709480,,,0,0.00157849,0.00000000,nan,0.000000,148.67
33,0.489430,0.786605,0.566824,0.708511,,,0,0.00143095,0.00000000,0.022676,0.000000,146.82
34,0.478500,0.792788,0.565874,0.709383,,,0,0.00128809,0.00000000,0.022692,0.000000,145.28
35,0.477761,0.790555,0.565059,0.709965,,,0,0.00115053,0.00000000,nan,0.000000,149.65
36,0.479458,0.790052,0.564395,0.709965,,,0,0.00101886,0.00000000,0.022422,0.000000,144.27
37,0.468546,0.795447,0.564237,0.709965,,,0,0.00089363,0.00000000,0.022501,0.000000,143.29
38,0.486090,0.788038,0.563661,0.710159,,,0,0.00077539,0.00000000,nan,0.000000,145.66
39,0.478445,0.790643,0.563285,0.709480,,,0,0.00066465,0.00000000,0.022331,0.000000,144.75
40,0.483402,0.790676,0.563000,0.711225,,,0,0.00056186,0.00000000,0.022291,0.000000,142.24
41,0.467218,0.796235,0.562769,0.710159,,,0,0.00046749,0.00000000,nan,0.000000,146.68
42,0.473614,0.793587,0.562628,0.710547,,,0,0.00038193,0.00000000,0.022152,0.000000,144.30
43,0.472351,0.794977,0.562521,0.711225,,,0,0.00030554,0.00000000,0.022237,0.000000,158.00
44,0.471928,0.794845,0.562413,0.711225,,,0,0.00023866,0.00000000,nan,0.000000,161.16
45,0.464562,0.796137,0.562301,0.711128,,,0,0.00018157,0.00000000,0.022128,0.000000,148.36
46,0.478587,0.791912,0.562237,0.711613,,,0,0.00013451,0.00000000,0.022121,0.000000,147.27
47,0.471814,0.795885,0.562180,0.711613,,,0,0.00009769,0.00000000,nan,0.000000,147.25
48,0.477926,0.791562,0.562155,0.711225,,,0,0.00007126,0.00000000,0.022058,0.000000,148.37
49,0.479656,0.791858,0.562126,0.711419,,,0,0.00005534,0.00000000,0.022129,0.000000,143.10
50,0.466755,0.797538,0.562106,0.711322,,,0,0.00005000,0.00000000,nan,0.000000,143.61
