epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.872528,0.158605,1.767779,0.250533,,,0,0.00250000,0.00000000,0.008963,0.000000,352.51
2,1.407093,0.384506,1.184026,0.506297,,,0,0.00500000,0.00000000,0.032560,0.000000,341.20
3,0.898589,0.569505,0.952550,0.579054,,,0,0.00499470,0.00000000,0.037304,0.000000,338.50
4,0.725864,0.615143,0.863302,0.603081,,,0,0.00497883,0.00000000,0.033249,0.000000,335.71
5,0.641276,0.639838,0.811518,0.619841,,,0,0.00495244,0.00000000,0.030490,0.000000,341.28
6,0.594774,0.653259,0.775244,0.628657,,,0,0.00491567,0.00000000,0.028518,0.000000,347.72
7,0.551498,0.670519,0.748160,0.637473,,,0,0.00486865,0.00000000,0.027154,0.000000,346.21
8,0.521337,0.680103,0.728129,0.642899,,,0,0.00481160,0.00000000,0.026015,0.000000,345.43
9,0.506382,0.686715,0.710126,0.647840,,,0,0.00474476,0.00000000,0.024887,0.000000,340.29
10,0.492841,0.694314,0.696725,0.653652,,,0,0.00466841,0.00000000,0.024200,0.000000,343.54
11,0.459761,0.704677,0.684692,0.657818,,,0,0.00458289,0.00000000,0.023428,0.000000,339.80
12,0.442109,0.715445,0.674936,0.662081,,,0,0.00448855,0.00000000,0.022976,0.000000,333.56
13,0.431343,0.719678,0.665785,0.663244,,,0,0.00438580,0.00000000,0.022329,0.000000,331.67
14,0.426273,0.723537,0.658482,0.665472,,,0,0.00427509,0.00000000,0.021815,0.000000,336.91
15,0.420945,0.726761,0.652406,0.668088,,,0,0.00415688,0.00000000,0.021380,0.000000,337.22
16,0.404434,0.734942,0.647049,0.670413,,,0,0.00403168,0.00000000,0.021040,0.000000,334.17
17,0.411631,0.731126,0.641782,0.671672,,,0,0.00390004,0.00000000,0.020579,0.000000,335.44
18,0.393860,0.742475,0.637501,0.673028,,,0,0.00376250,0.00000000,0.020300,0.000000,340.56
19,0.401784,0.738527,0.632631,0.675547,,,0,0.00361966,0.00000000,0.019936,0.000000,336.67
20,0.383139,0.748067,0.629905,0.675935,,,0,0.00347214,0.00000000,nan,0.000000,330.72
21,0.375917,0.751291,0.626288,0.675741,,,0,0.00332056,0.00000000,0.019341,0.000000,334.91
22,0.384748,0.748769,0.624482,0.676226,,,0,0.00316558,0.00000000,0.019171,0.000000,333.46
23,0.382691,0.751203,0.621747,0.679132,,,0,0.00300785,0.00000000,nan,0.000000,333.33
24,0.363509,0.757574,0.619344,0.680101,,,0,0.00284805,0.00000000,0.018818,0.000000,336.32
25,0.360997,0.761379,0.617246,0.679907,,,0,0.00268687,0.00000000,0.018594,0.000000,335.42
26,0.366590,0.759603,0.614939,0.680682,,,0,0.00252500,0.00000000,nan,0.000000,324.88
27,0.366703,0.761237,0.613598,0.681166,,,0,0.00236313,0.00000000,0.018374,0.000000,332.77
28,0.369796,0.763737,0.612251,0.681263,,,0,0.00220195,0.00000000,0.018412,0.000000,329.85
29,0.354997,0.769658,0.610313,0.681360,,,0,0.00204215,0.00000000,nan,0.000000,330.36
30,0.351208,0.767586,0.609457,0.680295,,,0,0.00188442,0.00000000,0.017840,0.000000,334.44
31,0.353510,0.768354,0.608141,0.681845,,,0,0.00172944,0.00000000,0.017780,0.000000,333.18
32,0.344532,0.775722,0.606280,0.683298,,,0,0.00157786,0.00000000,nan,0.000000,333.48
33,0.363042,0.766369,0.605657,0.684267,,,0,0.00143034,0.00000000,0.017632,0.000000,331.74
34,0.350622,0.771676,0.604913,0.682813,,,0,0.00128750,0.00000000,0.017618,0.000000,342.98
35,0.355493,0.771873,0.604456,0.683104,,,0,0.00114996,0.00000000,nan,0.000000,335.27
36,0.345448,0.774889,0.603370,0.685235,,,0,0.00101832,0.00000000,0.017460,0.000000,314.67
37,0.344193,0.775339,0.602940,0.685817,,,0,0.00089312,0.00000000,0.017374,0.000000,313.48
38,0.345813,0.776896,0.602351,0.684945,,,0,0.00077491,0.00000000,nan,0.000000,313.70
39,0.343017,0.777214,0.602112,0.684267,,,0,0.00066420,0.00000000,0.017250,0.000000,314.88
40,0.332602,0.778562,0.601730,0.686398,,,0,0.00056145,0.00000000,0.017203,0.000000,315.46
41,0.354041,0.774406,0.601311,0.686495,,,0,0.00046711,0.00000000,nan,0.000000,321.03
42,0.345509,0.778606,0.601281,0.685817,,,0,0.00038159,0.00000000,0.017219,0.000000,314.32
43,0.343243,0.776709,0.601102,0.685720,,,0,0.00030524,0.00000000,0.017113,0.000000,312.68
44,0.361659,0.773420,0.600786,0.685914,,,0,0.00023840,0.00000000,0.017259,0.000000,312.04
45,0.336606,0.780942,0.600721,0.685623,,,0,0.00018135,0.00000000,nan,0.000000,313.68
46,0.335299,0.780876,0.600638,0.685720,,,0,0.00013433,0.00000000,0.016988,0.000000,312.71
47,0.337191,0.781457,0.600573,0.685526,,,0,0.00009756,0.00000000,0.017029,0.000000,320.84
48,0.330521,0.782576,0.600551,0.685429,,,0,0.00007117,0.00000000,nan,0.000000,320.91
49,0.339978,0.778332,0.600509,0.685914,,,0,0.00005530,0.00000000,0.017042,0.000000,314.99
50,0.333612,0.782949,0.600479,0.686010,,,0,0.00005000,0.00000000,0.017096,0.000000,311.43
