epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.876317,0.160019,1.779346,0.223213,,,0,0.00250000,0.00000000,0.007998,0.000000,163.33
2,1.452395,0.392656,1.203577,0.495350,,,0,0.00500000,0.00000000,0.028478,0.000000,142.19
3,0.983909,0.619318,0.958996,0.585739,,,0,0.00499470,0.00000000,0.034984,0.000000,146.68
4,0.804184,0.680773,0.864253,0.610056,,,0,0.00497883,0.00000000,0.033401,0.000000,141.82
5,0.713478,0.712222,0.809334,0.625557,,,0,0.00495244,0.00000000,0.031925,0.000000,140.91
6,0.654799,0.733152,0.772670,0.635342,,,0,0.00491567,0.00000000,0.030625,0.000000,147.31
7,0.614521,0.746991,0.747236,0.641736,,,0,0.00486865,0.00000000,0.029733,0.000000,146.71
8,0.580231,0.761037,0.726290,0.647549,,,0,0.00481160,0.00000000,0.028891,0.000000,146.46
9,0.553829,0.770211,0.709808,0.652393,,,0,0.00474476,0.00000000,0.028176,0.000000,144.13
10,0.538943,0.775301,0.696031,0.657334,,,0,0.00466841,0.00000000,0.027513,0.000000,143.26
11,0.521996,0.783906,0.684616,0.660725,,,0,0.00458289,0.00000000,0.026955,0.000000,149.31
12,0.499504,0.791989,0.675277,0.663631,,,0,0.00448855,0.00000000,0.026386,0.000000,146.22
13,0.474657,0.802351,0.667119,0.666053,,,0,0.00438580,0.00000000,0.025911,0.000000,148.92
14,0.461690,0.808302,0.660161,0.667022,,,0,0.00427509,0.00000000,0.025562,0.000000,149.61
15,0.455049,0.810725,0.653881,0.670413,,,0,0.00415688,0.00000000,0.025055,0.000000,152.87
16,0.450111,0.811974,0.648311,0.670316,,,0,0.00403168,0.00000000,0.024662,0.000000,150.88
17,0.437528,0.818481,0.642236,0.673997,,,0,0.00390004,0.00000000,0.024409,0.000000,153.32
18,0.432504,0.821935,0.638581,0.676419,,,0,0.00376250,0.00000000,0.024069,0.000000,186.34
19,0.430802,0.823341,0.635580,0.676419,,,0,0.00361966,0.00000000,0.023702,0.000000,134.27
20,0.411555,0.831219,0.632453,0.677291,,,0,0.00347214,0.00000000,0.023451,0.000000,143.60
21,0.417972,0.828977,0.629124,0.677969,,,0,0.00332056,0.00000000,0.023173,0.000000,143.11
22,0.413747,0.829740,0.626685,0.679519,,,0,0.00316558,0.00000000,nan,0.000000,143.96
23,0.404767,0.835848,0.623699,0.679326,,,0,0.00300785,0.00000000,0.022788,0.000000,148.84
24,0.398163,0.838696,0.621479,0.680585,,,0,0.00284805,0.00000000,0.022415,0.000000,149.24
25,0.394711,0.838817,0.620381,0.681941,,,0,0.00268687,0.00000000,0.022278,0.000000,165.09
26,0.388378,0.842659,0.618308,0.681748,,,0,0.00252500,0.00000000,nan,0.000000,153.72
27,0.384221,0.843216,0.616652,0.682232,,,0,0.00236313,0.00000000,0.021895,0.000000,148.81
28,0.388497,0.841871,0.614969,0.683588,,,0,0.00220195,0.00000000,0.021809,0.000000,138.35
29,0.387331,0.843834,0.613706,0.683685,,,0,0.00204215,0.00000000,nan,0.000000,143.63
30,0.377933,0.846719,0.612540,0.684073,,,0,0.00188442,0.00000000,0.021480,0.000000,139.49
31,0.364118,0.853021,0.611464,0.684170,,,0,0.00172944,0.00000000,0.021343,0.000000,137.65
32,0.361155,0.854014,0.610417,0.684267,,,0,0.00157786,0.00000000,0.021270,0.000000,136.45
33,0.364201,0.853142,0.609520,0.683395,,,0,0.00143034,0.00000000,nan,0.000000,143.47
34,0.367547,0.850609,0.608726,0.684267,,,0,0.00128750,0.00000000,0.021007,0.000000,137.11
35,0.361808,0.854754,0.607725,0.684170,,,0,0.00114996,0.00000000,0.020975,0.000000,152.97
36,0.363809,0.854075,0.607424,0.685042,,,0,0.00101832,0.00000000,nan,0.000000,149.29
37,0.369909,0.849203,0.606967,0.685623,,,0,0.00089312,0.00000000,0.020777,0.000000,144.06
38,0.356982,0.857808,0.606576,0.684654,,,0,0.00077491,0.00000000,0.020799,0.000000,146.84
39,0.376346,0.848985,0.606283,0.685817,,,0,0.00066420,0.00000000,0.020718,0.000000,148.40
40,0.361639,0.856147,0.605983,0.685235,,,0,0.00056145,0.00000000,nan,0.000000,141.20
41,0.345942,0.862292,0.605626,0.685429,,,0,0.00046711,0.00000000,0.020633,0.000000,138.93
42,0.369960,0.850815,0.605476,0.685332,,,0,0.00038159,0.00000000,0.020583,0.000000,139.79
43,0.373175,0.849736,0.605304,0.685623,,,0,0.00030524,0.00000000,nan,0.000000,139.91
44,0.354653,0.858014,0.605209,0.686010,,,0,0.00023840,0.00000000,0.020510,0.000000,138.78
45,0.357065,0.856838,0.605090,0.686107,,,0,0.00018135,0.00000000,0.020369,0.000000,139.73
46,0.355667,0.856475,0.605011,0.686010,,,0,0.00013433,0.00000000,nan,0.000000,141.67
47,0.355628,0.858074,0.604977,0.685914,,,0,0.00009756,0.00000000,0.020499,0.000000,143.20
48,0.367397,0.851603,0.604922,0.685914,,,0,0.00007117,0.00000000,0.020474,0.000000,145.98
49,0.362335,0.856305,0.604899,0.686010,,,0,0.00005530,0.00000000,0.020470,0.000000,144.22
50,0.353462,0.860704,0.604880,0.686010,,,0,0.00005000,0.00000000,nan,0.000000,149.08
