epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.874787,0.142654,1.767535,0.223309,,,0,0.00250000,0.00000000,0.008133,0.000000,267.89
2,1.464372,0.375061,1.191022,0.499709,,,0,0.00500000,0.00000000,0.028133,0.000000,364.14
3,1.031427,0.577225,0.949583,0.586030,,,0,0.00499470,0.00000000,0.034143,0.000000,347.58
4,0.873547,0.629152,0.855914,0.614706,,,0,0.00497883,0.00000000,0.032787,0.000000,355.09
5,0.784746,0.660991,0.802694,0.629045,,,0,0.00495244,0.00000000,0.031553,0.000000,409.89
6,0.731225,0.680458,0.766002,0.637667,,,0,0.00491567,0.00000000,0.030437,0.000000,379.08
7,0.701465,0.690657,0.739458,0.648421,,,0,0.00486865,0.00000000,0.029509,0.000000,398.26
8,0.668681,0.704159,0.720077,0.647840,,,0,0.00481160,0.00000000,0.028788,0.000000,382.18
9,0.641577,0.714259,0.703063,0.658206,,,0,0.00474476,0.00000000,0.028279,0.000000,357.11
10,0.621167,0.722751,0.688792,0.662953,,,0,0.00466841,0.00000000,0.027686,0.000000,366.65
11,0.609911,0.728083,0.677916,0.666441,,,0,0.00458289,0.00000000,0.027162,0.000000,366.37
12,0.587465,0.738116,0.668099,0.669831,,,0,0.00448855,0.00000000,0.026805,0.000000,352.35
13,0.582774,0.741397,0.659593,0.671866,,,0,0.00438580,0.00000000,0.026342,0.000000,377.01
14,0.567298,0.748470,0.651949,0.675644,,,0,0.00427509,0.00000000,0.025997,0.000000,365.45
15,0.556029,0.752638,0.646805,0.675354,,,0,0.00415688,0.00000000,0.025693,0.000000,333.84
16,0.544186,0.759534,0.640882,0.679035,,,0,0.00403168,0.00000000,0.025475,0.000000,390.82
17,0.546165,0.757040,0.636415,0.677485,,,0,0.00390004,0.00000000,0.025147,0.000000,383.16
18,0.531587,0.764866,0.631628,0.681748,,,0,0.00376250,0.00000000,0.024889,0.000000,383.87
19,0.524242,0.766562,0.627121,0.683879,,,0,0.00361966,0.00000000,0.024561,0.000000,344.67
20,0.517904,0.770287,0.624523,0.684751,,,0,0.00347214,0.00000000,0.024374,0.000000,367.34
21,0.506665,0.775498,0.621090,0.685623,,,0,0.00332056,0.00000000,nan,0.000000,385.38
22,0.501232,0.779212,0.618272,0.685623,,,0,0.00316558,0.00000000,0.023954,0.000000,416.91
23,0.492191,0.783125,0.616605,0.685526,,,0,0.00300785,0.00000000,0.023829,0.000000,385.51
24,0.487607,0.785143,0.613554,0.685817,,,0,0.00284805,0.00000000,nan,0.000000,368.25
25,0.489042,0.784256,0.611207,0.688529,,,0,0.00268687,0.00000000,0.023500,0.000000,349.82
26,0.479984,0.790342,0.609746,0.687657,,,0,0.00252500,0.00000000,0.023354,0.000000,162.97
27,0.482014,0.789222,0.607553,0.690176,,,0,0.00236313,0.00000000,nan,0.000000,176.54
28,0.486511,0.787471,0.606093,0.691242,,,0,0.00220195,0.00000000,0.023032,0.000000,179.02
29,0.469578,0.795042,0.604482,0.690467,,,0,0.00204215,0.00000000,0.022980,0.000000,170.95
30,0.469788,0.796140,0.604174,0.690564,,,0,0.00188442,0.00000000,nan,0.000000,171.54
31,0.473700,0.794943,0.602265,0.692211,,,0,0.00172944,0.00000000,0.022744,0.000000,174.04
32,0.459987,0.800763,0.601372,0.690758,,,0,0.00157786,0.00000000,0.022596,0.000000,167.67
33,0.469476,0.796916,0.600094,0.692017,,,0,0.00143034,0.00000000,nan,0.000000,172.43
34,0.463938,0.798568,0.599521,0.691920,,,0,0.00128750,0.00000000,0.022395,0.000000,174.72
35,0.472032,0.796816,0.598742,0.692889,,,0,0.00114996,0.00000000,0.022382,0.000000,173.63
36,0.450479,0.805009,0.598258,0.692889,,,0,0.00101832,0.00000000,nan,0.000000,174.50
37,0.460970,0.801505,0.597772,0.692598,,,0,0.00089312,0.00000000,0.022291,0.000000,173.63
38,0.452249,0.805452,0.597092,0.693858,,,0,0.00077491,0.00000000,0.022232,0.000000,169.99
39,0.468329,0.799488,0.596786,0.693083,,,0,0.00066420,0.00000000,nan,0.000000,175.06
40,0.456820,0.803423,0.596379,0.693567,,,0,0.00056145,0.00000000,0.022091,0.000000,175.34
41,0.458222,0.801871,0.596053,0.693470,,,0,0.00046711,0.00000000,0.022033,0.000000,173.53
42,0.449806,0.805751,0.595845,0.693083,,,0,0.00038159,0.00000000,0.022032,0.000000,175.56
43,0.446049,0.807093,0.595716,0.693955,,,0,0.00030524,0.00000000,nan,0.000000,173.15
44,0.452699,0.805785,0.595576,0.693567,,,0,0.00023840,0.00000000,0.021970,0.000000,176.72
45,0.459421,0.802004,0.595492,0.693761,,,0,0.00018135,0.00000000,0.021898,0.000000,176.45
46,0.450670,0.807547,0.595412,0.693470,,,0,0.00013433,0.00000000,nan,0.000000,176.03
47,0.453792,0.805286,0.595370,0.693664,,,0,0.00009756,0.00000000,0.021878,0.000000,176.30
48,0.452332,0.806128,0.595346,0.693955,,,0,0.00007117,0.00000000,0.021868,0.000000,283.50
49,0.440228,0.809776,0.595296,0.693761,,,0,0.00005530,0.00000000,nan,0.000000,370.74
50,0.452839,0.806450,0.595293,0.693567,,,0,0.00005000,0.00000000,0.021922,0.000000,401.08
