epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.874786,0.149460,1.764705,0.241039,,,0,0.00250000,0.00000000,0.008111,0.000000,352.74
2,1.463034,0.373957,1.186058,0.497384,,,0,0.00500000,0.00000000,0.028138,0.000000,318.72
3,1.034090,0.571172,0.948310,0.583317,,,0,0.00499470,0.00000000,0.034164,0.000000,318.81
4,0.877080,0.626931,0.855532,0.611606,,,0,0.00497883,0.00000000,0.032718,0.000000,316.66
5,0.795042,0.654959,0.802343,0.630207,,,0,0.00495244,0.00000000,0.031372,0.000000,313.82
6,0.749309,0.670377,0.766141,0.637764,,,0,0.00491567,0.00000000,0.030325,0.000000,318.18
7,0.703416,0.688525,0.739085,0.646289,,,0,0.00486865,0.00000000,0.029582,0.000000,311.23
8,0.675411,0.698733,0.719924,0.649971,,,0,0.00481160,0.00000000,0.028854,0.000000,320.62
9,0.660057,0.704721,0.702780,0.655687,,,0,0.00474476,0.00000000,0.028152,0.000000,317.62
10,0.641637,0.713076,0.689711,0.661403,,,0,0.00466841,0.00000000,0.027667,0.000000,312.67
11,0.614380,0.724075,0.677061,0.667119,,,0,0.00458289,0.00000000,0.027291,0.000000,318.95
12,0.590066,0.735062,0.667794,0.669347,,,0,0.00448855,0.00000000,0.026933,0.000000,406.13
13,0.580998,0.739251,0.659530,0.672157,,,0,0.00438580,0.00000000,0.026467,0.000000,336.02
14,0.573490,0.742256,0.652348,0.673804,,,0,0.00427509,0.00000000,0.026074,0.000000,314.39
15,0.565941,0.745512,0.646616,0.676129,,,0,0.00415688,0.00000000,0.025758,0.000000,318.30
16,0.549428,0.754515,0.640663,0.678357,,,0,0.00403168,0.00000000,0.025558,0.000000,311.67
17,0.558775,0.749811,0.635799,0.677582,,,0,0.00390004,0.00000000,0.025228,0.000000,311.03
18,0.533786,0.761621,0.631441,0.680004,,,0,0.00376250,0.00000000,0.024894,0.000000,312.92
19,0.542908,0.758276,0.627106,0.681845,,,0,0.00361966,0.00000000,0.024620,0.000000,309.83
20,0.524804,0.767750,0.624149,0.681360,,,0,0.00347214,0.00000000,nan,0.000000,310.79
21,0.517565,0.770766,0.620051,0.684267,,,0,0.00332056,0.00000000,0.024217,0.000000,319.18
22,0.520809,0.767860,0.618387,0.684460,,,0,0.00316558,0.00000000,0.024011,0.000000,316.18
23,0.519249,0.770492,0.615815,0.685139,,,0,0.00300785,0.00000000,nan,0.000000,342.89
24,0.500836,0.777444,0.613178,0.686979,,,0,0.00284805,0.00000000,0.023723,0.000000,335.14
25,0.495187,0.781063,0.610788,0.688917,,,0,0.00268687,0.00000000,0.023583,0.000000,392.87
26,0.501489,0.778848,0.608930,0.689886,,,0,0.00252500,0.00000000,nan,0.000000,318.20
27,0.497237,0.780712,0.607115,0.689111,,,0,0.00236313,0.00000000,0.023222,0.000000,315.17
28,0.495249,0.783354,0.605697,0.690273,,,0,0.00220195,0.00000000,0.023167,0.000000,310.39
29,0.483783,0.789199,0.604097,0.691145,,,0,0.00204215,0.00000000,nan,0.000000,312.49
30,0.484974,0.786699,0.603050,0.690370,,,0,0.00188442,0.00000000,0.022868,0.000000,312.85
31,0.482454,0.788157,0.601844,0.692017,,,0,0.00172944,0.00000000,0.022768,0.000000,311.40
32,0.469802,0.794824,0.600109,0.691920,,,0,0.00157786,0.00000000,nan,0.000000,311.43
33,0.489673,0.785712,0.599650,0.690951,,,0,0.00143034,0.00000000,0.022556,0.000000,313.66
34,0.478559,0.790438,0.598781,0.691630,,,0,0.00128750,0.00000000,0.022558,0.000000,324.54
35,0.481533,0.790372,0.598250,0.693180,,,0,0.00114996,0.00000000,nan,0.000000,316.27
36,0.472112,0.794221,0.597264,0.693373,,,0,0.00101832,0.00000000,0.022413,0.000000,313.04
37,0.471688,0.794057,0.596823,0.693276,,,0,0.00089312,0.00000000,0.022376,0.000000,316.19
38,0.470772,0.795943,0.596209,0.692695,,,0,0.00077491,0.00000000,0.022259,0.000000,311.86
39,0.469174,0.796041,0.595922,0.692889,,,0,0.00066420,0.00000000,nan,0.000000,308.02
40,0.460556,0.797840,0.595516,0.694730,,,0,0.00056145,0.00000000,0.022247,0.000000,316.71
41,0.476409,0.792993,0.595233,0.693470,,,0,0.00046711,0.00000000,0.022204,0.000000,314.79
42,0.469625,0.797302,0.595180,0.693955,,,0,0.00038159,0.00000000,nan,0.000000,310.74
43,0.468462,0.795548,0.594999,0.694052,,,0,0.00030524,0.00000000,0.022175,0.000000,311.82
44,0.480955,0.791721,0.594796,0.693664,,,0,0.00023840,0.00000000,0.022076,0.000000,310.15
45,0.461792,0.800121,0.594711,0.694148,,,0,0.00018135,0.00000000,nan,0.000000,311.43
46,0.461054,0.799934,0.594614,0.694342,,,0,0.00013433,0.00000000,0.022027,0.000000,353.40
47,0.459928,0.800296,0.594550,0.694439,,,0,0.00009756,0.00000000,0.022009,0.000000,317.01
48,0.454770,0.802215,0.594519,0.694148,,,0,0.00007117,0.00000000,nan,0.000000,311.66
49,0.465037,0.797708,0.594477,0.694052,,,0,0.00005530,0.00000000,0.022062,0.000000,309.66
50,0.456421,0.802215,0.594461,0.694148,,,0,0.00005000,0.00000000,0.022049,0.000000,308.85
