epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.873828,0.150375,1.772154,0.224375,,,0,0.00250000,0.00000000,0.008145,0.000000,128.35
2,1.440876,0.391544,1.194669,0.495059,,,0,0.00500000,0.00000000,0.028872,0.000000,134.33
3,0.977170,0.613159,0.952978,0.580895,,,0,0.00499470,0.00000000,0.035381,0.000000,138.12
4,0.809585,0.669134,0.859434,0.612381,,,0,0.00497883,0.00000000,0.033883,0.000000,136.29
5,0.716241,0.702267,0.805757,0.625945,,,0,0.00495244,0.00000000,0.032638,0.000000,137.78
6,0.664183,0.718921,0.769898,0.638345,,,0,0.00491567,0.00000000,0.031568,0.000000,136.69
7,0.622859,0.732617,0.743270,0.645999,,,0,0.00486865,0.00000000,0.030695,0.000000,138.91
8,0.579417,0.751512,0.723027,0.652296,,,0,0.00481160,0.00000000,0.030024,0.000000,138.71
9,0.563899,0.757040,0.705260,0.657043,,,0,0.00474476,0.00000000,0.029329,0.000000,138.74
10,0.544110,0.764159,0.692739,0.661306,,,0,0.00466841,0.00000000,0.028739,0.000000,140.85
11,0.526770,0.773235,0.681866,0.663244,,,0,0.00458289,0.00000000,0.028186,0.000000,134.11
12,0.499960,0.784821,0.672045,0.667894,,,0,0.00448855,0.00000000,0.027775,0.000000,141.19
13,0.492316,0.788722,0.663484,0.670994,,,0,0.00438580,0.00000000,0.027440,0.000000,147.40
14,0.489560,0.788876,0.656459,0.670316,,,0,0.00427509,0.00000000,0.026972,0.000000,149.82
15,0.468510,0.799955,0.650363,0.674966,,,0,0.00415688,0.00000000,0.026731,0.000000,145.87
16,0.462272,0.804163,0.644624,0.675063,,,0,0.00403168,0.00000000,0.026467,0.000000,148.61
17,0.451562,0.807180,0.639747,0.676710,,,0,0.00390004,0.00000000,0.026127,0.000000,148.14
18,0.429823,0.818366,0.635374,0.678163,,,0,0.00376250,0.00000000,0.025903,0.000000,148.11
19,0.433354,0.815478,0.630411,0.681166,,,0,0.00361966,0.00000000,0.025598,0.000000,148.07
20,0.428524,0.817848,0.627725,0.681070,,,0,0.00347214,0.00000000,0.025356,0.000000,149.93
21,0.429198,0.819368,0.624567,0.681748,,,0,0.00332056,0.00000000,0.025161,0.000000,150.19
22,0.408462,0.827135,0.622039,0.680682,,,0,0.00316558,0.00000000,nan,0.000000,153.32
23,0.392531,0.835869,0.618498,0.684363,,,0,0.00300785,0.00000000,0.024748,0.000000,152.91
24,0.395997,0.833736,0.616545,0.684848,,,0,0.00284805,0.00000000,0.024550,0.000000,151.79
25,0.395959,0.833842,0.614408,0.685623,,,0,0.00268687,0.00000000,nan,0.000000,154.36
26,0.392191,0.835386,0.613205,0.685042,,,0,0.00252500,0.00000000,0.024270,0.000000,154.22
27,0.381779,0.841845,0.610880,0.687561,,,0,0.00236313,0.00000000,0.024181,0.000000,151.50
28,0.393529,0.836235,0.609438,0.687851,,,0,0.00220195,0.00000000,nan,0.000000,149.35
29,0.387979,0.837307,0.607704,0.689498,,,0,0.00204215,0.00000000,0.023841,0.000000,145.85
30,0.377248,0.843908,0.605952,0.690273,,,0,0.00188442,0.00000000,0.023689,0.000000,147.62
31,0.390426,0.839535,0.605329,0.689595,,,0,0.00172944,0.00000000,nan,0.000000,150.76
32,0.367037,0.848870,0.604298,0.691242,,,0,0.00157786,0.00000000,0.023538,0.000000,157.58
33,0.371847,0.847350,0.603152,0.691533,,,0,0.00143034,0.00000000,0.023414,0.000000,155.59
34,0.378320,0.843330,0.602785,0.689886,,,0,0.00128750,0.00000000,nan,0.000000,148.12
35,0.375451,0.846041,0.601847,0.691726,,,0,0.00114996,0.00000000,0.023298,0.000000,152.08
36,0.366428,0.849271,0.601240,0.690951,,,0,0.00101832,0.00000000,0.023184,0.000000,152.85
37,0.353368,0.855777,0.600741,0.691823,,,0,0.00089312,0.00000000,0.023137,0.000000,153.75
38,0.370512,0.848293,0.600315,0.691339,,,0,0.00077491,0.00000000,nan,0.000000,151.86
39,0.367962,0.849259,0.599802,0.692308,,,0,0.00066420,0.00000000,0.023012,0.000000,153.51
40,0.366847,0.851640,0.599385,0.692695,,,0,0.00056145,0.00000000,0.023032,0.000000,155.29
41,0.357687,0.855353,0.599160,0.692598,,,0,0.00046711,0.00000000,0.023021,0.000000,151.62
42,0.363388,0.852135,0.598934,0.692889,,,0,0.00038159,0.00000000,nan,0.000000,149.19
43,0.365160,0.851864,0.598828,0.693276,,,0,0.00030524,0.00000000,0.022871,0.000000,158.38
44,0.340987,0.861458,0.598597,0.692792,,,0,0.00023840,0.00000000,0.022864,0.000000,153.22
45,0.367928,0.849719,0.598512,0.692501,,,0,0.00018135,0.00000000,nan,0.000000,148.91
46,0.360578,0.852630,0.598416,0.692598,,,0,0.00013433,0.00000000,0.022843,0.000000,149.09
47,0.370302,0.847916,0.598338,0.692986,,,0,0.00009756,0.00000000,0.022830,0.000000,147.53
48,0.364365,0.852996,0.598286,0.692986,,,0,0.00007117,0.00000000,nan,0.000000,150.36
49,0.351136,0.857640,0.598251,0.693083,,,0,0.00005530,0.00000000,0.022805,0.000000,151.57
50,0.364143,0.852336,0.598237,0.693180,,,0,0.00005000,0.00000000,0.022785,0.000000,149.60
