epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.872261,0.146971,1.762713,0.241039,,,0,0.00250000,0.00000000,0.008513,0.000000,139.47
2,1.433796,0.375711,1.182725,0.500291,,,0,0.00500000,0.00000000,0.029926,0.000000,144.98
3,0.977365,0.572444,0.945897,0.586514,,,0,0.00499470,0.00000000,0.036278,0.000000,156.68
4,0.811044,0.626723,0.853923,0.612381,,,0,0.00497883,0.00000000,0.034671,0.000000,152.48
5,0.724241,0.654422,0.801251,0.629529,,,0,0.00495244,0.00000000,0.033207,0.000000,145.53
6,0.676606,0.669806,0.765413,0.638055,,,0,0.00491567,0.00000000,0.032063,0.000000,146.04
7,0.629627,0.687878,0.738548,0.646774,,,0,0.00486865,0.00000000,0.031243,0.000000,145.85
8,0.597330,0.697549,0.719566,0.649874,,,0,0.00481160,0.00000000,0.030521,0.000000,145.96
9,0.580594,0.703756,0.702583,0.654621,,,0,0.00474476,0.00000000,0.029773,0.000000,146.80
10,0.563274,0.711815,0.689965,0.661403,,,0,0.00466841,0.00000000,0.029204,0.000000,146.97
11,0.530992,0.722901,0.677620,0.666441,,,0,0.00458289,0.00000000,0.028864,0.000000,147.35
12,0.508412,0.733845,0.668613,0.668863,,,0,0.00448855,0.00000000,0.028425,0.000000,145.44
13,0.496863,0.738045,0.660358,0.670897,,,0,0.00438580,0.00000000,0.027962,0.000000,145.50
14,0.488913,0.741038,0.653151,0.672544,,,0,0.00427509,0.00000000,0.027547,0.000000,149.02
15,0.480666,0.744043,0.647436,0.675160,,,0,0.00415688,0.00000000,0.027216,0.000000,148.27
16,0.463089,0.753386,0.641417,0.678648,,,0,0.00403168,0.00000000,0.026996,0.000000,144.38
17,0.470633,0.748550,0.636661,0.677001,,,0,0.00390004,0.00000000,0.026672,0.000000,144.31
18,0.448623,0.760393,0.632354,0.679907,,,0,0.00376250,0.00000000,0.026258,0.000000,147.00
19,0.455314,0.756829,0.628044,0.681360,,,0,0.00361966,0.00000000,0.025995,0.000000,144.78
20,0.436886,0.766149,0.625214,0.680101,,,0,0.00347214,0.00000000,nan,0.000000,144.70
21,0.427923,0.769242,0.621109,0.683007,,,0,0.00332056,0.00000000,0.025557,0.000000,146.33
22,0.433304,0.766665,0.619559,0.683298,,,0,0.00316558,0.00000000,0.025309,0.000000,146.38
23,0.431066,0.768847,0.617001,0.683976,,,0,0.00300785,0.00000000,nan,0.000000,145.83
24,0.410388,0.775744,0.614465,0.684751,,,0,0.00284805,0.00000000,0.025038,0.000000,145.27
25,0.407092,0.779473,0.612088,0.687464,,,0,0.00268687,0.00000000,0.024834,0.000000,146.61
26,0.410961,0.777192,0.610196,0.688239,,,0,0.00252500,0.00000000,nan,0.000000,144.42
27,0.409308,0.779319,0.608448,0.688529,,,0,0.00236313,0.00000000,0.024441,0.000000,145.93
28,0.409019,0.782126,0.607024,0.689692,,,0,0.00220195,0.00000000,0.024352,0.000000,147.03
29,0.395485,0.787565,0.605492,0.690176,,,0,0.00204215,0.00000000,nan,0.000000,145.72
30,0.392454,0.785109,0.604446,0.689401,,,0,0.00188442,0.00000000,0.024123,0.000000,147.51
31,0.392590,0.786480,0.603231,0.690854,,,0,0.00172944,0.00000000,0.023965,0.000000,145.91
32,0.381108,0.793443,0.601503,0.691533,,,0,0.00157786,0.00000000,nan,0.000000,145.87
33,0.400751,0.783881,0.601069,0.690176,,,0,0.00143034,0.00000000,0.023724,0.000000,147.08
34,0.387200,0.788706,0.600193,0.691242,,,0,0.00128750,0.00000000,0.023751,0.000000,145.15
35,0.392613,0.788760,0.599610,0.691920,,,0,0.00114996,0.00000000,nan,0.000000,145.61
36,0.381245,0.792401,0.598622,0.692114,,,0,0.00101832,0.00000000,0.023582,0.000000,146.58
37,0.380274,0.792346,0.598196,0.692501,,,0,0.00089312,0.00000000,0.023552,0.000000,145.14
38,0.381308,0.794079,0.597569,0.692986,,,0,0.00077491,0.00000000,nan,0.000000,145.56
39,0.378006,0.794090,0.597274,0.692017,,,0,0.00066420,0.00000000,0.023401,0.000000,146.61
40,0.367968,0.795987,0.596866,0.692986,,,0,0.00056145,0.00000000,0.023422,0.000000,147.32
41,0.388430,0.791118,0.596557,0.692501,,,0,0.00046711,0.00000000,nan,0.000000,147.58
42,0.379715,0.795526,0.596513,0.692598,,,0,0.00038159,0.00000000,0.023299,0.000000,145.56
43,0.378440,0.793826,0.596323,0.693276,,,0,0.00030524,0.00000000,nan,0.000000,147.57
44,0.378817,0.796316,0.596144,0.693664,,,0,0.00023840,0.00000000,0.023178,0.000000,156.57
45,0.373340,0.798267,0.596027,0.693567,,,0,0.00018135,0.00000000,0.023188,0.000000,171.06
46,0.372466,0.796009,0.595914,0.693567,,,0,0.00013433,0.00000000,nan,0.000000,173.81
47,0.377477,0.794857,0.595867,0.693373,,,0,0.00009756,0.00000000,0.023159,0.000000,175.77
48,0.373195,0.797708,0.595829,0.693083,,,0,0.00007117,0.00000000,0.023136,0.000000,177.51
49,0.380294,0.794978,0.595795,0.693373,,,0,0.00005530,0.00000000,nan,0.000000,178.38
50,0.370709,0.799792,0.595781,0.693373,,,0,0.00005000,0.00000000,0.023129,0.000000,181.56
