class_idx,n_samples,mean_weight,std_weight,p10,p50,p90
0,191,0.5999999642372131,0.20502495765686035,0.30315789580345154,0.5873684287071228,0.87578946352005
1,183,0.6000000238418579,0.21327543258666992,0.2782417833805084,0.6175824403762817,0.8852747082710266
2,190,0.6000000238418579,0.2001761645078659,0.29079365730285645,0.6507936716079712,0.8330158591270447
3,175,0.6000000238418579,0.2009585201740265,0.3135632276535034,0.6091954112052917,0.8666666746139526
4,185,0.6000000238418579,0.18771839141845703,0.30826088786125183,0.623913049697876,0.8308695554733276
5,184,0.6000000238418579,0.2110394835472107,0.2918032705783844,0.6153005957603455,0.8631693720817566
6,186,0.6000000834465027,0.219511017203331,0.29297298192977905,0.6086486577987671,0.8821622133255005
7,181,0.5999999642372131,0.21840235590934753,0.29555556178092957,0.6022222638130188,0.8799999952316284
8,191,0.5999999642372131,0.21144089102745056,0.31789475679397583,0.585263192653656,0.9073684215545654
9,183,0.6000000238418579,0.20752832293510437,0.2879121005535126,0.6087912321090698,0.8654945492744446
10,191,0.5999999642372131,0.21166957914829254,0.30105262994766235,0.6105263233184814,0.8947368860244751
11,185,0.6000000238418579,0.21930888295173645,0.28478261828422546,0.6173912882804871,0.8873911499977112
12,191,0.5999999642372131,0.22168783843517303,0.2800000011920929,0.6063157916069031,0.8947368860244751
13,152,0.6000000238418579,0.2099628895521164,0.29880794882774353,0.62649005651474,0.8776158690452576
14,183,0.6000000238418579,0.21746687591075897,0.29054945707321167,0.6307692527770996,0.8619780540466309
15,187,0.5999999642372131,0.20008254051208496,0.3036559224128723,0.6236559152603149,0.8430107235908508
16,186,0.6000000238418579,0.20879754424095154,0.3145945966243744,0.6000000238418579,0.8799999952316284
17,186,0.6000000238418579,0.1874641329050064,0.3081080913543701,0.6518918871879578,0.8183783292770386
18,184,0.6000000238418579,0.17364832758903503,0.3527868986129761,0.6240437626838684,0.8135519027709961
19,186,0.5999999642372131,0.21893790364265442,0.29297298192977905,0.6302703022956848,0.8756756782531738
20,182,0.6000000238418579,0.21939274668693542,0.29303866624832153,0.6176795363426208,0.9043093323707581
21,185,0.6000000238418579,0.20140397548675537,0.3213043510913849,0.613043487071991,0.8765217065811157
22,189,0.6000000238418579,0.2088627964258194,0.3017021417617798,0.6148936152458191,0.8838297724723816
23,182,0.5999999642372131,0.21006739139556885,0.2811049818992615,0.6353591084480286,0.8492816686630249
24,186,0.5999999642372131,0.1936599612236023,0.34594595432281494,0.6086487174034119,0.8540540933609009
25,184,0.5999999642372131,0.21369196474552155,0.29901638627052307,0.6327869296073914,0.8703824877738953
