class_idx,baseline_acc,tta_acc,delta
0,0.904762,0.904762,0.000000
1,0.666667,0.619048,-0.047619
2,0.761905,0.761905,0.000000
3,0.285714,0.285714,0.000000
4,0.952381,0.952381,0.000000
5,0.300000,0.300000,0.000000
6,0.761905,0.761905,0.000000
7,0.800000,0.800000,0.000000
8,0.952381,0.952381,0.000000
9,1.000000,1.000000,0.000000
10,0.904762,0.904762,0.000000
11,0.809524,0.904762,0.095238
12,0.904762,0.952381,0.047619
13,0.350000,0.400000,0.050000
14,0.636364,0.590909,-0.045455
15,0.904762,0.904762,0.000000
16,0.285714,0.285714,0.000000
17,0.809524,0.809524,0.000000
18,0.700000,0.650000,-0.050000
19,0.750000,0.750000,0.000000
20,0.850000,0.750000,-0.100000
21,0.285714,0.238095,-0.047619
22,0.772727,0.727273,-0.045455
23,0.428571,0.333333,-0.095238
24,0.857143,0.857143,0.000000
25,0.850000,0.900000,0.050000
26,0.619048,0.571429,-0.047619
27,0.380952,0.428571,0.047619
28,0.666667,0.761905,0.095238
29,0.809524,0.809524,0.000000
30,0.950000,0.950000,0.000000
31,0.857143,0.809524,-0.047619
32,0.857143,0.904762,0.047619
33,0.150000,0.150000,0.000000
34,0.904762,0.904762,0.000000
35,0.619048,0.619048,0.000000
36,0.550000,0.550000,0.000000
37,1.000000,1.000000,0.000000
38,0.428571,0.428571,0.000000
39,0.666667,0.714286,0.047619
40,0.619048,0.666667,0.047619
41,0.850000,0.950000,0.100000
42,0.400000,0.400000,0.000000
43,0.857143,0.857143,0.000000
44,0.571429,0.571429,0.000000
45,0.619048,0.619048,0.000000
46,0.952381,0.952381,0.000000
47,0.523810,0.476190,-0.047619
48,0.476190,0.476190,0.000000
49,0.400000,0.400000,0.000000
50,0.800000,0.800000,0.000000
51,0.333333,0.333333,0.000000
52,0.714286,0.714286,0.000000
53,0.750000,0.750000,0.000000
54,0.904762,0.857143,-0.047619
55,0.952381,0.904762,-0.047619
56,0.619048,0.714286,0.095238
57,0.476190,0.476190,0.000000
58,1.000000,1.000000,0.000000
59,0.571429,0.571429,0.000000
60,0.450000,0.400000,-0.050000
61,0.571429,0.571429,0.000000
62,0.850000,0.950000,0.100000
63,0.714286,0.714286,0.000000
64,0.857143,0.904762,0.047619
