epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.391590,0.138167,1.325112,0.190384,,,0,0.00250000,0.00000000,0.004009,0.000000,143.46
2,1.059139,0.358807,0.922703,0.490597,,,0,0.00500000,0.00000000,0.024625,0.000000,150.52
3,0.701776,0.558709,0.754482,0.578325,,,0,0.00499470,0.00000000,0.028393,0.000000,153.54
4,0.567593,0.611261,0.685030,0.599651,,,0,0.00497883,0.00000000,0.026419,0.000000,154.16
5,0.503433,0.636301,0.643838,0.616809,,,0,0.00495244,0.00000000,0.024689,0.000000,153.44
6,0.462977,0.652235,0.615499,0.625824,,,0,0.00491567,0.00000000,0.023419,0.000000,153.90
7,0.433447,0.666222,0.593422,0.636972,,,0,0.00486865,0.00000000,0.022509,0.000000,139.93
8,0.410829,0.676542,0.576755,0.643079,,,0,0.00481160,0.00000000,0.021698,0.000000,150.61
9,0.392609,0.686621,0.563041,0.647538,,,0,0.00474476,0.00000000,0.020954,0.000000,154.33
10,0.377156,0.695048,0.552550,0.652094,,,0,0.00466841,0.00000000,0.020542,0.000000,152.96
11,0.364151,0.702107,0.542428,0.655777,,,0,0.00458289,0.00000000,0.020006,0.000000,150.92
12,0.352758,0.709198,0.535386,0.659461,,,0,0.00448855,0.00000000,0.019493,0.000000,150.55
13,0.343165,0.715622,0.527790,0.661884,,,0,0.00438580,0.00000000,0.019187,0.000000,149.27
14,0.334407,0.720821,0.521554,0.663048,,,0,0.00427509,0.00000000,0.018763,0.000000,156.07
15,0.326385,0.726161,0.516162,0.668767,,,0,0.00415688,0.00000000,0.018427,0.000000,154.02
16,0.319275,0.730878,0.511529,0.671190,,,0,0.00403168,0.00000000,0.018140,0.000000,155.38
17,0.312820,0.735354,0.506383,0.672354,,,0,0.00390004,0.00000000,0.017862,0.000000,151.70
18,0.307125,0.739371,0.504566,0.670318,,,0,0.00376250,0.00000000,0.017599,0.000000,153.68
19,0.301845,0.742446,0.500137,0.674680,,,0,0.00361966,0.00000000,0.017295,0.000000,151.89
20,0.297105,0.746714,0.497044,0.675165,,,0,0.00347214,0.00000000,nan,0.000000,155.20
21,0.292668,0.749746,0.494434,0.677104,,,0,0.00332056,0.00000000,0.016965,0.000000,151.51
22,0.288566,0.752372,0.492066,0.678364,,,0,0.00316558,0.00000000,0.016696,0.000000,155.28
23,0.284765,0.755447,0.490222,0.678170,,,0,0.00300785,0.00000000,0.016568,0.000000,152.69
24,0.281161,0.757702,0.488384,0.678945,,,0,0.00284805,0.00000000,nan,0.000000,151.65
25,0.278137,0.760317,0.486342,0.679139,,,0,0.00268687,0.00000000,0.016247,0.000000,149.36
26,0.275337,0.761850,0.484021,0.681756,,,0,0.00252500,0.00000000,0.016060,0.000000,153.28
27,0.272543,0.764356,0.482934,0.682338,,,0,0.00236313,0.00000000,0.015958,0.000000,152.67
28,0.270129,0.765811,0.481281,0.681950,,,0,0.00220195,0.00000000,0.015781,0.000000,151.30
29,0.267997,0.767234,0.480455,0.683598,,,0,0.00204215,0.00000000,nan,0.000000,154.38
30,0.265936,0.768503,0.478934,0.683792,,,0,0.00188442,0.00000000,0.015582,0.000000,155.20
31,0.264087,0.770112,0.477690,0.683986,,,0,0.00172944,0.00000000,0.015479,0.000000,156.25
32,0.262414,0.771458,0.476920,0.685149,,,0,0.00157786,0.00000000,0.015400,0.000000,159.01
33,0.260898,0.772301,0.476364,0.685731,,,0,0.00143034,0.00000000,0.015250,0.000000,156.80
34,0.259622,0.773166,0.475576,0.684955,,,0,0.00128750,0.00000000,0.015189,0.000000,152.22
35,0.258336,0.774282,0.474949,0.685634,,,0,0.00114996,0.00000000,nan,0.000000,156.50
36,0.257180,0.775201,0.474350,0.686506,,,0,0.00101832,0.00000000,0.015096,0.000000,159.88
37,0.256073,0.775650,0.473743,0.687573,,,0,0.00089312,0.00000000,nan,0.000000,154.43
38,0.255234,0.776317,0.473481,0.686700,,,0,0.00077491,0.00000000,0.014956,0.000000,155.99
39,0.254489,0.777018,0.473034,0.686700,,,0,0.00066420,0.00000000,0.014931,0.000000,154.01
40,0.253837,0.777456,0.472729,0.686409,,,0,0.00056145,0.00000000,0.014914,0.000000,158.76
41,0.253327,0.777882,0.472480,0.686216,,,0,0.00046711,0.00000000,0.014835,0.000000,154.71
42,0.252856,0.778265,0.472279,0.686506,,,0,0.00038159,0.00000000,0.014837,0.000000,153.16
43,0.252299,0.778386,0.472146,0.686409,,,0,0.00030524,0.00000000,nan,0.000000,156.32
44,0.251977,0.778692,0.472041,0.686797,,,0,0.00023840,0.00000000,0.014775,0.000000,154.11
45,0.251695,0.778867,0.471937,0.686797,,,0,0.00018135,0.00000000,nan,0.000000,153.89
46,0.251446,0.779108,0.471863,0.686894,,,0,0.00013433,0.00000000,0.014719,0.000000,157.89
47,0.251237,0.779349,0.471790,0.686797,,,0,0.00009756,0.00000000,0.014676,0.000000,152.03
