epoch,train_loss,train_acc,val_loss,val_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.666892,0.210068,4.812757,0.376696,0.00250000,0.00000000,0.133088,0.000000,141.22
2,3.502615,0.471223,2.891644,0.533249,0.00500000,0.00000000,0.125025,0.000000,148.57
3,2.034381,0.580662,2.202094,0.589763,0.00499470,0.00000000,0.102712,0.000000,172.59
4,1.538286,0.623759,1.940696,0.611477,0.00497883,0.00000000,0.087944,0.000000,150.97
5,1.315931,0.649904,1.797519,0.630186,0.00495244,0.00000000,0.079686,0.000000,148.78
6,1.184411,0.669450,1.708245,0.641237,0.00491567,0.00000000,0.074639,0.000000,148.00
7,1.095364,0.685034,1.642599,0.652288,0.00486865,0.00000000,0.071374,0.000000,150.34
8,1.029127,0.697401,1.593269,0.655874,0.00481160,0.00000000,0.068670,0.000000,149.43
9,0.977016,0.708345,1.556046,0.663339,0.00474476,0.00000000,0.066551,0.000000,150.33
10,0.934985,0.718654,1.527231,0.670997,0.00466841,0.00000000,0.064993,0.000000,150.58
11,0.899085,0.726358,1.501917,0.675843,0.00458289,0.00000000,0.063488,0.000000,151.21
12,0.869832,0.733844,1.484348,0.677685,0.00448855,0.00000000,0.062449,0.000000,152.12
13,0.843772,0.741538,1.463572,0.679915,0.00438580,0.00000000,0.061278,0.000000,150.04
14,0.821275,0.747097,1.448015,0.681175,0.00427509,0.00000000,0.060388,0.000000,151.87
15,0.801219,0.752799,1.438741,0.686603,0.00415688,0.00000000,0.059550,0.000000,152.57
16,0.783247,0.757855,1.428867,0.687767,0.00403168,0.00000000,0.058785,0.000000,148.07
17,0.766920,0.761740,1.418966,0.688251,0.00390004,0.00000000,nan,0.000000,147.37
18,0.752170,0.765603,1.411857,0.690675,0.00376250,0.00000000,0.057706,0.000000,148.48
19,0.739182,0.770484,1.405072,0.687960,0.00361966,0.00000000,nan,0.000000,151.72
20,0.727186,0.773713,1.397209,0.693486,0.00347214,0.00000000,0.056497,0.000000,151.35
21,0.715957,0.776930,1.391827,0.694649,0.00332056,0.00000000,0.056141,0.000000,151.45
22,0.705758,0.780564,1.387474,0.695909,0.00316558,0.00000000,0.055574,0.000000,147.33
23,0.697056,0.782161,1.383189,0.693680,0.00300785,0.00000000,0.055242,0.000000,149.10
24,0.688253,0.785532,1.381564,0.695715,0.00284805,0.00000000,0.054898,0.000000,149.77
25,0.680278,0.787699,1.375230,0.696782,0.00268687,0.00000000,nan,0.000000,149.70
26,0.673299,0.790216,1.374176,0.696394,0.00252500,0.00000000,0.054154,0.000000,150.91
27,0.666549,0.791650,1.372543,0.699399,0.00236313,0.00000000,0.053802,0.000000,152.74
28,0.660770,0.793215,1.369747,0.696588,0.00220195,0.00000000,nan,0.000000,156.48
29,0.654994,0.795163,1.367296,0.698623,0.00204215,0.00000000,0.053513,0.000000,152.87
30,0.649721,0.797811,1.365324,0.699593,0.00188442,0.00000000,0.053106,0.000000,149.49
31,0.644702,0.798906,1.363407,0.700465,0.00172944,0.00000000,nan,0.000000,147.96
32,0.640675,0.800098,1.361518,0.700465,0.00157786,0.00000000,0.052746,0.000000,152.75
33,0.636777,0.801029,1.359689,0.699690,0.00143034,0.00000000,nan,0.000000,150.80
34,0.633200,0.802714,1.358327,0.700465,0.00128750,0.00000000,0.052566,0.000000,150.04
35,0.630210,0.803951,1.357358,0.700368,0.00114996,0.00000000,0.052182,0.000000,149.08
36,0.627422,0.804717,1.356664,0.701532,0.00101832,0.00000000,0.052083,0.000000,151.72
37,0.624416,0.805461,1.356119,0.701144,0.00089312,0.00000000,0.051869,0.000000,150.63
38,0.622253,0.806227,1.355166,0.701629,0.00077491,0.00000000,0.051877,0.000000,151.79
39,0.620040,0.807289,1.354809,0.701435,0.00066420,0.00000000,nan,0.000000,150.41
40,0.618233,0.808055,1.354262,0.701629,0.00056145,0.00000000,0.051599,0.000000,150.40
41,0.616705,0.808241,1.353762,0.701919,0.00046711,0.00000000,0.051427,0.000000,149.27
42,0.615317,0.808591,1.353599,0.700950,0.00038159,0.00000000,0.051454,0.000000,152.62
43,0.614462,0.809215,1.353309,0.700756,0.00030524,0.00000000,0.051404,0.000000,145.15
44,0.613428,0.809598,1.353129,0.700465,0.00023840,0.00000000,nan,0.000000,142.82
45,0.612682,0.809882,1.353018,0.700659,0.00018135,0.00000000,0.051228,0.000000,143.58
46,0.611862,0.809850,1.352922,0.701144,0.00013433,0.00000000,0.051238,0.000000,143.33
47,0.611335,0.810254,1.352844,0.701241,0.00009756,0.00000000,nan,0.000000,146.17
48,0.611211,0.810320,1.352796,0.701144,0.00007117,0.00000000,0.051175,0.000000,143.61
49,0.610961,0.810320,1.352751,0.701144,0.00005530,0.00000000,0.051082,0.000000,145.99
50,0.610666,0.810419,1.352733,0.701241,0.00005000,0.00000000,nan,0.000000,144.59
