epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,4.648618,0.204682,1.770397,0.344701,,,0,0.00250000,0.00000000,0.040483,0.000000,341.92
2,3.304449,0.462405,1.208634,0.524705,,,0,0.00500000,0.00000000,0.053613,0.000000,308.72
3,2.166536,0.596875,0.933650,0.591165,,,0,0.00499470,0.00000000,0.048356,0.000000,311.44
4,1.786459,0.643182,0.832123,0.614125,,,0,0.00497883,0.00000000,0.037311,0.000000,315.13
5,1.627187,0.669423,0.776255,0.632242,,,0,0.00495244,0.00000000,0.030927,0.000000,314.87
6,1.538992,0.686562,0.739392,0.639895,,,0,0.00491567,0.00000000,0.026814,0.000000,319.48
7,1.483624,0.702034,0.713717,0.649196,,,0,0.00486865,0.00000000,0.023974,0.000000,318.47
8,1.445987,0.714831,0.694600,0.653556,,,0,0.00481160,0.00000000,0.021895,0.000000,317.35
9,1.419225,0.725413,0.679943,0.657624,,,0,0.00474476,0.00000000,0.020250,0.000000,315.95
10,1.399670,0.734569,0.668562,0.662565,,,0,0.00466841,0.00000000,0.019045,0.000000,307.44
11,1.385153,0.742903,0.658321,0.668475,,,0,0.00458289,0.00000000,0.018104,0.000000,311.94
12,1.373612,0.749986,0.651585,0.671188,,,0,0.00448855,0.00000000,0.017296,0.000000,316.97
13,1.364719,0.756302,0.645168,0.673610,,,0,0.00438580,0.00000000,0.016643,0.000000,357.36
14,1.357654,0.762257,0.639964,0.675838,,,0,0.00427509,0.00000000,0.016067,0.000000,305.98
15,1.351770,0.767465,0.635931,0.679229,,,0,0.00415688,0.00000000,0.015647,0.000000,306.60
16,1.346969,0.772334,0.631732,0.679423,,,0,0.00403168,0.00000000,0.015286,0.000000,304.85
17,1.342854,0.776325,0.628927,0.680004,,,0,0.00390004,0.00000000,0.014974,0.000000,304.20
18,1.339535,0.779834,0.626332,0.682329,,,0,0.00376250,0.00000000,0.014637,0.000000,307.86
19,1.336453,0.783102,0.623776,0.683298,,,0,0.00361966,0.00000000,0.014387,0.000000,307.44
20,1.333875,0.786348,0.622065,0.684073,,,0,0.00347214,0.00000000,nan,0.000000,299.91
21,1.331543,0.789309,0.619726,0.685914,,,0,0.00332056,0.00000000,0.013970,0.000000,307.30
22,1.329547,0.791524,0.618761,0.687851,,,0,0.00316558,0.00000000,0.013806,0.000000,304.84
23,1.327715,0.793684,0.617417,0.688142,,,0,0.00300785,0.00000000,nan,0.000000,307.69
24,1.326179,0.795866,0.615984,0.687851,,,0,0.00284805,0.00000000,0.013536,0.000000,332.96
25,1.324679,0.798267,0.614938,0.687754,,,0,0.00268687,0.00000000,0.013404,0.000000,315.49
26,1.323305,0.799923,0.614206,0.688820,,,0,0.00252500,0.00000000,nan,0.000000,304.21
27,1.322174,0.801579,0.613119,0.690273,,,0,0.00236313,0.00000000,0.013153,0.000000,304.32
28,1.321014,0.802972,0.612548,0.690951,,,0,0.00220195,0.00000000,0.013080,0.000000,304.87
29,1.320192,0.804134,0.611693,0.691533,,,0,0.00204215,0.00000000,nan,0.000000,307.74
30,1.319177,0.805768,0.611243,0.690176,,,0,0.00188442,0.00000000,0.012900,0.000000,308.07
31,1.318437,0.806711,0.610797,0.690661,,,0,0.00172944,0.00000000,0.012809,0.000000,305.24
32,1.317750,0.807829,0.609883,0.691533,,,0,0.00157786,0.00000000,nan,0.000000,308.78
33,1.317145,0.808718,0.609741,0.691726,,,0,0.00143034,0.00000000,0.012690,0.000000,308.33
34,1.316316,0.809661,0.609427,0.691823,,,0,0.00128750,0.00000000,0.012667,0.000000,305.26
35,1.315879,0.810395,0.609201,0.691145,,,0,0.00114996,0.00000000,nan,0.000000,307.76
36,1.315523,0.811075,0.608711,0.691920,,,0,0.00101832,0.00000000,0.012551,0.000000,326.01
37,1.315015,0.811634,0.608488,0.692889,,,0,0.00089312,0.00000000,0.012535,0.000000,305.10
38,1.314724,0.812588,0.608124,0.692792,,,0,0.00077491,0.00000000,nan,0.000000,308.56
39,1.314294,0.812731,0.608014,0.691920,,,0,0.00066420,0.00000000,0.012441,0.000000,308.83
40,1.313940,0.813312,0.607910,0.692598,,,0,0.00056145,0.00000000,0.012424,0.000000,310.19
41,1.313689,0.813838,0.607731,0.691823,,,0,0.00046711,0.00000000,nan,0.000000,310.03
42,1.313391,0.813751,0.607796,0.692598,,,0,0.00038159,0.00000000,0.012387,0.000000,302.42
43,1.313294,0.814299,0.607672,0.692501,,,0,0.00030524,0.00000000,0.012361,0.000000,306.27
44,1.313118,0.814485,0.607567,0.692695,,,0,0.00023840,0.00000000,nan,0.000000,303.48
45,1.313058,0.814694,0.607517,0.692889,,,0,0.00018135,0.00000000,0.012286,0.000000,299.24
46,1.312876,0.814957,0.607454,0.692695,,,0,0.00013433,0.00000000,0.012274,0.000000,302.49
47,1.312772,0.814858,0.607431,0.692598,,,0,0.00009756,0.00000000,nan,0.000000,339.99
