epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.874916,0.148605,1.765129,0.243073,,,0,0.00250000,0.00000000,0.008100,0.000000,157.83
2,1.464622,0.373288,1.186350,0.496997,,,0,0.00500000,0.00000000,0.028110,0.000000,174.10
3,1.036216,0.570086,0.948500,0.583414,,,0,0.00499470,0.00000000,0.034175,0.000000,171.84
4,0.879207,0.625879,0.855665,0.611994,,,0,0.00497883,0.00000000,0.032730,0.000000,173.35
5,0.797180,0.653874,0.802470,0.630014,,,0,0.00495244,0.00000000,0.031383,0.000000,175.15
6,0.751432,0.669302,0.766228,0.637667,,,0,0.00491567,0.00000000,0.030334,0.000000,171.56
7,0.705580,0.687538,0.739163,0.646096,,,0,0.00486865,0.00000000,0.029591,0.000000,173.73
8,0.677546,0.697582,0.719986,0.650068,,,0,0.00481160,0.00000000,0.028862,0.000000,176.27
9,0.662152,0.703536,0.702827,0.655299,,,0,0.00474476,0.00000000,0.028160,0.000000,179.52
10,0.643748,0.712068,0.689772,0.661403,,,0,0.00466841,0.00000000,0.027675,0.000000,178.07
11,0.616533,0.722934,0.677107,0.667119,,,0,0.00458289,0.00000000,0.027300,0.000000,177.16
12,0.592200,0.734086,0.667843,0.669153,,,0,0.00448855,0.00000000,0.026940,0.000000,178.18
13,0.583140,0.738209,0.659579,0.672060,,,0,0.00438580,0.00000000,0.026475,0.000000,176.57
14,0.575602,0.741225,0.652391,0.673997,,,0,0.00427509,0.00000000,0.026081,0.000000,176.03
15,0.568026,0.744460,0.646671,0.675838,,,0,0.00415688,0.00000000,0.025764,0.000000,176.35
16,0.551547,0.753473,0.640713,0.678357,,,0,0.00403168,0.00000000,0.025564,0.000000,174.42
17,0.560916,0.748670,0.635862,0.677485,,,0,0.00390004,0.00000000,0.025235,0.000000,169.10
18,0.535939,0.760546,0.631505,0.679713,,,0,0.00376250,0.00000000,0.024901,0.000000,171.87
19,0.544987,0.757267,0.627136,0.682135,,,0,0.00361966,0.00000000,0.024625,0.000000,172.57
20,0.526918,0.766610,0.624195,0.681166,,,0,0.00347214,0.00000000,nan,0.000000,175.87
21,0.519679,0.769636,0.620085,0.684267,,,0,0.00332056,0.00000000,0.024221,0.000000,174.95
22,0.522949,0.766829,0.618437,0.684557,,,0,0.00316558,0.00000000,0.024016,0.000000,177.32
23,0.521313,0.769494,0.615878,0.685139,,,0,0.00300785,0.00000000,nan,0.000000,174.90
24,0.502990,0.776304,0.613225,0.687173,,,0,0.00284805,0.00000000,0.023731,0.000000,178.34
25,0.497268,0.779988,0.610853,0.688917,,,0,0.00268687,0.00000000,0.023587,0.000000,176.34
26,0.503579,0.777795,0.608986,0.689789,,,0,0.00252500,0.00000000,nan,0.000000,169.36
27,0.499287,0.779505,0.607173,0.689111,,,0,0.00236313,0.00000000,0.023229,0.000000,170.25
28,0.497390,0.782280,0.605732,0.690467,,,0,0.00220195,0.00000000,0.023173,0.000000,172.04
29,0.485877,0.788135,0.604144,0.691048,,,0,0.00204215,0.00000000,nan,0.000000,172.15
30,0.487061,0.785580,0.603098,0.690467,,,0,0.00188442,0.00000000,0.022874,0.000000,173.65
31,0.484574,0.787083,0.601890,0.691823,,,0,0.00172944,0.00000000,0.022773,0.000000,175.52
32,0.471913,0.793717,0.600153,0.692114,,,0,0.00157786,0.00000000,nan,0.000000,177.08
33,0.491758,0.784593,0.599699,0.690854,,,0,0.00143034,0.00000000,0.022562,0.000000,179.06
34,0.480679,0.789374,0.598825,0.691533,,,0,0.00128750,0.00000000,0.022565,0.000000,178.40
35,0.483567,0.789243,0.598280,0.693083,,,0,0.00114996,0.00000000,nan,0.000000,178.59
36,0.474198,0.793103,0.597310,0.693276,,,0,0.00101832,0.00000000,0.022419,0.000000,174.85
37,0.473832,0.793070,0.596873,0.693470,,,0,0.00089312,0.00000000,0.022382,0.000000,172.46
38,0.472821,0.794934,0.596254,0.692598,,,0,0.00077491,0.00000000,0.022267,0.000000,172.15
39,0.471275,0.795076,0.595985,0.692501,,,0,0.00066420,0.00000000,nan,0.000000,173.75
40,0.462642,0.796710,0.595569,0.694730,,,0,0.00056145,0.00000000,0.022254,0.000000,174.18
41,0.478525,0.791940,0.595278,0.692986,,,0,0.00046711,0.00000000,0.022212,0.000000,178.06
42,0.471708,0.796327,0.595224,0.693858,,,0,0.00038159,0.00000000,nan,0.000000,175.87
43,0.470574,0.794408,0.595050,0.693955,,,0,0.00030524,0.00000000,0.022180,0.000000,180.37
44,0.483048,0.790789,0.594853,0.693470,,,0,0.00023840,0.00000000,0.022084,0.000000,174.14
45,0.463906,0.799002,0.594759,0.694052,,,0,0.00018135,0.00000000,nan,0.000000,177.21
46,0.463161,0.798827,0.594662,0.693664,,,0,0.00013433,0.00000000,0.022033,0.000000,173.94
47,0.462013,0.799178,0.594602,0.694342,,,0,0.00009756,0.00000000,0.022017,0.000000,179.59
48,0.456890,0.801129,0.594568,0.693858,,,0,0.00007117,0.00000000,nan,0.000000,176.80
49,0.467180,0.796524,0.594529,0.694052,,,0,0.00005530,0.00000000,0.022069,0.000000,173.09
50,0.458539,0.801064,0.594503,0.694052,,,0,0.00005000,0.00000000,0.022055,0.000000,169.69
