epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.876161,0.145784,1.766132,0.228480,,,0,0.00250000,0.00000000,0.008020,0.000000,154.24
2,1.480394,0.360722,1.183220,0.508240,,,0,0.00500000,0.00000000,0.027532,0.000000,170.83
3,1.060074,0.560394,0.940813,0.596743,,,0,0.00499470,0.00000000,0.033617,0.000000,176.20
4,0.904658,0.614577,0.844653,0.622819,,,0,0.00497883,0.00000000,0.032371,0.000000,174.84
5,0.832928,0.639584,0.788799,0.640752,,,0,0.00495244,0.00000000,0.031045,0.000000,170.66
6,0.779149,0.657871,0.752558,0.648604,,,0,0.00491567,0.00000000,0.030054,0.000000,176.47
7,0.738463,0.675973,0.723820,0.656165,,,0,0.00486865,0.00000000,0.029423,0.000000,170.47
8,0.709264,0.685538,0.702295,0.664308,,,0,0.00481160,0.00000000,0.028735,0.000000,172.98
9,0.687041,0.693494,0.685423,0.670803,,,0,0.00474476,0.00000000,0.028060,0.000000,176.85
10,0.676487,0.699393,0.671229,0.676716,,,0,0.00466841,0.00000000,0.027515,0.000000,172.72
11,0.644091,0.713040,0.658717,0.681078,,,0,0.00458289,0.00000000,0.027151,0.000000,173.38
12,0.623295,0.722528,0.650313,0.682532,,,0,0.00448855,0.00000000,0.026813,0.000000,174.21
13,0.620514,0.724684,0.640996,0.685052,,,0,0.00438580,0.00000000,0.026329,0.000000,170.73
14,0.604863,0.730889,0.632266,0.686797,,,0,0.00427509,0.00000000,0.026022,0.000000,173.26
15,0.593458,0.735103,0.626491,0.689608,,,0,0.00415688,0.00000000,0.025787,0.000000,172.90
16,0.593011,0.736471,0.621326,0.692904,,,0,0.00403168,0.00000000,0.025321,0.000000,170.92
17,0.586282,0.736722,0.616707,0.692904,,,0,0.00390004,0.00000000,0.025045,0.000000,174.81
18,0.565227,0.748553,0.612799,0.692516,,,0,0.00376250,0.00000000,0.024897,0.000000,173.56
19,0.581973,0.743081,0.608672,0.692226,,,0,0.00361966,0.00000000,0.024592,0.000000,174.48
20,0.548297,0.756750,0.603719,0.696394,,,0,0.00347214,0.00000000,nan,0.000000,172.77
21,0.552957,0.756071,0.601070,0.696103,,,0,0.00332056,0.00000000,0.024268,0.000000,174.80
22,0.561138,0.751376,0.598642,0.698527,,,0,0.00316558,0.00000000,0.023961,0.000000,177.88
23,0.549513,0.757625,0.596695,0.697363,,,0,0.00300785,0.00000000,nan,0.000000,176.52
24,0.538590,0.762747,0.593696,0.698914,,,0,0.00284805,0.00000000,0.023685,0.000000,176.80
25,0.543655,0.761806,0.590851,0.700271,,,0,0.00268687,0.00000000,0.023576,0.000000,175.59
26,0.524452,0.769532,0.589728,0.699593,,,0,0.00252500,0.00000000,nan,0.000000,174.23
27,0.539443,0.766632,0.588448,0.700853,,,0,0.00236313,0.00000000,0.023293,0.000000,173.03
28,0.526473,0.770955,0.586733,0.698914,,,0,0.00220195,0.00000000,0.023128,0.000000,173.73
29,0.520323,0.773012,0.584877,0.701338,,,0,0.00204215,0.00000000,nan,0.000000,173.98
30,0.519729,0.773680,0.583383,0.701725,,,0,0.00188442,0.00000000,0.022957,0.000000,176.04
31,0.511701,0.779743,0.582097,0.701725,,,0,0.00172944,0.00000000,0.022837,0.000000,173.02
32,0.528369,0.769324,0.581569,0.700950,,,0,0.00157786,0.00000000,nan,0.000000,173.45
33,0.521907,0.772542,0.580314,0.701919,,,0,0.00143034,0.00000000,0.022717,0.000000,171.05
34,0.519529,0.773986,0.579366,0.702695,,,0,0.00128750,0.00000000,0.022659,0.000000,173.96
35,0.499454,0.782490,0.578679,0.702016,,,0,0.00114996,0.00000000,nan,0.000000,172.65
36,0.508541,0.778736,0.577952,0.703276,,,0,0.00101832,0.00000000,0.022468,0.000000,174.02
37,0.514414,0.777171,0.577838,0.704246,,,0,0.00089312,0.00000000,0.022395,0.000000,176.47
38,0.505351,0.780706,0.577173,0.703180,,,0,0.00077491,0.00000000,nan,0.000000,174.82
39,0.513868,0.778484,0.576814,0.702695,,,0,0.00066420,0.00000000,0.022290,0.000000,171.52
40,0.497027,0.784963,0.576361,0.702792,,,0,0.00056145,0.00000000,0.022253,0.000000,171.20
41,0.509026,0.779732,0.575959,0.703858,,,0,0.00046711,0.00000000,nan,0.000000,173.92
42,0.501011,0.783606,0.575918,0.702889,,,0,0.00038159,0.00000000,0.022239,0.000000,175.71
43,0.499194,0.784766,0.575726,0.702792,,,0,0.00030524,0.00000000,0.022164,0.000000,185.12
44,0.506806,0.779480,0.575530,0.703276,,,0,0.00023840,0.00000000,nan,0.000000,224.04
45,0.488600,0.787962,0.575432,0.703180,,,0,0.00018135,0.00000000,0.022157,0.000000,181.39
46,0.490140,0.788159,0.575349,0.703373,,,0,0.00013433,0.00000000,0.022170,0.000000,193.98
47,0.492081,0.788662,0.575309,0.703276,,,0,0.00009756,0.00000000,nan,0.000000,258.66
