epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.876017,0.148301,1.766437,0.234393,,,0,0.00250000,0.00000000,0.008028,0.000000,182.60
2,1.484471,0.359201,1.184220,0.508434,,,0,0.00500000,0.00000000,0.027333,0.000000,201.93
3,1.076279,0.555261,0.942680,0.598003,,,0,0.00499470,0.00000000,0.033254,0.000000,200.84
4,0.915108,0.611754,0.845725,0.623207,,,0,0.00497883,0.00000000,0.032263,0.000000,200.08
5,0.843896,0.635819,0.789510,0.640074,,,0,0.00495244,0.00000000,0.030844,0.000000,202.74
6,0.789415,0.656700,0.753086,0.648119,,,0,0.00491567,0.00000000,0.029942,0.000000,205.36
7,0.771752,0.663945,0.724939,0.656165,,,0,0.00486865,0.00000000,0.029081,0.000000,188.42
8,0.726421,0.679114,0.703257,0.662563,,,0,0.00481160,0.00000000,0.028523,0.000000,209.01
9,0.696833,0.691896,0.686265,0.670900,,,0,0.00474476,0.00000000,0.028025,0.000000,201.18
10,0.670293,0.702446,0.672041,0.676134,,,0,0.00466841,0.00000000,0.027593,0.000000,207.76
11,0.652758,0.711037,0.659523,0.678751,,,0,0.00458289,0.00000000,0.027102,0.000000,195.85
12,0.652836,0.713532,0.651037,0.682241,,,0,0.00448855,0.00000000,0.026592,0.000000,199.92
13,0.626792,0.724049,0.641711,0.684762,,,0,0.00438580,0.00000000,0.026311,0.000000,186.36
14,0.618054,0.727092,0.633135,0.685731,,,0,0.00427509,0.00000000,0.026002,0.000000,185.08
15,0.622794,0.723382,0.626794,0.688542,,,0,0.00415688,0.00000000,0.025665,0.000000,176.58
16,0.608412,0.733789,0.621599,0.691644,,,0,0.00403168,0.00000000,0.025282,0.000000,181.18
17,0.599287,0.735540,0.616930,0.691741,,,0,0.00390004,0.00000000,0.025041,0.000000,178.48
18,0.601830,0.735759,0.612647,0.692323,,,0,0.00376250,0.00000000,0.024725,0.000000,187.81
19,0.598582,0.736985,0.609136,0.690093,,,0,0.00361966,0.00000000,0.024544,0.000000,205.20
20,0.583059,0.745893,0.604187,0.696103,,,0,0.00347214,0.00000000,nan,0.000000,185.24
21,0.580511,0.746462,0.601407,0.695134,,,0,0.00332056,0.00000000,0.024179,0.000000,200.55
22,0.584497,0.747436,0.598888,0.695618,,,0,0.00316558,0.00000000,0.023956,0.000000,187.28
23,0.561035,0.756323,0.596796,0.695522,,,0,0.00300785,0.00000000,nan,0.000000,215.69
24,0.556567,0.757560,0.593999,0.697266,,,0,0.00284805,0.00000000,0.023703,0.000000,182.14
25,0.555606,0.759015,0.591241,0.699205,,,0,0.00268687,0.00000000,0.023549,0.000000,191.70
26,0.555073,0.759551,0.589869,0.699108,,,0,0.00252500,0.00000000,nan,0.000000,193.09
27,0.565010,0.753784,0.588448,0.699205,,,0,0.00236313,0.00000000,0.023220,0.000000,188.96
28,0.546510,0.764246,0.586585,0.699496,,,0,0.00220195,0.00000000,0.023159,0.000000,191.55
29,0.540737,0.766282,0.584942,0.700853,,,0,0.00204215,0.00000000,nan,0.000000,187.07
30,0.537985,0.769346,0.583649,0.700756,,,0,0.00188442,0.00000000,0.022956,0.000000,193.87
31,0.531054,0.771830,0.582018,0.702307,,,0,0.00172944,0.00000000,0.022823,0.000000,189.56
32,0.527115,0.771973,0.581714,0.700174,,,0,0.00157786,0.00000000,nan,0.000000,189.27
33,0.543343,0.766960,0.580312,0.702501,,,0,0.00143034,0.00000000,0.022676,0.000000,191.65
34,0.541015,0.768482,0.579386,0.702501,,,0,0.00128750,0.00000000,0.022663,0.000000,191.71
35,0.536911,0.770309,0.578784,0.702695,,,0,0.00114996,0.00000000,nan,0.000000,196.11
36,0.528501,0.773669,0.578082,0.702792,,,0,0.00101832,0.00000000,0.022505,0.000000,182.64
37,0.514046,0.779305,0.577692,0.702792,,,0,0.00089312,0.00000000,0.022496,0.000000,173.96
38,0.516795,0.778681,0.577141,0.702501,,,0,0.00077491,0.00000000,nan,0.000000,182.49
39,0.527794,0.772761,0.576723,0.704052,,,0,0.00066420,0.00000000,0.022270,0.000000,181.77
40,0.519120,0.777882,0.576436,0.703567,,,0,0.00056145,0.00000000,0.022280,0.000000,183.71
41,0.526638,0.774293,0.576156,0.703858,,,0,0.00046711,0.00000000,nan,0.000000,179.51
42,0.519051,0.778933,0.575915,0.703955,,,0,0.00038159,0.00000000,0.022212,0.000000,175.74
43,0.540737,0.770254,0.575805,0.703083,,,0,0.00030524,0.00000000,0.022244,0.000000,172.97
44,0.519776,0.777456,0.575613,0.703180,,,0,0.00023840,0.00000000,nan,0.000000,179.39
45,0.511777,0.781352,0.575502,0.703567,,,0,0.00018135,0.00000000,0.022174,0.000000,181.53
46,0.504067,0.784646,0.575422,0.703567,,,0,0.00013433,0.00000000,0.022237,0.000000,180.13
47,0.503155,0.784810,0.575405,0.703567,,,0,0.00009756,0.00000000,nan,0.000000,181.90
48,0.519504,0.779874,0.575355,0.703373,,,0,0.00007117,0.00000000,0.022172,0.000000,180.78
49,0.504713,0.785718,0.575319,0.703567,,,0,0.00005530,0.00000000,0.022126,0.000000,177.94
