epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.870635,0.144964,1.762198,0.238229,,,0,0.00250000,0.00000000,0.008831,0.000000,164.36
2,1.412519,0.375733,1.182136,0.500484,,,0,0.00500000,0.00000000,0.031332,0.000000,168.59
3,0.933502,0.572477,0.945162,0.583995,,,0,0.00499470,0.00000000,0.037887,0.000000,168.32
4,0.759627,0.626526,0.853621,0.611219,,,0,0.00497883,0.00000000,0.036076,0.000000,172.49
5,0.669361,0.654389,0.801473,0.628367,,,0,0.00495244,0.00000000,0.034486,0.000000,172.93
6,0.618536,0.669467,0.765755,0.636989,,,0,0.00491567,0.00000000,0.033283,0.000000,191.00
7,0.570579,0.687636,0.739225,0.646968,,,0,0.00486865,0.00000000,0.032355,0.000000,175.00
8,0.536343,0.696990,0.720298,0.650552,,,0,0.00481160,0.00000000,0.031593,0.000000,184.43
9,0.517754,0.703591,0.703437,0.653071,,,0,0.00474476,0.00000000,0.030820,0.000000,188.11
10,0.500044,0.711464,0.690877,0.659853,,,0,0.00466841,0.00000000,0.030174,0.000000,169.28
11,0.464664,0.722244,0.678720,0.665859,,,0,0.00458289,0.00000000,0.029861,0.000000,176.80
12,0.443481,0.732957,0.669811,0.667313,,,0,0.00448855,0.00000000,0.029316,0.000000,177.45
13,0.429309,0.736981,0.661941,0.669153,,,0,0.00438580,0.00000000,0.028842,0.000000,187.30
14,0.422556,0.740084,0.655109,0.670606,,,0,0.00427509,0.00000000,0.028360,0.000000,178.07
15,0.413808,0.742738,0.649594,0.673028,,,0,0.00415688,0.00000000,0.027992,0.000000,185.95
16,0.395935,0.751883,0.643514,0.676129,,,0,0.00403168,0.00000000,0.027744,0.000000,183.16
17,0.401433,0.747048,0.638881,0.674094,,,0,0.00390004,0.00000000,0.027422,0.000000,183.03
18,0.380382,0.759450,0.634429,0.677679,,,0,0.00376250,0.00000000,0.026960,0.000000,184.97
19,0.386271,0.755195,0.630150,0.679035,,,0,0.00361966,0.00000000,0.026671,0.000000,178.07
20,0.366580,0.764263,0.627415,0.678260,,,0,0.00347214,0.00000000,nan,0.000000,177.21
21,0.356342,0.767531,0.623402,0.680198,,,0,0.00332056,0.00000000,0.026175,0.000000,183.42
22,0.364270,0.764834,0.621934,0.680876,,,0,0.00316558,0.00000000,0.025863,0.000000,181.45
23,0.360764,0.766851,0.619350,0.682717,,,0,0.00300785,0.00000000,nan,0.000000,179.76
24,0.339530,0.774001,0.616933,0.682910,,,0,0.00284805,0.00000000,0.025558,0.000000,180.78
25,0.337008,0.778168,0.614605,0.685720,,,0,0.00268687,0.00000000,0.025331,0.000000,180.81
26,0.340678,0.775262,0.612885,0.685332,,,0,0.00252500,0.00000000,nan,0.000000,180.03
27,0.338933,0.776819,0.611209,0.686398,,,0,0.00236313,0.00000000,0.024884,0.000000,176.79
28,0.341852,0.779812,0.609840,0.685914,,,0,0.00220195,0.00000000,0.024724,0.000000,176.33
29,0.325960,0.785504,0.608247,0.686398,,,0,0.00204215,0.00000000,nan,0.000000,172.99
30,0.320831,0.782784,0.607344,0.687076,,,0,0.00188442,0.00000000,0.024519,0.000000,176.19
31,0.323343,0.784177,0.606173,0.686882,,,0,0.00172944,0.00000000,0.024316,0.000000,171.63
32,0.313474,0.790767,0.604452,0.689789,,,0,0.00157786,0.00000000,nan,0.000000,173.96
33,0.332269,0.781359,0.604097,0.687851,,,0,0.00143034,0.00000000,0.024031,0.000000,171.72
34,0.317789,0.786162,0.603278,0.688336,,,0,0.00128750,0.00000000,0.024033,0.000000,171.41
35,0.323635,0.786370,0.602751,0.689304,,,0,0.00114996,0.00000000,nan,0.000000,176.04
36,0.311575,0.789605,0.601832,0.689208,,,0,0.00101832,0.00000000,0.023846,0.000000,175.56
37,0.309973,0.789824,0.601405,0.690176,,,0,0.00089312,0.00000000,0.023823,0.000000,169.29
38,0.311705,0.791458,0.600842,0.689692,,,0,0.00077491,0.00000000,nan,0.000000,170.72
39,0.308091,0.791447,0.600558,0.689304,,,0,0.00066420,0.00000000,0.023641,0.000000,169.40
40,0.297305,0.793311,0.600158,0.689983,,,0,0.00056145,0.00000000,nan,0.000000,169.09
41,0.319806,0.788607,0.599863,0.689014,,,0,0.00046711,0.00000000,0.023528,0.000000,168.49
42,0.310547,0.792598,0.599827,0.689304,,,0,0.00038159,0.00000000,0.023498,0.000000,172.02
43,0.308386,0.790899,0.599639,0.689692,,,0,0.00030524,0.00000000,nan,0.000000,170.33
44,0.326980,0.787006,0.599467,0.689498,,,0,0.00023840,0.00000000,0.023334,0.000000,175.61
45,0.301224,0.795197,0.599367,0.689498,,,0,0.00018135,0.00000000,0.023400,0.000000,174.01
46,0.298884,0.795098,0.599274,0.689595,,,0,0.00013433,0.00000000,nan,0.000000,174.18
47,0.301951,0.795647,0.599219,0.689498,,,0,0.00009756,0.00000000,0.023283,0.000000,180.77
