epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.723115,0.204202,4.849045,0.370396,,,0,0.00250000,0.00000000,0.125833,0.000000,141.80
2,3.789357,0.461330,2.943918,0.529081,,,0,0.00500000,0.00000000,0.120488,0.000000,147.02
3,2.445618,0.585083,2.214977,0.600814,,,0,0.00499470,0.00000000,0.106578,0.000000,145.27
4,1.953804,0.636224,1.931407,0.625436,,,0,0.00497883,0.00000000,0.096949,0.000000,150.65
5,1.718163,0.664821,1.776432,0.641528,,,0,0.00495244,0.00000000,0.091218,0.000000,145.26
6,0.840893,0.675688,0.868037,0.639492,,,0,0.00491567,0.00000000,0.035362,0.000000,153.26
7,0.791193,0.679606,0.825321,0.643176,,,0,0.00486865,0.00000000,0.034236,0.000000,154.27
8,0.747167,0.687300,0.787911,0.650640,,,0,0.00481160,0.00000000,0.033124,0.000000,150.42
9,0.708113,0.695683,0.756099,0.659170,,,0,0.00474476,0.00000000,0.032123,0.000000,155.71
10,0.673998,0.705751,0.729494,0.666925,,,0,0.00466841,0.00000000,0.031300,0.000000,151.77
11,0.644601,0.715141,0.706670,0.670512,,,0,0.00458289,0.00000000,0.030434,0.000000,147.95
12,0.619707,0.724115,0.690610,0.676134,,,0,0.00448855,0.00000000,0.029746,0.000000,147.25
13,0.598337,0.732323,0.674751,0.679527,,,0,0.00438580,0.00000000,0.029108,0.000000,146.09
14,0.579984,0.739765,0.661290,0.680593,,,0,0.00427509,0.00000000,0.028585,0.000000,147.97
15,0.563762,0.746353,0.651367,0.685052,,,0,0.00415688,0.00000000,0.028142,0.000000,146.15
16,0.549804,0.751803,0.642822,0.687088,,,0,0.00403168,0.00000000,0.027576,0.000000,147.51
17,0.537268,0.756990,0.635613,0.690578,,,0,0.00390004,0.00000000,0.027236,0.000000,150.44
18,0.526123,0.761598,0.629578,0.689705,,,0,0.00376250,0.00000000,0.026873,0.000000,146.73
19,0.516205,0.766851,0.623766,0.689705,,,0,0.00361966,0.00000000,0.026590,0.000000,147.06
20,0.507380,0.770747,0.617458,0.693680,,,0,0.00347214,0.00000000,nan,0.000000,151.84
21,0.499219,0.774599,0.613605,0.694746,,,0,0.00332056,0.00000000,0.026018,0.000000,151.13
22,0.491712,0.778068,0.610089,0.695909,,,0,0.00316558,0.00000000,0.025694,0.000000,150.87
23,0.485220,0.781384,0.607048,0.695328,,,0,0.00300785,0.00000000,nan,0.000000,151.72
24,0.479147,0.785094,0.603557,0.696200,,,0,0.00284805,0.00000000,0.025262,0.000000,148.39
25,0.473549,0.787754,0.600343,0.696685,,,0,0.00268687,0.00000000,0.025060,0.000000,148.57
26,0.468372,0.790183,0.598557,0.698042,,,0,0.00252500,0.00000000,nan,0.000000,159.10
27,0.463768,0.792241,0.596624,0.697557,,,0,0.00236313,0.00000000,0.024671,0.000000,148.27
28,0.459549,0.794725,0.593984,0.698623,,,0,0.00220195,0.00000000,0.024520,0.000000,138.56
29,0.455636,0.796618,0.592342,0.698139,,,0,0.00204215,0.00000000,nan,0.000000,157.16
30,0.452080,0.798413,0.590514,0.700078,,,0,0.00188442,0.00000000,0.024197,0.000000,149.32
31,0.448855,0.800372,0.589299,0.699787,,,0,0.00172944,0.00000000,0.024073,0.000000,147.42
32,0.456378,0.793859,0.581282,0.705506,,,0,0.00157177,0.00000000,nan,0.000000,239.46
33,0.453095,0.795712,0.575387,0.709965,,,0,0.00142443,0.00000000,0.024169,0.000000,142.97
34,0.450069,0.797116,0.570422,0.712001,,,0,0.00128180,0.00000000,0.024130,0.000000,152.51
35,0.447518,0.798618,0.566018,0.716460,,,0,0.00114449,0.00000000,nan,0.000000,151.02
36,0.445317,0.800022,0.562618,0.718108,,,0,0.00101309,0.00000000,0.023892,0.000000,150.61
37,0.443336,0.800603,0.559714,0.721501,,,0,0.00088817,0.00000000,0.023832,0.000000,153.21
38,0.441619,0.802029,0.557060,0.723924,,,0,0.00077026,0.00000000,nan,0.000000,151.66
39,0.440142,0.802752,0.554837,0.725475,,,0,0.00065986,0.00000000,0.023717,0.000000,153.30
40,0.438825,0.803882,0.553107,0.726541,,,0,0.00055745,0.00000000,nan,0.000000,150.14
41,0.437733,0.804386,0.551545,0.728092,,,0,0.00046346,0.00000000,0.023595,0.000000,153.75
42,0.436801,0.804825,0.550329,0.728771,,,0,0.00037830,0.00000000,0.023571,0.000000,152.86
43,0.436027,0.805329,0.549398,0.729934,,,0,0.00030233,0.00000000,0.023551,0.000000,151.12
44,0.435369,0.805812,0.548676,0.730419,,,0,0.00023588,0.00000000,nan,0.000000,148.85
45,0.434836,0.806163,0.548105,0.730710,,,0,0.00017924,0.00000000,0.023513,0.000000,148.83
46,0.434412,0.806228,0.547678,0.730903,,,0,0.00013264,0.00000000,0.023461,0.000000,148.70
47,0.434096,0.806448,0.547373,0.731000,,,0,0.00009628,0.00000000,nan,0.000000,148.70
48,0.433856,0.806711,0.547151,0.731194,,,0,0.00007032,0.00000000,0.023469,0.000000,146.56
49,0.433682,0.806744,0.546974,0.731291,,,0,0.00005488,0.00000000,0.023567,0.000000,147.15
50,0.433563,0.806777,0.546822,0.731388,,,0,0.00005000,0.00000000,nan,0.000000,149.35
