epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.394787,0.124181,1.328788,0.174583,,,0,0.00250000,0.00000000,0.003401,0.000000,141.80
2,1.125633,0.334752,0.933454,0.474021,,,0,0.00500000,0.00000000,0.020529,0.000000,146.94
3,0.833665,0.539787,0.760317,0.576192,,,0,0.00499470,0.00000000,0.025180,0.000000,147.46
4,0.713693,0.603557,0.684583,0.610411,,,0,0.00497883,0.00000000,0.024657,0.000000,146.74
5,0.648976,0.635294,0.641137,0.626115,,,0,0.00495244,0.00000000,0.023848,0.000000,145.39
6,0.612134,0.651010,0.613129,0.632997,,,0,0.00491567,0.00000000,0.022968,0.000000,145.98
7,0.577091,0.668367,0.590438,0.643079,,,0,0.00486865,0.00000000,0.022551,0.000000,146.88
8,0.554035,0.680416,0.572152,0.652094,,,0,0.00481160,0.00000000,0.022008,0.000000,146.89
9,0.540296,0.686479,0.558296,0.657910,,,0,0.00474476,0.00000000,0.021491,0.000000,147.47
10,0.526041,0.694435,0.546752,0.664889,,,0,0.00466841,0.00000000,0.021068,0.000000,165.10
11,0.504946,0.706495,0.536428,0.668476,,,0,0.00458289,0.00000000,0.020748,0.000000,170.84
12,0.486188,0.716421,0.530059,0.669833,,,0,0.00448855,0.00000000,0.020446,0.000000,148.34
13,0.479170,0.719748,0.522373,0.672063,,,0,0.00438580,0.00000000,0.020089,0.000000,151.43
14,0.475136,0.722408,0.515595,0.675165,,,0,0.00427509,0.00000000,0.019773,0.000000,152.06
15,0.464085,0.727672,0.510669,0.677007,,,0,0.00415688,0.00000000,0.019569,0.000000,151.74
16,0.454939,0.735124,0.505915,0.680690,,,0,0.00403168,0.00000000,0.019267,0.000000,152.73
17,0.457620,0.731590,0.501985,0.681563,,,0,0.00390004,0.00000000,0.018999,0.000000,151.74
18,0.440414,0.742260,0.498928,0.682047,,,0,0.00376250,0.00000000,0.018860,0.000000,152.31
19,0.445552,0.739666,0.495478,0.682532,,,0,0.00361966,0.00000000,0.018612,0.000000,155.35
20,0.434111,0.747393,0.491619,0.685828,,,0,0.00347214,0.00000000,0.018461,0.000000,151.45
21,0.425508,0.751880,0.489167,0.685440,,,0,0.00332056,0.00000000,0.018380,0.000000,150.85
22,0.430102,0.747995,0.486884,0.686119,,,0,0.00316558,0.00000000,0.018056,0.000000,148.04
23,0.423730,0.752514,0.485255,0.687476,,,0,0.00300785,0.00000000,nan,0.000000,152.31
24,0.413649,0.756870,0.482778,0.688639,,,0,0.00284805,0.00000000,0.017858,0.000000,156.21
25,0.409270,0.761795,0.480645,0.688833,,,0,0.00268687,0.00000000,0.017766,0.000000,155.15
26,0.411776,0.760077,0.479134,0.689124,,,0,0.00252500,0.00000000,0.017596,0.000000,154.55
27,0.408885,0.761313,0.477780,0.689802,,,0,0.00236313,0.00000000,0.017465,0.000000,155.04
28,0.408654,0.762506,0.476370,0.690869,,,0,0.00220195,0.00000000,0.017380,0.000000,155.04
29,0.399828,0.769335,0.474900,0.690675,,,0,0.00204215,0.00000000,nan,0.000000,155.41
30,0.398265,0.767945,0.473453,0.692129,,,0,0.00188442,0.00000000,nan,0.000000,155.37
31,0.398530,0.767661,0.472341,0.693486,,,0,0.00172944,0.00000000,0.017047,0.000000,153.61
32,0.389795,0.773286,0.471741,0.692904,,,0,0.00157786,0.00000000,0.017059,0.000000,153.22
33,0.401450,0.766960,0.470768,0.693486,,,0,0.00143034,0.00000000,0.016932,0.000000,154.92
34,0.395019,0.769379,0.469989,0.693583,,,0,0.00128750,0.00000000,0.016891,0.000000,155.74
35,0.397965,0.770156,0.469374,0.693486,,,0,0.00114996,0.00000000,0.016854,0.000000,154.97
36,0.385712,0.775781,0.468714,0.694552,,,0,0.00101832,0.00000000,nan,0.000000,155.08
37,0.389530,0.773527,0.468341,0.694164,,,0,0.00089312,0.00000000,0.016680,0.000000,156.71
38,0.388317,0.775256,0.468029,0.694649,,,0,0.00077491,0.00000000,0.016698,0.000000,159.61
39,0.387136,0.775781,0.467748,0.694649,,,0,0.00066420,0.00000000,0.016623,0.000000,155.29
40,0.381595,0.777083,0.467342,0.695425,,,0,0.00056145,0.00000000,0.016586,0.000000,154.36
41,0.391260,0.773133,0.467014,0.695328,,,0,0.00046711,0.00000000,nan,0.000000,159.06
42,0.386058,0.776963,0.466878,0.695134,,,0,0.00038159,0.00000000,0.016528,0.000000,160.23
43,0.390206,0.773417,0.466743,0.695328,,,0,0.00030524,0.00000000,0.016443,0.000000,153.87
44,0.390972,0.774008,0.466635,0.696103,,,0,0.00023840,0.00000000,nan,0.000000,158.44
45,0.381543,0.779338,0.466528,0.695522,,,0,0.00018135,0.00000000,0.016514,0.000000,157.77
46,0.379346,0.779918,0.466458,0.695425,,,0,0.00013433,0.00000000,0.016424,0.000000,157.69
47,0.380525,0.779097,0.466413,0.695522,,,0,0.00009756,0.00000000,nan,0.000000,158.41
48,0.376616,0.781330,0.466371,0.695328,,,0,0.00007117,0.00000000,0.016432,0.000000,162.17
49,0.386013,0.774960,0.466347,0.695328,,,0,0.00005530,0.00000000,0.016388,0.000000,158.60
50,0.373190,0.783694,0.466327,0.695522,,,0,0.00005000,0.00000000,nan,0.000000,162.01
