epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.098223,0.104854,1.049023,0.139104,,,0,0.00250000,0.00000000,0.002068,0.000000,139.11
2,0.913767,0.272317,0.811262,0.361768,,,0,0.00500000,0.00000000,0.015155,0.000000,145.40
3,0.747182,0.406851,0.720323,0.420706,,,0,0.00499470,0.00000000,0.016028,0.000000,146.59
4,0.681204,0.450539,0.678308,0.449399,,,0,0.00497883,0.00000000,0.015225,0.000000,147.87
5,0.642049,0.479518,0.649667,0.470143,,,0,0.00495244,0.00000000,0.014818,0.000000,146.16
6,0.615689,0.497598,0.627294,0.487980,,,0,0.00491567,0.00000000,0.014257,0.000000,147.05
7,0.593919,0.513806,0.613295,0.494668,,,0,0.00486865,0.00000000,0.013957,0.000000,146.19
8,0.578143,0.524848,0.600928,0.503587,,,0,0.00481160,0.00000000,0.013624,0.000000,148.29
9,0.562978,0.537269,0.589419,0.511245,,,0,0.00474476,0.00000000,0.013435,0.000000,148.93
10,0.549142,0.548596,0.578512,0.520744,,,0,0.00466841,0.00000000,0.013408,0.000000,149.90
11,0.536174,0.559934,0.569829,0.527142,,,0,0.00458289,0.00000000,0.013233,0.000000,147.58
12,0.525846,0.567267,0.561348,0.533637,,,0,0.00448855,0.00000000,0.013098,0.000000,148.63
13,0.515743,0.575967,0.552269,0.542749,,,0,0.00438580,0.00000000,0.013030,0.000000,147.74
14,0.504803,0.585915,0.542839,0.551473,,,0,0.00427509,0.00000000,0.013116,0.000000,149.33
15,0.493807,0.596367,0.536168,0.555545,,,0,0.00415688,0.00000000,0.013149,0.000000,147.79
16,0.485561,0.603196,0.529862,0.562136,,,0,0.00403168,0.00000000,0.012926,0.000000,149.94
17,0.477324,0.610594,0.524453,0.566789,,,0,0.00390004,0.00000000,0.012929,0.000000,147.64
18,0.470965,0.615114,0.520477,0.569310,,,0,0.00376250,0.00000000,0.012667,0.000000,147.42
19,0.465602,0.619250,0.517149,0.570570,,,0,0.00361966,0.00000000,0.012526,0.000000,147.39
20,0.461264,0.622260,0.514163,0.572024,,,0,0.00347214,0.00000000,0.012323,0.000000,149.44
21,0.457179,0.625138,0.511551,0.572800,,,0,0.00332056,0.00000000,0.012159,0.000000,148.19
22,0.452529,0.628936,0.507781,0.575708,,,0,0.00316558,0.00000000,0.012136,0.000000,147.94
23,0.447926,0.633171,0.505291,0.577549,,,0,0.00300785,0.00000000,nan,0.000000,150.54
24,0.444437,0.635677,0.503504,0.579197,,,0,0.00284805,0.00000000,0.011951,0.000000,148.25
25,0.441475,0.637658,0.501896,0.580361,,,0,0.00268687,0.00000000,0.011781,0.000000,148.82
26,0.438875,0.639387,0.500437,0.583172,,,0,0.00252500,0.00000000,nan,0.000000,148.86
27,0.436597,0.640438,0.499380,0.582687,,,0,0.00236313,0.00000000,0.011462,0.000000,148.56
28,0.434628,0.642047,0.498381,0.582105,,,0,0.00220195,0.00000000,0.011373,0.000000,148.10
29,0.432414,0.643732,0.496560,0.584529,,,0,0.00204215,0.00000000,nan,0.000000,148.32
30,0.430436,0.644925,0.495573,0.585498,,,0,0.00188442,0.00000000,0.011202,0.000000,147.19
31,0.428895,0.646107,0.494702,0.585983,,,0,0.00172944,0.00000000,nan,0.000000,147.53
32,0.427509,0.646588,0.494205,0.585207,,,0,0.00157786,0.00000000,0.010985,0.000000,148.02
33,0.426290,0.647595,0.493295,0.586371,,,0,0.00143034,0.00000000,0.010932,0.000000,150.93
34,0.425131,0.648219,0.492753,0.587534,,,0,0.00128750,0.00000000,nan,0.000000,160.16
35,0.424121,0.649237,0.492332,0.585789,,,0,0.00114996,0.00000000,0.010820,0.000000,145.76
36,0.423217,0.649565,0.491671,0.587437,,,0,0.00101832,0.00000000,0.010757,0.000000,150.72
37,0.422403,0.650298,0.491430,0.587243,,,0,0.00089312,0.00000000,nan,0.000000,150.23
38,0.421672,0.650780,0.490906,0.588019,,,0,0.00077491,0.00000000,0.010662,0.000000,151.81
39,0.420694,0.651819,0.490157,0.588988,,,0,0.00066420,0.00000000,0.010656,0.000000,150.99
40,0.419855,0.652793,0.489811,0.589085,,,0,0.00056145,0.00000000,nan,0.000000,148.27
