experiment_id,phase,seed,baseline,raw_micro,raw_delta_pp,clean_core_micro,clean_core_delta_pp,proxy_macro,predicted_class_count,feature_drift,status,decision_reason,evidence_path
P0_MULTIPROTOTYPE_BEST,P0,42,A2_STRICT,0.692113936,-0.4263,,,0.797168851,500,,closed,"proxy improved but raw_fixed=88 < raw_broken=132; net -44",reproducibility/aegis_f1/outputs/phase4/p0_multiprototype/sweep.json
P0_STRUCTURAL_LDA_BEST,P0,42,A2_STRICT,0.692017078,-0.4360,,,0.796188056,500,,closed,"proxy improved but raw regression violated gate",reproducibility/aegis_f1/outputs/phase4/p0_structural_lda/sweep.json
P0_STRUCTURAL_RIDGE_BEST,P0,42,A2_STRICT,0.696376681,0.0000,,,0.794571459,500,,closed,"winner was alpha=0 base head",reproducibility/aegis_f1/outputs/phase4/p0_structural_ridge/sweep.json
P1_EPOCH6_BASELINE,P1,42,A2_STRICT,0.696279764,,0.832072854,,0.794704020,500,0.003583133,baseline,"best clean-core single epoch",reproducibility/aegis_f1/outputs/P1_A2_STRICT_EPOCH_CKPTS/seed42/logs/metrics.csv
P1_SWA1_EPOCH2_6,P1,42,P1_EPOCH6_BASELINE,0.696667000,0.0387,0.831793000,-0.0280,0.794635000,500,0.003418000,closed,"did not reach best raw epoch or best clean-core epoch",reproducibility/aegis_f1/outputs/phase4/logs/swa1_epoch2_6.log
P1_SWA2_EPOCH2_4,P1,42,P1_EPOCH6_BASELINE,0.696474000,0.0194,0.831513000,-0.0560,0.794412000,500,0.003330000,closed,"below epoch6 clean-core",reproducibility/aegis_f1/outputs/phase4/logs/swa2_epoch2_4.log
P1_SWA3_EPOCH3_6,P1,42,P1_EPOCH6_BASELINE,0.695892000,-0.0388,0.831653000,-0.0420,0.794415000,500,0.003514000,closed,"raw and clean-core below required anchors",reproducibility/aegis_f1/outputs/phase4/logs/swa3_epoch3_6.log
P1_SWA4_GREEDY_SOUP,P1,42,P1_EPOCH6_BASELINE,0.696279764,0.0000,0.832072854,0.0000,0.794704020,500,0.003583133,closed,"retained only epoch6; equivalent to no averaging",reproducibility/aegis_f1/outputs/phase4/logs/swa4_greedy_soup.log
P2_CR0_BASELINE,P2,42,A2_STRICT,0.696279764,,0.832072854,,0.794704020,500,0.003583133,baseline,"routing control",reproducibility/aegis_f1/outputs/P2_CR0_BASELINE/seed42/checkpoints/best_evaluation.json
P2_CR1_HARD_GATE,P2,42,P2_CR0_BASELINE,0.696667314,0.0388,0.831932783,-0.0140,0.794706345,500,0.003702641,closed,"hard gate overlapped existing selection threshold; no clean-core gain",reproducibility/aegis_f1/outputs/P2_CR1_HARD_GATE/seed42/checkpoints/best_evaluation.json
P2_CR2_SOFT_GATE,P2,42,P2_CR0_BASELINE,0.695892274,-0.0387,0.832493007,0.0420,0.793878675,500,0.004260659,closed,"clean-core gain below +0.20pp gate with raw/proxy regression",reproducibility/aegis_f1/outputs/P2_CR2_SOFT_GATE/seed42/checkpoints/best_evaluation.json
P3_PROTO_CONTRASTIVE,P3,42,P2_CR0_BASELINE,0.695601642,-0.0678,0.831232488,-0.0840,0.794541359,499,0.006197512,closed,"class coverage failed and clean-core regressed",reproducibility/aegis_f1/outputs/P3_PROTO_CONTRASTIVE/seed42/checkpoints/promotion.json
P4_DYNAMIC_TRUST_POST_REFRESH_BEST,P4,42,P2_CR0_BASELINE,0.695214093,-0.1066,0.827731073,-0.4342,0.792430162,500,0.003851652,closed,"all post-refresh epochs below pre-refresh and CR0",reproducibility/aegis_f1/outputs/P4_DYNAMIC_TRUST/seed42/logs/metrics.csv
