label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment
0,0000,238,214,24,214,24,covered_noisy_labels,head
1,0001,218,196,22,197,22,covered_noisy_labels,head
2,0002,181,163,18,163,19,covered_noisy_labels,head
3,0003,239,215,24,215,24,covered_noisy_labels,head
4,0004,215,193,22,193,22,covered_noisy_labels,head
5,0005,158,142,16,144,16,covered_noisy_labels,head
6,0006,187,168,19,168,19,covered_noisy_labels,head
7,0007,245,221,24,222,24,covered_noisy_labels,head
8,0008,248,223,25,223,25,covered_noisy_labels,head
9,0009,196,176,20,176,21,covered_noisy_labels,head
10,0010,197,177,20,180,20,covered_noisy_labels,head
11,0011,178,160,18,160,18,covered_noisy_labels,head
12,0012,191,172,19,172,19,covered_noisy_labels,head
13,0013,165,149,16,151,16,covered_noisy_labels,head
14,0014,170,153,17,153,17,covered_noisy_labels,head
15,0015,235,211,24,211,24,covered_noisy_labels,head
16,0016,221,199,22,200,22,covered_noisy_labels,head
17,0017,159,143,16,143,16,covered_noisy_labels,head
18,0018,244,220,24,220,24,covered_noisy_labels,head
19,0019,28,25,3,25,3,covered_noisy_labels,middle
20,0020,184,166,18,166,18,covered_noisy_labels,head
21,0021,220,198,22,198,22,covered_noisy_labels,head
22,0022,218,196,22,196,22,covered_noisy_labels,head
23,0023,194,175,19,175,19,covered_noisy_labels,head
24,0024,242,218,24,219,24,covered_noisy_labels,head
25,0025,198,178,20,178,20,covered_noisy_labels,head
26,0026,200,180,20,180,20,covered_noisy_labels,head
27,0027,230,207,23,207,23,covered_noisy_labels,head
28,0028,224,202,22,202,22,covered_noisy_labels,head
29,0029,199,179,20,180,20,covered_noisy_labels,head
30,0030,178,160,18,160,18,covered_noisy_labels,head
31,0031,182,164,18,164,18,covered_noisy_labels,head
32,0032,179,161,18,161,18,covered_noisy_labels,head
33,0033,215,193,22,194,22,covered_noisy_labels,head
34,0034,232,209,23,209,23,covered_noisy_labels,head
35,0035,229,206,23,206,23,covered_noisy_labels,head
36,0036,183,165,18,165,18,covered_noisy_labels,head
37,0037,180,162,18,162,19,covered_noisy_labels,head
38,0038,185,167,18,167,18,covered_noisy_labels,head
39,0039,184,166,18,166,18,covered_noisy_labels,head
40,0040,212,191,21,192,21,covered_noisy_labels,head
41,0041,189,170,19,170,19,covered_noisy_labels,head
42,0042,178,160,18,160,18,covered_noisy_labels,head
43,0043,229,206,23,206,23,covered_noisy_labels,head
44,0044,226,203,23,203,23,covered_noisy_labels,head
45,0045,248,223,25,223,25,covered_noisy_labels,head
46,0046,13,12,1,12,1,covered_noisy_labels,tail
47,0047,200,180,20,180,20,covered_noisy_labels,head
48,0048,219,197,22,197,22,covered_noisy_labels,head
49,0049,222,200,22,200,22,covered_noisy_labels,head
50,0050,163,147,16,147,16,covered_noisy_labels,head
51,0051,196,176,20,176,20,covered_noisy_labels,head
52,0052,227,204,23,206,23,covered_noisy_labels,head
53,0053,211,190,21,192,21,covered_noisy_labels,head
54,0054,215,193,22,193,22,covered_noisy_labels,head
55,0055,160,144,16,144,16,covered_noisy_labels,head
56,0056,191,172,19,173,19,covered_noisy_labels,head
57,0057,236,212,24,212,24,covered_noisy_labels,head
58,0058,121,109,12,110,12,covered_noisy_labels,head
59,0059,244,220,24,220,24,covered_noisy_labels,head
60,0060,185,167,18,167,18,covered_noisy_labels,head
61,0061,225,203,22,203,22,covered_noisy_labels,head
62,0062,163,147,16,147,16,covered_noisy_labels,head
63,0063,230,207,23,207,23,covered_noisy_labels,head
64,0064,187,168,19,168,19,covered_noisy_labels,head
65,0065,217,195,22,196,22,covered_noisy_labels,head
66,0066,194,175,19,175,19,covered_noisy_labels,head
67,0067,223,201,22,201,22,covered_noisy_labels,head
68,0068,246,221,25,221,25,covered_noisy_labels,head
69,0069,221,199,22,199,22,covered_noisy_labels,head
70,0070,183,165,18,165,18,covered_noisy_labels,head
71,0071,243,219,24,220,24,covered_noisy_labels,head
72,0072,167,150,17,151,17,covered_noisy_labels,head
73,0073,241,217,24,217,24,covered_noisy_labels,head
74,0074,229,206,23,206,23,covered_noisy_labels,head
75,0075,171,154,17,154,17,covered_noisy_labels,head
76,0076,217,195,22,195,22,covered_noisy_labels,head
77,0077,226,203,23,203,23,covered_noisy_labels,head
78,0078,247,222,25,222,25,covered_noisy_labels,head
79,0079,215,193,22,193,22,covered_noisy_labels,head
80,0080,248,223,25,223,25,covered_noisy_labels,head
81,0081,159,143,16,143,16,covered_noisy_labels,head
82,0082,194,175,19,175,19,covered_noisy_labels,head
83,0083,194,175,19,175,19,covered_noisy_labels,head
84,0084,197,177,20,177,20,covered_noisy_labels,head
85,0085,220,198,22,198,22,covered_noisy_labels,head
86,0086,181,163,18,164,18,covered_noisy_labels,head
87,0087,195,175,20,175,20,covered_noisy_labels,head
88,0088,219,197,22,199,22,covered_noisy_labels,head
89,0089,165,149,16,150,16,covered_noisy_labels,head
90,0090,184,166,18,166,18,covered_noisy_labels,head
91,0091,168,151,17,151,17,covered_noisy_labels,head
92,0092,179,161,18,161,18,covered_noisy_labels,head
