epoch,train_loss,train_accuracy,train_feature_drift,train_cached_forward_fraction,train_consensus_conflict_dropped,projection_count,train_elr_regularization,train_elr_weight,train_snscl_contrastive_loss,train_snscl_kl_loss,train_snscl_usable_anchor_fraction,train_snscl_admitted,train_snscl_queue_valid,train_fine_active_forgetting,train_fine_negative_learning,train_fine_suspicious_samples,train_attention_local_classification,train_attention_local_consistency,train_attention_local_agreement,train_trust_subspace_steps,train_trust_subspace_skipped_steps,train_trust_subspace_basis_updates,train_trust_subspace_basis_rank,train_trust_subspace_projection_steps,train_trust_subspace_trusted_examples,train_trust_subspace_uncertain_examples,train_trust_subspace_reference_gradient_norm,train_trust_subspace_shared_gradient_norm,train_trust_subspace_uncertain_gradient_norm,train_trust_subspace_projected_gradient_norm,train_trust_subspace_retained_norm_ratio,train_trust_subspace_uncertain_loss,raw_micro,raw_macro,trusted_micro,trusted_macro,proxy_micro,proxy_macro,clean_core_micro,clean_core_macro,clean_core_samples,flip_prediction_agreement,mean_feature_drift,selector,head_lr,visual_lr,snscl_lr
2,2.951492730643732,0.5121398946306468,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328629016876221,0.5198974013328552,0.5328629016876221,0.5198974013328552,0.5328629016876221,0.5198974013328552,0.5328629016876221,0.5198974013328552,14880,1.0,0.0,0.5198974013328552,0.0048788648778305055,,
4,2.1028032446800227,0.6044838022643202,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.586155891418457,0.5754827260971069,0.586155891418457,0.5754827260971069,0.586155891418457,0.5754827260971069,0.586155891418457,0.5754827260971069,14880,1.0,0.0,0.5754827260971069,0.004527317061077995,,
6,1.8226501848034602,0.640593356499645,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6061828136444092,0.5951125025749207,0.6061828136444092,0.5951125025749207,0.6061828136444092,0.5951125025749207,0.6061828136444092,0.5951125025749207,14880,1.0,0.0,0.5951125025749207,0.003979768499423871,,
8,1.6753657578593506,0.662601352613683,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6188843846321106,0.6084389090538025,0.6188843846321106,0.6084389090538025,0.6188843846321106,0.6084389090538025,0.6188843846321106,0.6084389090538025,14880,1.0,0.0,0.6084389090538025,0.0032898170610779947,,
10,1.5845770379341813,0.6774576841161305,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6236559152603149,0.613576352596283,0.6236559152603149,0.613576352596283,0.6236559152603149,0.613576352596283,0.6236559152603149,0.613576352596283,14880,1.0,0.0,0.613576352596283,0.002525,,
12,1.52629665480785,0.6869633449164891,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309812068939209,0.6207799911499023,0.6309812068939209,0.6207799911499023,0.6309812068939209,0.6207799911499023,0.6309812068939209,0.6207799911499023,14880,1.0,0.0,0.6207799911499023,0.0017601829389220054,,
14,1.4892497362027017,0.6940776445092105,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6338037848472595,0.6235939860343933,0.6338037848472595,0.6235939860343933,0.6338037848472595,0.6235939860343933,0.6338037848472595,0.6235939860343933,14880,1.0,0.0,0.6235939860343933,0.0010702315005761292,,
16,1.4673102631036357,0.6988005828942944,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6355510950088501,0.6255218982696533,0.6355510950088501,0.6255218982696533,0.6355510950088501,0.6255218982696533,0.6355510950088501,0.6255218982696533,14880,1.0,0.0,0.6255218982696533,0.0005226829389220053,,
18,1.4561594530387172,0.7010574300340021,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6356855034828186,0.6256958842277527,0.6356855034828186,0.6256958842277527,0.6356855034828186,0.6256958842277527,0.6356855034828186,0.6256958842277527,14880,1.0,0.0,0.6256958842277527,0.000171135122169495,,
20,1.4520416394658355,0.701969136494414,-5.1044898419237116e-08,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363575458526611,0.6263637542724609,0.6363575458526611,0.6263637542724609,0.6363575458526611,0.6263637542724609,0.6363575458526611,0.6263637542724609,14880,1.0,0.0,0.6263637542724609,5e-05,,
