label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment,correct,recall,actual_training_exposures_to_selected_epoch
0,0000,238,214,24,214,24,covered_noisy_labels,head,22,0.9166666865348816,4280
1,0001,218,196,22,197,22,covered_noisy_labels,head,10,0.4545454680919647,3940
2,0002,181,163,18,163,19,covered_noisy_labels,head,7,0.3684210479259491,3260
3,0003,239,215,24,215,24,covered_noisy_labels,head,20,0.8333333134651184,4300
4,0004,215,193,22,193,22,covered_noisy_labels,head,19,0.8636363744735718,3860
5,0005,158,142,16,144,16,covered_noisy_labels,head,9,0.5625,2880
6,0006,187,168,19,168,19,covered_noisy_labels,head,16,0.8421052694320679,3360
7,0007,245,221,24,222,24,covered_noisy_labels,head,21,0.875,4440
8,0008,248,223,25,223,25,covered_noisy_labels,head,11,0.4399999976158142,4460
9,0009,196,176,20,176,21,covered_noisy_labels,head,16,0.761904776096344,3520
10,0010,197,177,20,180,20,covered_noisy_labels,head,14,0.699999988079071,3600
11,0011,178,160,18,160,18,covered_noisy_labels,head,16,0.8888888955116272,3200
12,0012,191,172,19,172,19,covered_noisy_labels,head,13,0.6842105388641357,3440
13,0013,165,149,16,151,16,covered_noisy_labels,head,7,0.4375,3020
14,0014,170,153,17,153,17,covered_noisy_labels,head,10,0.5882353186607361,3060
15,0015,235,211,24,211,24,covered_noisy_labels,head,20,0.8333333134651184,4220
16,0016,221,199,22,200,22,covered_noisy_labels,head,14,0.6363636255264282,4000
17,0017,159,143,16,143,16,covered_noisy_labels,head,10,0.625,2860
18,0018,244,220,24,220,24,covered_noisy_labels,head,5,0.2083333283662796,4400
19,0019,28,25,3,25,3,covered_noisy_labels,middle,0,0.0,500
20,0020,184,166,18,166,18,covered_noisy_labels,head,13,0.7222222089767456,3320
21,0021,220,198,22,198,22,covered_noisy_labels,head,13,0.5909090638160706,3960
22,0022,218,196,22,196,22,covered_noisy_labels,head,17,0.7727272510528564,3920
23,0023,194,175,19,175,19,covered_noisy_labels,head,5,0.2631579041481018,3500
24,0024,242,218,24,219,24,covered_noisy_labels,head,16,0.6666666865348816,4380
25,0025,198,178,20,178,20,covered_noisy_labels,head,16,0.800000011920929,3560
26,0026,200,180,20,180,20,covered_noisy_labels,head,11,0.550000011920929,3600
27,0027,230,207,23,207,23,covered_noisy_labels,head,22,0.95652174949646,4140
28,0028,224,202,22,202,22,covered_noisy_labels,head,10,0.4545454680919647,4040
