label,val_samples,train_samples,drift,ft_recall,lp_recall,delta_recall
0,24,214,0.02252537012,0.9583333135,0.9166666865,0.04166662693
1,22,197,0.02912513539,0.5909090638,0.4545454681,0.1363635957
2,19,163,0.05338816717,0.5789473653,0.3684210479,0.2105263174
3,24,215,0.05135954544,0.875,0.8333333135,0.04166668653
4,22,193,0.02471753769,0.8636363745,0.8636363745,0
5,16,144,0.0332662873,0.625,0.5625,0.0625
6,19,168,0.03478170186,0.8947368264,0.8421052694,0.05263155699
7,24,222,0.03578245267,1,0.875,0.125
8,25,223,0.04336775839,0.8000000119,0.4399999976,0.3600000143
9,21,176,0.0350501202,0.8571428657,0.7619047761,0.09523808956
10,20,180,0.03878103942,0.6999999881,0.6999999881,0
11,18,160,0.0225441847,0.8888888955,0.8888888955,0
12,19,172,0.03109287843,0.7368420959,0.6842105389,0.05263155699
13,16,151,0.0413663052,0.5625,0.4375,0.125
14,17,153,0.03901691362,0.5882353187,0.5882353187,0
15,24,211,0.02197257243,0.9166666865,0.8333333135,0.08333337307
16,22,200,0.04303409532,0.9090909362,0.6363636255,0.2727273107
17,16,143,0.04597161338,0.625,0.625,0
18,24,220,0.03875759616,0.375,0.2083333284,0.1666666716
19,3,25,0.03245379403,0,0,0
20,18,166,0.04901098832,0.6666666865,0.722222209,-0.05555552244
21,22,198,0.046719376,0.6363636255,0.5909090638,0.04545456171
22,22,196,0.02791800536,0.8636363745,0.7727272511,0.09090912342
23,19,175,0.04135705531,0.3157894611,0.2631579041,0.05263155699
24,24,219,0.03836858273,0.7916666865,0.6666666865,0.125
25,20,178,0.03794040531,0.8500000238,0.8000000119,0.05000001192
26,20,180,0.04662822559,0.6999999881,0.5500000119,0.1499999762
27,23,207,0.03259684891,1,0.9565217495,0.0434782505
28,22,202,0.04653092846,0.6363636255,0.4545454681,0.1818181574
29,20,180,0.03185427934,0.75,0.6999999881,0.05000001192
30,18,160,0.02715830691,0.6111111045,0.555555582,0.05555552244
31,18,164,0.04550390318,0.277777791,0.2222222239,0.05555556715
32,18,161,0.02556131966,1,0.944444418,0.05555558205
33,22,194,0.03048813343,0.9545454383,0.9545454383,0
34,23,209,0.03985033557,0.7391304374,0.6521739364,0.08695650101
35,23,206,0.01978473552,0.9565217495,0.913043499,0.0434782505
36,18,165,0.01779315807,1,1,0
37,19,162,0.04329592362,0.5789473653,0.4210526347,0.1578947306
38,18,167,0.04211262986,0.8333333135,0.777777791,0.05555552244
39,18,166,0.0494886674,0.277777791,0.2222222239,0.05555556715
40,21,192,0.03374901414,0.9523809552,0.9523809552,0
41,19,170,0.01685228758,0.8947368264,0.8947368264,0
42,18,160,0.04131318629,0.5,0.4444444478,0.05555555224
43,23,206,0.02783832513,0.913043499,0.8695651889,0.04347831011
44,23,203,0.02619962581,1,0.9565217495,0.0434782505
45,25,223,0.04182980582,0.6000000238,0.4399999976,0.1600000262
46,1,12,0.02363324165,0,0,0
47,20,180,0.04012425989,0.75,0.6499999762,0.1000000238
48,22,197,0.04217593372,0.5454545617,0.3181818128,0.2272727489
49,22,200,0.04525567591,0.7272727489,0.7272727489,0
50,16,147,0.01792515814,1,1,0
51,20,176,0.03537195176,0.5,0.5,0
52,23,206,0.04023942351,0.8260869384,0.7826086879,0.0434782505
53,21,192,0.05064008385,0.4761904776,0.380952388,0.09523808956
54,22,193,0.03976106271,0.9090909362,0.8636363745,0.04545456171
55,16,144,0.04457210377,0.9375,0.6875,0.25
56,19,173,0.02675121464,0.8421052694,0.8421052694,0
57,24,212,0.02592295967,0.75,0.6666666865,0.08333331347
58,12,110,0.04687523469,0.3333333433,0.1666666716,0.1666666716
59,24,220,0.04267393053,0.7083333135,0.7083333135,0
60,18,167,0.03060017712,0.8333333135,0.722222209,0.1111111045
61,22,203,0.04728724808,0.6818181872,0.5,0.1818181872
62,16,147,0.04825062677,0.8125,0.8125,0
63,23,207,0.04145057127,0.6521739364,0.6956521869,-0.0434782505
64,19,168,0.0354580991,0.6315789223,0.5789473653,0.05263155699
65,22,196,0.02973477356,0.8181818128,0.7727272511,0.04545456171
66,19,175,0.02007934265,0.947368443,0.8947368264,0.05263161659
67,22,201,0.03477977216,0.9090909362,0.8636363745,0.04545456171
68,25,221,0.0345264636,0.6399999857,0.6399999857,0
69,22,199,0.04299951717,0.227272734,0.1818181872,0.04545454681
70,18,165,0.03286329657,0.8333333135,0.777777791,0.05555552244
71,24,220,0.03857954219,0.875,0.7916666865,0.08333331347
72,17,151,0.03800526634,0.8823529482,0.7058823705,0.1764705777
73,24,217,0.04498712346,0.7916666865,0.5416666865,0.25
74,23,206,0.0439357385,0.4782608747,0.3913043439,0.08695653081
75,17,154,0.04498893023,0.5294117928,0.4117647111,0.1176470816
76,22,195,0.03593349457,0.8181818128,0.7727272511,0.04545456171
77,23,203,0.0317729488,0.9565217495,0.9565217495,0
78,25,222,0.03974351659,0.5199999809,0.3199999928,0.1999999881
79,22,193,0.02689502202,0.9545454383,0.8636363745,0.09090906382
80,25,223,0.04185424373,0.4799999893,0.3600000143,0.119999975
81,16,143,0.02550784498,0.5625,0.4375,0.125
82,19,175,0.03880555555,0.5263158083,0.3157894611,0.2105263472
83,19,175,0.04522494972,0.1052631587,0.05263157934,0.05263157934
84,20,177,0.04333641753,0.6999999881,0.5500000119,0.1499999762
85,22,198,0.03557176888,0.8636363745,0.8636363745,0
86,18,164,0.04280837998,0.2222222239,0.2222222239,0
87,20,175,0.03300989047,1,1,0
88,22,199,0.03496301547,0.6818181872,0.6818181872,0
89,16,150,0.0406376943,0.8125,0.875,-0.0625
90,18,166,0.03208654001,0.944444418,0.8888888955,0.05555552244
91,17,151,0.04564509913,0.470588237,0.2352941185,0.2352941185
92,18,161,0.04879934713,0.8888888955,0.777777791,0.1111111045
93,18,160,0.02723318338,0.722222209,0.6111111045,0.1111111045
94,22,200,0.03208231926,0.8181818128,0.7272727489,0.09090906382
95,25,223,0.04299327731,0.8799999952,0.7599999905,0.1200000048
96,20,179,0.03168559447,0.9499999881,0.8500000238,0.09999996424
97,15,136,0.04598299041,0.7333333492,0.6000000238,0.1333333254
98,17,150,0.02375322208,0.9411764741,0.9411764741,0
99,20,180,0.03615992516,0.8000000119,0.8000000119,0
100,19,172,0.03462367132,0.8421052694,0.7894737124,0.05263155699
101,19,168,0.04665070772,0.6315789223,0.5789473653,0.05263155699
102,17,150,0.02788961306,0.8823529482,0.8235294223,0.05882352591
103,23,209,0.03787293285,0.8695651889,0.8695651889,0
104,18,158,0.03877970204,0.6666666865,0.6666666865,0
105,24,216,0.03334918991,0.8333333135,0.75,0.08333331347
106,24,216,0.05479547381,0.5833333135,0.375,0.2083333135
107,20,175,0.03219095245,0.6999999881,0.6999999881,0
108,17,153,0.03457188979,0.8235294223,0.7647058964,0.05882352591
109,24,212,0.02237685956,0.875,0.8333333135,0.04166668653
110,22,199,0.02787943371,0.9090909362,0.8636363745,0.04545456171
111,22,201,0.02761499397,0.2727272809,0.1363636404,0.1363636404
112,23,212,0.03193486854,0.8260869384,0.7391304374,0.08695650101
113,18,163,0.01952571608,1,0.8888888955,0.1111111045
114,6,52,0.03566253185,0.5,0,0.5
115,20,176,0.030501917,0.9499999881,0.75,0.1999999881
116,19,176,0.04514237866,0.6315789223,0.4210526347,0.2105262876
117,23,204,0.04283244163,0.6086956263,0.4782608747,0.1304347515
118,18,158,0.04231446609,0.3333333433,0.3333333433,0
119,17,156,0.01585710794,1,1,0
120,24,219,0.02729558945,0.8333333135,0.7916666865,0.04166662693
121,18,160,0.04630981013,0.777777791,0.5,0.277777791
