name,batch,workers,prefetch,threads,optimizer,norm,production,pin_memory,loss_phase,warmup,steps,profile,status,images_per_second,mean_step_seconds,mean_loader_wait_seconds,peak_allocated_gib,error
b32_w16,32,16,2,8,adamw,original,,,,20,100,False,passed,268.38436822825787,0.11923198139760643,0.004085645694285631,1.8665971755981445,
b32_w16_foreach,32,16,2,8,foreach,original,,,,20,100,False,passed,347.2091111155124,0.09216348009184003,0.004353105765767395,1.8666644096374512,
b32_w16_fused,32,16,2,8,fused,original,,,,20,100,False,failed,,,,,"ValueError: set_to_none is not supported in fused optimizers
[ERROR] 2026-09-22-13:32:02 (PID:947082, Device:0, RankID:-1) ERR00003 PTA invalid value"
b32_w16_fused_foreachnorm,32,16,2,8,fused,foreach,,,,20,100,False,passed,386.9469119449395,0.08269868297735229,0.003564730847720057,2.1539645195007324,
b32_w16_fused_original,32,16,2,8,fused,original,,,,20,100,False,passed,340.7429713162651,0.09391242870362476,0.004376791219692677,2.1539645195007324,
b32_w16_fused_vector,32,16,2,8,fused,vector,,,,20,100,False,passed,375.2751486195632,0.08527076764265075,0.004427448795177043,2.1539645195007324,
b32_w4,32,4,1,8,adamw,original,,,,20,100,False,passed,150.1717041194608,0.21308941113529728,0.1031827048258856,1.8665971755981445,
b32_w8,32,8,2,8,adamw,original,,,,20,100,False,passed,274.69445455995555,0.11649306882172823,0.005733963185921311,1.8665971755981445,
baseline_profile,32,4,1,8,adamw,original,,,,10,15,True,passed,138.4922244813674,0.23105990332551302,0.11728820187660555,1.8665971755981445,
confirm32_gce,32,16,2,4,fused,foreach,True,True,gce,20,250,False,passed,403.75307379987447,0.07925636255554855,0.00033907009661197663,2.1539645195007324,
confirm32_pinned,32,16,2,4,fused,foreach,True,True,ce,20,400,False,passed,396.79968290936955,0.08064522573549766,0.0003386806137859821,2.1539645195007324,
pin1024_w40,1024,40,4,4,fused,foreach,True,True,ce,20,100,False,passed,1831.622870855708,0.5590670526633039,0.00029609634773805735,23.52442502975464,
pin1024_w44,1024,44,4,4,fused,foreach,True,True,ce,20,100,False,passed,1797.47258314256,0.5696888005989603,0.00030658386880531906,23.52442502975464,
pin2048_w40,2048,40,2,4,fused,foreach,True,True,ce,15,40,False,passed,1860.6848543435206,1.100670000736136,0.00025112524162977933,45.56442403793335,
pin512_w40,512,40,4,4,fused,foreach,True,True,ce,20,150,False,passed,1652.2731763541856,0.3098761193531876,0.01640417165743808,12.502500057220459,
prod32_numa,32,16,2,4,fused,foreach,True,False,ce,20,250,False,passed,368.7715136093134,0.08677459841407835,0.0039029347551986573,2.1539645195007324,
prod32_pinned,32,16,2,4,fused,foreach,True,True,ce,20,250,False,passed,398.68424183136494,0.08026402010023594,0.0003358568493276834,2.1539645195007324,
prod32_t1,32,16,2,1,fused,foreach,True,False,ce,20,250,False,passed,354.4110508677354,0.09029063829034567,0.004608701030723751,2.1539645195007324,
prod_b1024_w32,1024,32,2,8,fused,foreach,True,,,15,50,False,passed,1245.8327487462134,0.8219401850132272,0.007163420538417995,23.52442502975464,
prod_b2048,2048,32,2,4,fused,foreach,True,False,ce,10,35,False,passed,1364.3882147910174,1.5010390575043857,0.003938914895323771,45.56442403793335,
prod_b32_w16,32,16,2,8,fused,foreach,True,,,20,120,False,passed,362.4978098564528,0.08827639541511113,0.004394607112044468,2.1539645195007324,
prod_best_numa,1024,32,2,4,fused,foreach,True,,,20,105,False,passed,1353.482379613109,0.7565669235329897,0.00519878868501456,23.52442502975464,
prod_best_prefetch4,1024,32,4,4,fused,foreach,True,,,20,105,False,passed,1366.3778456624648,0.749426670851452,0.004600945135046329,23.52442502975464,
prod_best_t1,1024,32,2,1,fused,foreach,True,,,20,105,False,passed,1225.4350767209553,0.8356215840826432,0.005873010500467249,23.52442502975464,
prod_best_t4,1024,32,2,4,fused,foreach,True,,,20,105,False,passed,1267.6021672190118,0.8078244314196387,0.005852773956333598,23.52442502975464,
prod_best_t8,1024,32,2,8,fused,foreach,True,,,20,105,False,passed,1268.76997204473,0.8070808913846989,0.005828517298435881,23.52442502975464,
prod_large_pinned,1024,32,4,4,fused,foreach,True,True,ce,20,105,False,passed,1470.0944367701768,0.6965538909525744,0.13916340884309084,23.52442502975464,
repeat_pin1024_w40,1024,40,4,4,fused,foreach,True,True,ce,20,105,False,passed,1832.4828162206543,0.5588046943391896,0.003609760460399446,23.52442502975464,
repeat_pin2048_w40,2048,40,2,4,fused,foreach,True,True,ce,20,40,False,passed,1880.000793806765,1.0893612421583385,0.00027706516557373105,45.56442403793335,
scan_b128_w16,128,16,2,8,fused,foreach,,,,15,60,False,passed,707.3965197706408,0.18094519328636427,0.048832216443649185,4.217679500579834,
scan_b128_w32,128,32,2,8,fused,foreach,,,,15,60,False,passed,923.768049163133,0.13856292184597502,0.005999164159099261,4.217679500579834,
scan_b256_w16,256,16,2,8,fused,foreach,,,,15,60,False,passed,802.340570614808,0.3190665028989315,0.0946916843764484,6.994113922119141,
scan_b256_w32,256,32,2,8,fused,foreach,,,,15,60,False,passed,1102.9618591842132,0.23210231420816854,0.007176496274769306,6.994113922119141,
scan_b32_w8,32,8,2,8,fused,foreach,,,,15,60,False,passed,328.6251069928719,0.09737539621613299,0.011303638926862428,2.1539645195007324,
scan_b512_w16,512,16,2,8,fused,foreach,,,,15,60,False,passed,737.9409679191507,0.6938224360191574,0.2742947785494228,12.502500057220459,
scan_b512_w32,512,32,2,8,fused,foreach,,,,15,60,False,passed,1195.9337913153072,0.42811734538991003,0.006694095931015909,12.502500057220459,
scan_b64_w16,64,16,2,8,fused,foreach,,,,15,60,False,passed,639.9187570888463,0.10001269581650073,0.006040120904799551,2.829476833343506,
selected1024_gce,1024,40,4,4,fused,foreach,True,True,gce,20,105,False,passed,1802.706966385369,0.5680346385154519,0.0036941482596808957,23.52442502975464,
winner_gce,2048,40,2,4,fused,foreach,True,True,gce,20,40,False,passed,1867.0892046591416,1.0968945644854102,0.00024776716018095615,45.56442403793335,
