label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment,correct,recall,actual_training_exposures_to_selected_epoch
0,0000,238,214,24,214,24,covered_noisy_labels,head,22,0.9166666865348816,1284
1,0001,218,196,22,197,22,covered_noisy_labels,head,14,0.6363636255264282,1182
2,0002,181,163,18,163,19,covered_noisy_labels,head,6,0.31578946113586426,978
3,0003,239,215,24,215,24,covered_noisy_labels,head,19,0.7916666865348816,1290
4,0004,215,193,22,193,22,covered_noisy_labels,head,19,0.8636363744735718,1158
5,0005,158,142,16,144,16,covered_noisy_labels,head,9,0.5625,864
6,0006,187,168,19,168,19,covered_noisy_labels,head,15,0.7894737124443054,1008
7,0007,245,221,24,222,24,covered_noisy_labels,head,22,0.9166666865348816,1332
8,0008,248,223,25,223,25,covered_noisy_labels,head,14,0.5600000023841858,1338
9,0009,196,176,20,176,21,covered_noisy_labels,head,17,0.8095238208770752,1056
10,0010,197,177,20,180,20,covered_noisy_labels,head,14,0.699999988079071,1080
11,0011,178,160,18,160,18,covered_noisy_labels,head,16,0.8888888955116272,960
12,0012,191,172,19,172,19,covered_noisy_labels,head,16,0.8421052694320679,1032
13,0013,165,149,16,151,16,covered_noisy_labels,head,7,0.4375,906
14,0014,170,153,17,153,17,covered_noisy_labels,head,10,0.5882353186607361,918
15,0015,235,211,24,211,24,covered_noisy_labels,head,20,0.8333333134651184,1266
16,0016,221,199,22,200,22,covered_noisy_labels,head,17,0.7727272510528564,1200
17,0017,159,143,16,143,16,covered_noisy_labels,head,10,0.625,858
18,0018,244,220,24,220,24,covered_noisy_labels,head,3,0.125,1320
19,0019,28,25,3,25,3,covered_noisy_labels,middle,0,0.0,150
20,0020,184,166,18,166,18,covered_noisy_labels,head,13,0.7222222089767456,996
21,0021,220,198,22,198,22,covered_noisy_labels,head,13,0.5909090638160706,1188
22,0022,218,196,22,196,22,covered_noisy_labels,head,19,0.8636363744735718,1176
23,0023,194,175,19,175,19,covered_noisy_labels,head,6,0.31578946113586426,1050
24,0024,242,218,24,219,24,covered_noisy_labels,head,18,0.75,1314
25,0025,198,178,20,178,20,covered_noisy_labels,head,17,0.8500000238418579,1068
26,0026,200,180,20,180,20,covered_noisy_labels,head,12,0.6000000238418579,1080
27,0027,230,207,23,207,23,covered_noisy_labels,head,22,0.95652174949646,1242
28,0028,224,202,22,202,22,covered_noisy_labels,head,11,0.5,1212
29,0029,199,179,20,180,20,covered_noisy_labels,head,15,0.75,1080
30,0030,178,160,18,160,18,covered_noisy_labels,head,8,0.4444444477558136,960
31,0031,182,164,18,164,18,covered_noisy_labels,head,4,0.2222222238779068,984
32,0032,179,161,18,161,18,covered_noisy_labels,head,18,1.0,966
33,0033,215,193,22,194,22,covered_noisy_labels,head,21,0.9545454382896423,1164
34,0034,232,209,23,209,23,covered_noisy_labels,head,15,0.6521739363670349,1254
35,0035,229,206,23,206,23,covered_noisy_labels,head,21,0.9130434989929199,1236
36,0036,183,165,18,165,18,covered_noisy_labels,head,18,1.0,990
37,0037,180,162,18,162,19,covered_noisy_labels,head,6,0.31578946113586426,972
38,0038,185,167,18,167,18,covered_noisy_labels,head,14,0.7777777910232544,1002
39,0039,184,166,18,166,18,covered_noisy_labels,head,3,0.1666666716337204,996
40,0040,212,191,21,192,21,covered_noisy_labels,head,20,0.9523809552192688,1152
41,0041,189,170,19,170,19,covered_noisy_labels,head,17,0.8947368264198303,1020
42,0042,178,160,18,160,18,covered_noisy_labels,head,8,0.4444444477558136,960
43,0043,229,206,23,206,23,covered_noisy_labels,head,20,0.8695651888847351,1236
44,0044,226,203,23,203,23,covered_noisy_labels,head,23,1.0,1218
45,0045,248,223,25,223,25,covered_noisy_labels,head,10,0.4000000059604645,1338
46,0046,13,12,1,12,1,covered_noisy_labels,tail,0,0.0,72
47,0047,200,180,20,180,20,covered_noisy_labels,head,13,0.6499999761581421,1080
48,0048,219,197,22,197,22,covered_noisy_labels,head,9,0.40909090638160706,1182
49,0049,222,200,22,200,22,covered_noisy_labels,head,15,0.6818181872367859,1200
50,0050,163,147,16,147,16,covered_noisy_labels,head,16,1.0,882
51,0051,196,176,20,176,20,covered_noisy_labels,head,10,0.5,1056
52,0052,227,204,23,206,23,covered_noisy_labels,head,17,0.739130437374115,1236
53,0053,211,190,21,192,21,covered_noisy_labels,head,9,0.4285714328289032,1152
54,0054,215,193,22,193,22,covered_noisy_labels,head,21,0.9545454382896423,1158
55,0055,160,144,16,144,16,covered_noisy_labels,head,11,0.6875,864
56,0056,191,172,19,173,19,covered_noisy_labels,head,16,0.8421052694320679,1038
57,0057,236,212,24,212,24,covered_noisy_labels,head,16,0.6666666865348816,1272
58,0058,121,109,12,110,12,covered_noisy_labels,head,2,0.1666666716337204,660
59,0059,244,220,24,220,24,covered_noisy_labels,head,16,0.6666666865348816,1320
60,0060,185,167,18,167,18,covered_noisy_labels,head,13,0.7222222089767456,1002
61,0061,225,203,22,203,22,covered_noisy_labels,head,12,0.5454545617103577,1218
62,0062,163,147,16,147,16,covered_noisy_labels,head,13,0.8125,882
63,0063,230,207,23,207,23,covered_noisy_labels,head,16,0.695652186870575,1242
64,0064,187,168,19,168,19,covered_noisy_labels,head,12,0.6315789222717285,1008
65,0065,217,195,22,196,22,covered_noisy_labels,head,18,0.8181818127632141,1176
66,0066,194,175,19,175,19,covered_noisy_labels,head,18,0.9473684430122375,1050
67,0067,223,201,22,201,22,covered_noisy_labels,head,19,0.8636363744735718,1206
68,0068,246,221,25,221,25,covered_noisy_labels,head,13,0.5199999809265137,1326
69,0069,221,199,22,199,22,covered_noisy_labels,head,4,0.1818181872367859,1194
70,0070,183,165,18,165,18,covered_noisy_labels,head,14,0.7777777910232544,990
71,0071,243,219,24,220,24,covered_noisy_labels,head,18,0.75,1320
72,0072,167,150,17,151,17,covered_noisy_labels,head,11,0.6470588445663452,906
73,0073,241,217,24,217,24,covered_noisy_labels,head,13,0.5416666865348816,1302
74,0074,229,206,23,206,23,covered_noisy_labels,head,9,0.3913043439388275,1236
75,0075,171,154,17,154,17,covered_noisy_labels,head,7,0.4117647111415863,924
76,0076,217,195,22,195,22,covered_noisy_labels,head,18,0.8181818127632141,1170
77,0077,226,203,23,203,23,covered_noisy_labels,head,22,0.95652174949646,1218
78,0078,247,222,25,222,25,covered_noisy_labels,head,8,0.3199999928474426,1332
79,0079,215,193,22,193,22,covered_noisy_labels,head,19,0.8636363744735718,1158
80,0080,248,223,25,223,25,covered_noisy_labels,head,9,0.36000001430511475,1338
81,0081,159,143,16,143,16,covered_noisy_labels,head,5,0.3125,858
82,0082,194,175,19,175,19,covered_noisy_labels,head,6,0.31578946113586426,1050
83,0083,194,175,19,175,19,covered_noisy_labels,head,1,0.05263157933950424,1050
84,0084,197,177,20,177,20,covered_noisy_labels,head,13,0.6499999761581421,1062
85,0085,220,198,22,198,22,covered_noisy_labels,head,19,0.8636363744735718,1188
86,0086,181,163,18,164,18,covered_noisy_labels,head,2,0.1111111119389534,984
87,0087,195,175,20,175,20,covered_noisy_labels,head,20,1.0,1050
88,0088,219,197,22,199,22,covered_noisy_labels,head,16,0.7272727489471436,1194
89,0089,165,149,16,150,16,covered_noisy_labels,head,15,0.9375,900
90,0090,184,166,18,166,18,covered_noisy_labels,head,17,0.9444444179534912,996
91,0091,168,151,17,151,17,covered_noisy_labels,head,4,0.23529411852359772,906
92,0092,179,161,18,161,18,covered_noisy_labels,head,15,0.8333333134651184,966
93,0093,176,158,18,160,18,covered_noisy_labels,head,11,0.6111111044883728,960
94,0094,222,200,22,200,22,covered_noisy_labels,head,16,0.7272727489471436,1200
95,0095,247,222,25,223,25,covered_noisy_labels,head,19,0.7599999904632568,1338
96,0096,199,179,20,179,20,covered_noisy_labels,head,17,0.8500000238418579,1074
97,0097,151,136,15,136,15,covered_noisy_labels,head,10,0.6666666865348816,816
98,0098,167,150,17,150,17,covered_noisy_labels,head,16,0.9411764740943909,900
99,0099,200,180,20,180,20,covered_noisy_labels,head,16,0.800000011920929,1080
100,0100,191,172,19,172,19,covered_noisy_labels,head,15,0.7894737124443054,1032
101,0101,187,168,19,168,19,covered_noisy_labels,head,11,0.5789473652839661,1008
102,0102,167,150,17,150,17,covered_noisy_labels,head,14,0.8235294222831726,900
103,0103,232,209,23,209,23,covered_noisy_labels,head,20,0.8695651888847351,1254
104,0104,176,158,18,158,18,covered_noisy_labels,head,13,0.7222222089767456,948
105,0105,240,216,24,216,24,covered_noisy_labels,head,19,0.7916666865348816,1296
106,0106,240,216,24,216,24,covered_noisy_labels,head,11,0.4583333432674408,1296
107,0107,194,175,19,175,20,covered_noisy_labels,head,14,0.699999988079071,1050
108,0108,169,152,17,153,17,covered_noisy_labels,head,13,0.7647058963775635,918
109,0109,236,212,24,212,24,covered_noisy_labels,head,21,0.875,1272
110,0110,220,198,22,199,22,covered_noisy_labels,head,20,0.9090909361839294,1194
111,0111,222,200,22,201,22,covered_noisy_labels,head,3,0.13636364042758942,1206
112,0112,234,211,23,212,23,covered_noisy_labels,head,17,0.739130437374115,1272
113,0113,181,163,18,163,18,covered_noisy_labels,head,17,0.9444444179534912,978
114,0114,58,52,6,52,6,covered_noisy_labels,middle,0,0.0,312
115,0115,196,176,20,176,20,covered_noisy_labels,head,16,0.800000011920929,1056
116,0116,194,175,19,176,19,covered_noisy_labels,head,9,0.4736842215061188,1056
117,0117,227,204,23,204,23,covered_noisy_labels,head,12,0.52173912525177,1224
118,0118,176,158,18,158,18,covered_noisy_labels,head,6,0.3333333432674408,948
119,0119,173,156,17,156,17,covered_noisy_labels,head,17,1.0,936
120,0120,243,219,24,219,24,covered_noisy_labels,head,21,0.875,1314
121,0121,178,160,18,160,18,covered_noisy_labels,head,11,0.6111111044883728,960
122,0122,168,151,17,151,17,covered_noisy_labels,head,13,0.7647058963775635,906
123,0123,193,174,19,175,19,covered_noisy_labels,head,16,0.8421052694320679,1050
124,0124,233,210,23,211,23,covered_noisy_labels,head,22,0.95652174949646,1266
125,0125,219,197,22,197,22,covered_noisy_labels,head,18,0.8181818127632141,1182
126,0126,231,208,23,208,24,covered_noisy_labels,head,12,0.5,1248
127,0127,232,209,23,211,23,covered_noisy_labels,head,18,0.782608687877655,1266
128,0128,166,149,17,149,17,covered_noisy_labels,head,7,0.4117647111415863,894
129,0129,170,153,17,156,17,covered_noisy_labels,head,14,0.8235294222831726,936
130,0130,245,221,24,221,24,covered_noisy_labels,head,6,0.25,1326
131,0131,242,218,24,220,24,covered_noisy_labels,head,18,0.75,1320
132,0132,170,153,17,156,17,covered_noisy_labels,head,15,0.8823529481887817,936
133,0133,239,215,24,217,24,covered_noisy_labels,head,20,0.8333333134651184,1302
134,0134,189,170,19,175,19,covered_noisy_labels,head,9,0.4736842215061188,1050
135,0135,199,179,20,179,20,covered_noisy_labels,head,8,0.4000000059604645,1074
136,0136,230,207,23,207,23,covered_noisy_labels,head,17,0.739130437374115,1242
137,0137,161,145,16,145,16,covered_noisy_labels,head,15,0.9375,870
138,0138,177,159,18,160,18,covered_noisy_labels,head,13,0.7222222089767456,960
139,0139,218,196,22,196,22,covered_noisy_labels,head,10,0.4545454680919647,1176
140,0140,215,193,22,195,23,covered_noisy_labels,head,10,0.43478259444236755,1170
141,0141,189,170,19,170,19,covered_noisy_labels,head,1,0.05263157933950424,1020
142,0142,239,215,24,216,24,covered_noisy_labels,head,14,0.5833333134651184,1296
143,0143,196,176,20,176,20,covered_noisy_labels,head,17,0.8500000238418579,1056
144,0144,159,143,16,143,16,covered_noisy_labels,head,4,0.25,858
145,0145,91,82,9,82,9,covered_noisy_labels,middle,2,0.2222222238779068,492
146,0146,220,198,22,199,22,covered_noisy_labels,head,19,0.8636363744735718,1194
147,0147,189,170,19,170,19,covered_noisy_labels,head,13,0.6842105388641357,1020
148,0148,171,154,17,154,17,covered_noisy_labels,head,9,0.529411792755127,924
149,0149,236,212,24,212,24,covered_noisy_labels,head,16,0.6666666865348816,1272
150,0150,221,199,22,199,22,covered_noisy_labels,head,20,0.9090909361839294,1194
151,0151,195,175,20,175,20,covered_noisy_labels,head,11,0.550000011920929,1050
152,0152,156,140,16,140,16,covered_noisy_labels,head,8,0.5,840
153,0153,180,162,18,164,19,covered_noisy_labels,head,15,0.7894737124443054,984
154,0154,159,143,16,144,16,covered_noisy_labels,head,15,0.9375,864
155,0155,222,200,22,202,22,covered_noisy_labels,head,12,0.5454545617103577,1212
156,0156,224,202,22,202,22,covered_noisy_labels,head,15,0.6818181872367859,1212
157,0157,236,212,24,212,24,covered_noisy_labels,head,16,0.6666666865348816,1272
158,0158,221,199,22,199,22,covered_noisy_labels,head,9,0.40909090638160706,1194
159,0159,188,169,19,171,19,covered_noisy_labels,head,19,1.0,1026
160,0160,238,214,24,214,24,covered_noisy_labels,head,20,0.8333333134651184,1284
161,0161,178,160,18,160,18,covered_noisy_labels,head,14,0.7777777910232544,960
162,0162,233,210,23,210,23,covered_noisy_labels,head,8,0.3478260934352875,1260
163,0163,153,138,15,138,15,covered_noisy_labels,head,9,0.6000000238418579,828
164,0164,227,204,23,204,23,covered_noisy_labels,head,18,0.782608687877655,1224
165,0165,223,201,22,202,22,covered_noisy_labels,head,19,0.8636363744735718,1212
166,0166,196,176,20,177,20,covered_noisy_labels,head,11,0.550000011920929,1062
167,0167,227,204,23,204,23,covered_noisy_labels,head,9,0.3913043439388275,1224
168,0168,239,215,24,215,24,covered_noisy_labels,head,12,0.5,1290
169,0169,234,211,23,211,23,covered_noisy_labels,head,22,0.95652174949646,1266
170,0170,187,168,19,168,19,covered_noisy_labels,head,16,0.8421052694320679,1008
171,0171,246,221,25,222,25,covered_noisy_labels,head,11,0.4399999976158142,1332
172,0172,246,221,25,221,25,covered_noisy_labels,head,6,0.23999999463558197,1326
173,0173,211,190,21,191,22,covered_noisy_labels,head,22,1.0,1146
174,0174,194,175,19,176,19,covered_noisy_labels,head,6,0.31578946113586426,1056
175,0175,212,191,21,192,21,covered_noisy_labels,head,17,0.8095238208770752,1152
176,0176,165,149,16,149,16,covered_noisy_labels,head,13,0.8125,894
177,0177,221,199,22,199,22,covered_noisy_labels,head,13,0.5909090638160706,1194
178,0178,168,151,17,151,17,covered_noisy_labels,head,13,0.7647058963775635,906
179,0179,224,202,22,202,22,covered_noisy_labels,head,5,0.22727273404598236,1212
180,0180,231,208,23,209,23,covered_noisy_labels,head,20,0.8695651888847351,1254
181,0181,228,205,23,205,23,covered_noisy_labels,head,10,0.43478259444236755,1230
182,0182,228,205,23,208,25,covered_noisy_labels,head,14,0.5600000023841858,1248
183,0183,5,4,1,4,1,covered_noisy_labels,tail,0,0.0,24
184,0184,237,213,24,214,24,covered_noisy_labels,head,20,0.8333333134651184,1284
185,0185,166,149,17,150,17,covered_noisy_labels,head,15,0.8823529481887817,900
186,0186,177,159,18,160,18,covered_noisy_labels,head,12,0.6666666865348816,960
187,0187,189,170,19,170,19,covered_noisy_labels,head,6,0.31578946113586426,1020
188,0188,182,164,18,164,18,covered_noisy_labels,head,4,0.2222222238779068,984
189,0189,187,168,19,168,19,covered_noisy_labels,head,10,0.5263158082962036,1008
190,0190,236,212,24,213,24,covered_noisy_labels,head,23,0.9583333134651184,1278
191,0191,247,222,25,222,25,covered_noisy_labels,head,11,0.4399999976158142,1332
192,0192,228,205,23,205,23,covered_noisy_labels,head,22,0.95652174949646,1230
193,0193,167,150,17,150,17,covered_noisy_labels,head,15,0.8823529481887817,900
194,0194,215,193,22,193,22,covered_noisy_labels,head,16,0.7272727489471436,1158
195,0195,197,177,20,177,20,covered_noisy_labels,head,17,0.8500000238418579,1062
196,0196,244,220,24,221,24,covered_noisy_labels,head,3,0.125,1326
197,0197,167,150,17,150,17,covered_noisy_labels,head,10,0.5882353186607361,900
198,0198,241,217,24,217,24,covered_noisy_labels,head,22,0.9166666865348816,1302
199,0199,231,208,23,208,23,covered_noisy_labels,head,19,0.8260869383811951,1248
200,0200,186,167,19,167,19,covered_noisy_labels,head,16,0.8421052694320679,1002
201,0201,244,220,24,220,24,covered_noisy_labels,head,21,0.875,1320
202,0202,232,209,23,209,23,covered_noisy_labels,head,13,0.5652173757553101,1254
203,0203,242,218,24,218,24,covered_noisy_labels,head,9,0.375,1308
204,0204,216,194,22,194,22,covered_noisy_labels,head,14,0.6363636255264282,1164
205,0205,163,147,16,147,16,covered_noisy_labels,head,10,0.625,882
206,0206,246,221,25,222,25,covered_noisy_labels,head,18,0.7200000286102295,1332
207,0207,237,213,24,213,24,covered_noisy_labels,head,20,0.8333333134651184,1278
208,0208,170,153,17,153,17,covered_noisy_labels,head,15,0.8823529481887817,918
209,0209,177,159,18,159,19,covered_noisy_labels,head,10,0.5263158082962036,954
210,0210,180,162,18,162,18,covered_noisy_labels,head,15,0.8333333134651184,972
