label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment,correct,recall,actual_training_exposures_to_selected_epoch
0,0000,238,214,24,214,24,covered_noisy_labels,head,23,0.9583333134651184,1712
1,0001,218,196,22,197,22,covered_noisy_labels,head,13,0.5909090638160706,1576
2,0002,181,163,18,163,19,covered_noisy_labels,head,12,0.6315789222717285,1304
3,0003,239,215,24,215,24,covered_noisy_labels,head,20,0.8333333134651184,1720
4,0004,215,193,22,193,22,covered_noisy_labels,head,19,0.8636363744735718,1544
5,0005,158,142,16,144,16,covered_noisy_labels,head,10,0.625,1152
6,0006,187,168,19,168,19,covered_noisy_labels,head,18,0.9473684430122375,1344
7,0007,245,221,24,222,24,covered_noisy_labels,head,24,1.0,1776
8,0008,248,223,25,223,25,covered_noisy_labels,head,20,0.800000011920929,1784
9,0009,196,176,20,176,21,covered_noisy_labels,head,19,0.9047619104385376,1408
10,0010,197,177,20,180,20,covered_noisy_labels,head,14,0.699999988079071,1440
11,0011,178,160,18,160,18,covered_noisy_labels,head,16,0.8888888955116272,1280
12,0012,191,172,19,172,19,covered_noisy_labels,head,14,0.7368420958518982,1376
13,0013,165,149,16,151,16,covered_noisy_labels,head,9,0.5625,1208
14,0014,170,153,17,153,17,covered_noisy_labels,head,11,0.6470588445663452,1224
15,0015,235,211,24,211,24,covered_noisy_labels,head,22,0.9166666865348816,1688
16,0016,221,199,22,200,22,covered_noisy_labels,head,18,0.8181818127632141,1600
17,0017,159,143,16,143,16,covered_noisy_labels,head,10,0.625,1144
18,0018,244,220,24,220,24,covered_noisy_labels,head,8,0.3333333432674408,1760
19,0019,28,25,3,25,3,covered_noisy_labels,middle,0,0.0,200
20,0020,184,166,18,166,18,covered_noisy_labels,head,13,0.7222222089767456,1328
21,0021,220,198,22,198,22,covered_noisy_labels,head,14,0.6363636255264282,1584
22,0022,218,196,22,196,22,covered_noisy_labels,head,19,0.8636363744735718,1568
23,0023,194,175,19,175,19,covered_noisy_labels,head,5,0.2631579041481018,1400
24,0024,242,218,24,219,24,covered_noisy_labels,head,19,0.7916666865348816,1752
25,0025,198,178,20,178,20,covered_noisy_labels,head,17,0.8500000238418579,1424
26,0026,200,180,20,180,20,covered_noisy_labels,head,14,0.699999988079071,1440
27,0027,230,207,23,207,23,covered_noisy_labels,head,23,1.0,1656
28,0028,224,202,22,202,22,covered_noisy_labels,head,14,0.6363636255264282,1616
29,0029,199,179,20,180,20,covered_noisy_labels,head,15,0.75,1440
30,0030,178,160,18,160,18,covered_noisy_labels,head,11,0.6111111044883728,1280
31,0031,182,164,18,164,18,covered_noisy_labels,head,5,0.2777777910232544,1312
32,0032,179,161,18,161,18,covered_noisy_labels,head,18,1.0,1288
33,0033,215,193,22,194,22,covered_noisy_labels,head,21,0.9545454382896423,1552
34,0034,232,209,23,209,23,covered_noisy_labels,head,17,0.739130437374115,1672
35,0035,229,206,23,206,23,covered_noisy_labels,head,22,0.95652174949646,1648
36,0036,183,165,18,165,18,covered_noisy_labels,head,18,1.0,1320
37,0037,180,162,18,162,19,covered_noisy_labels,head,13,0.6842105388641357,1296
38,0038,185,167,18,167,18,covered_noisy_labels,head,15,0.8333333134651184,1336
39,0039,184,166,18,166,18,covered_noisy_labels,head,6,0.3333333432674408,1328
40,0040,212,191,21,192,21,covered_noisy_labels,head,20,0.9523809552192688,1536
41,0041,189,170,19,170,19,covered_noisy_labels,head,17,0.8947368264198303,1360
42,0042,178,160,18,160,18,covered_noisy_labels,head,9,0.5,1280
43,0043,229,206,23,206,23,covered_noisy_labels,head,22,0.95652174949646,1648
44,0044,226,203,23,203,23,covered_noisy_labels,head,23,1.0,1624
